Report ID	Author	Publication Date	Title	Abstract [as written in original source- not edited for this systematic map]	Publication	Country	"LatDD,LonDD"	Production System/Sector	Commodity	Certification Standard	Population	Sampling Unit	Position in Supply Chain	Research Method	Expand on Mixed Methods and Other	Study Design	Social	Social	Economic	Environmental	Education	Poverty	Health and Safety	Nutrition	Gender	Wellbeing	Community Benefits and Development	Knowledge Exchange	Transparency	Management systems	Price Premium	Profitability 	Costs	Market Advantage	Yield	Good Production Practices (including good forest management)	Financial Security	Deforestation	Conservation and Biodiversity	Pollution	Soil Management	Water Management	Input Use	Post-harvest Practices
RG25	COSA (Committee on Sustainability Assessment )	2013	Rainforest Alliance Certification on Cocoa Farms in Cote d'Ivoire.		Rainforest alliance report 2012    	Cote d'Ivoire	"7.540000, -5.547100"	Cocoa	Cocoa	Rainforest Alliance	Farms	Farmers 	Producer	Other	452 farm vists	Matched	Data Reported	Data Reported	Data Reported	No Data Reported								Data Reported			Data Reported	Data Reported	Data Reported		Data Reported									
RG24	"COSA (Committee on Sustainability Assessment ); University of Ghana, Institute of Statistical Social and Economic Research (ISSER), University of Ghana"	2012	Cocoa Farms in Ghana: An evaluation of the impacts of UTZ certification on the sustainability of Smallholder		COSA/ISSER Report    	Ghana	"6.959500, -2.027300"	Cocoa	Cocoa	UTZ 	Smallholders	Smallholders	Producer	Household surveys	N/A	Pre-post 	Data Reported	Data Reported	Data Reported	Data Reported				Data Reported								Data Reported	Data Reported		Data Reported							Data Reported	Data Reported	
12694	"Crow S.,  Danks C. "	2010	"Why certify? Motivations, outcomes and the importance if facilitating organizations in certification of community-based forestry initiatives. "	"Despite documented challenges, many community-based forestry (CBF) initiatives pursue forest certification. This study asked community-based forestry practitioners in Vermont what influenced their decisions to seek or not seek certification and what outcomes were realized from certification. Relationships, public image, value alignment and feedback on management practices were most commonly cited as both motivations for and results of certification. Expectations for economic benefits were low and price premiums for products were only occasionally realized. Informants complained of the increasing cost, complexity and time commitment required of certification. Overall, however, certified CBF informants felt certification was worth the expense. Group certificates and external funding significantly reduced certification costs to grassroots CBF initiatives. This study highlights the importance of facilitating organizations that can provide outreach, secure funding, understand the rules, handle documentation and develop markets for certified products. √•¬© 2010 Steve Harrison, John Herbohn."	"Small-scale Forestry, 9, 195-211. DOI: 10.1007/s11842-010-9110-6"	USA	"44.5588, -72.5778"	Forest sector	Forest resources	Forest Stewardship Council (FSC)	Smallholders	Farmers	Producer	Interviews (freeform)		Matched	Data Reported	Data Reported	Data Reported	Data Reported								Data Reported		Data Reported		Data Reported	Data Reported					Data Reported						
9554	"Cubbage, F.; Diaz, D.; Yapura, P.; Dube, F."	2010	Impacts of forest management certification in Argentina and Chile	"Individuals at ten firms in Argentina and Chile that had received Forest Stewardship Council (FSC) or Sistema Chileno de CertificaciỲÄ∞√õ√ìn Forestal (CERTFOR) forest management certification were interviewed to determine the management, environmental, social, and economic impacts of certification. All firms improved many practices in forest management, environmental protection, community relations, public affairs, economic, and environmental management systems in order to receive certification, with an average of 27 changes reported per firm that received forest certification. The amount of changes were fairly evenly distributed among forest management practices, social and legal aspects, and economic and system impacts. Most firms certified by FSC received several conditions or corrective action requests, but these represented only about one-third of the 27 changes those firms made to receive or maintain certification. Certification appeared to prompt similar changes in Argentina and Chile, and with FSC and CERTFOR. Certified firms usually hired only one or two new employees for certification, but did shift job responsibilities so that about 5% to 10% of personnel time was spent on certification. Individuals at interviewed firms were generally very satisfied with certification and all firms except one intended to re-certify. SPANISH: A fin de determinar los impactos de la certificaciỲÄ∞√õ√ìn sobre el manejo forestal en relaciỲÄ∞√õ√ìn a aspectos ecolỲÄ∞√õ√ìgicos, econỲÄ∞√õ√ìmicos y sociales fueron entrevistadas con diez empresas en Argentina y Chile que recibieron la certificaciỲÄ∞√õ√ìn de Manejo Forestal Sustentable del Forest Stewardship Council (FSC) o Sistema Chileno de CertificaciỲÄ∞√õ√ìn Forestal (CERTFOR). Todas las empresas mejoraron sus prỲÄ∞√õ√Åcticas de manejo forestal, de protecciỲÄ∞√õ√ìn ambiental, sus relaciones con la comunidad y con el p¬Å√íblico, su economỲÄ∞√õ¬™a y sus sistemas de manejo ambiental a fin de recibir la certificaciỲÄ∞√õ√ìn forestal, con un promedio de 27 cambios informados por cada firma que obtuvo la certificaciỲÄ∞√õ√ìn. La cantidad de cambios estuvo uniformemente distribuida entre las prỲÄ∞√õ√Åcticas de manejo forestal, los aspectos sociales y legales, y los aspectos econỲÄ∞√õ√ìmicos y de planificaciỲÄ∞√õ√ìn. La mayorỲÄ∞√õ¬™a de las firmas certificadas por FSC recibieron tambi_n varias solicitudes de acciones correctivas, pero _stas representan sỲÄ∞√õ√ìlo un tercio del total de 27 cambios realizados por estas empresas para recibir o mantener la certificaciỲÄ∞√õ√ìn. La certificaciỲÄ∞√õ√ìn parece haber generado similar n¬Å√ímero de cambios en Argentina y Chile, ya sea FSC o CERTFOR. Alrededor 5% hasta 10% del tiempo de los empleados fue ganado con certificaciỲÄ∞√õ√ìn forestal. Las personas entrevistadas en las empresas se encontraban por lo general satisfechas con la certificaciỲÄ∞√õ√ìn y excepto una de las empresas, el resto de ellas proyectaban renovar la certificaciỲÄ∞√õ√ìn forestal. √•¬© 2010 Elsevier B.V."	Forest Policy and Economics 12  497-504 DOI:10.1016/j.forpol.2010.06.004	Argentina	"-34.6037, -58.3816"	Forest sector	Timber	Forest Stewardship Council (FSC); Sistema Chileno de Certificacion Forestal (CERTFOR)	Firms	Firm owners; Workers	Producer	Mixed methods	"Interviews (broad, likert and binary) with managers and audit/management data"	Pre-post	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported				Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported	Data Reported		Data Reported			Data Reported				Data Reported	
9554	"Cubbage, F.; Diaz, D.; Yapura, P.; Dube, F."	2010	Impacts of forest management certification in Argentina and Chile	"Individuals at ten firms in Argentina and Chile that had received Forest Stewardship Council (FSC) or Sistema Chileno de CertificaciỲÄ∞√õ√ìn Forestal (CERTFOR) forest management certification were interviewed to determine the management, environmental, social, and economic impacts of certification. All firms improved many practices in forest management, environmental protection, community relations, public affairs, economic, and environmental management systems in order to receive certification, with an average of 27 changes reported per firm that received forest certification. The amount of changes were fairly evenly distributed among forest management practices, social and legal aspects, and economic and system impacts. Most firms certified by FSC received several conditions or corrective action requests, but these represented only about one-third of the 27 changes those firms made to receive or maintain certification. Certification appeared to prompt similar changes in Argentina and Chile, and with FSC and CERTFOR. Certified firms usually hired only one or two new employees for certification, but did shift job responsibilities so that about 5% to 10% of personnel time was spent on certification. Individuals at interviewed firms were generally very satisfied with certification and all firms except one intended to re-certify. SPANISH: A fin de determinar los impactos de la certificaciỲÄ∞√õ√ìn sobre el manejo forestal en relaciỲÄ∞√õ√ìn a aspectos ecolỲÄ∞√õ√ìgicos, econỲÄ∞√õ√ìmicos y sociales fueron entrevistadas con diez empresas en Argentina y Chile que recibieron la certificaciỲÄ∞√õ√ìn de Manejo Forestal Sustentable del Forest Stewardship Council (FSC) o Sistema Chileno de CertificaciỲÄ∞√õ√ìn Forestal (CERTFOR). Todas las empresas mejoraron sus prỲÄ∞√õ√Åcticas de manejo forestal, de protecciỲÄ∞√õ√ìn ambiental, sus relaciones con la comunidad y con el p¬Å√íblico, su economỲÄ∞√õ¬™a y sus sistemas de manejo ambiental a fin de recibir la certificaciỲÄ∞√õ√ìn forestal, con un promedio de 27 cambios informados por cada firma que obtuvo la certificaciỲÄ∞√õ√ìn. La cantidad de cambios estuvo uniformemente distribuida entre las prỲÄ∞√õ√Åcticas de manejo forestal, los aspectos sociales y legales, y los aspectos econỲÄ∞√õ√ìmicos y de planificaciỲÄ∞√õ√ìn. La mayorỲÄ∞√õ¬™a de las firmas certificadas por FSC recibieron tambi_n varias solicitudes de acciones correctivas, pero _stas representan sỲÄ∞√õ√ìlo un tercio del total de 27 cambios realizados por estas empresas para recibir o mantener la certificaciỲÄ∞√õ√ìn. La certificaciỲÄ∞√õ√ìn parece haber generado similar n¬Å√ímero de cambios en Argentina y Chile, ya sea FSC o CERTFOR. Alrededor 5% hasta 10% del tiempo de los empleados fue ganado con certificaciỲÄ∞√õ√ìn forestal. Las personas entrevistadas en las empresas se encontraban por lo general satisfechas con la certificaciỲÄ∞√õ√ìn y excepto una de las empresas, el resto de ellas proyectaban renovar la certificaciỲÄ∞√õ√ìn forestal. √•¬© 2010 Elsevier B.V."	Forest Policy and Economics 12  497-504 DOI:10.1016/j.forpol.2010.06.004	Chile	"-33.4489, -70.6693"	Forest sector	Timber	Forest Stewardship Council (FSC); Sistema Chileno de Certificacion Forestal (CERTFOR)	Firms	Firm owners; Workers	Producer	Mixed methods	"Interviews (broad, likert and binary) with managers and audit/management data"	Pre-post	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported				Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported	Data Reported		Data Reported			Data Reported				Data Reported	
6458	Domagala-Swiatkiewicz I.;  Gastol M.	2013	Soil chemical properties under organic and conventional crop management systems in south Poland	"There is a great need to assess the impact of farming methods on soil fertility, especially in specific ecoregions. In Poland, relatively limited research has been conducted on soil quality and fertility in organic, dynamically developing agricultural systems. A comparative study on soil parameters under organic and conventional cultivation was performed in 2009. Twenty-two pairs (organic-conventional) of fields located in the south and east of Poland were chosen. All organic sites were certified. The following field crops were investigated: apple, pear, blackcurrant, carrot, beetroot, and celery. The soil granulometric composition, total organic content, total nitrogen, as well as the content of available macroelements (P, K, Ca, Mg, S), microelements (Cu, Fe, Zn, Mn, B), and trace elements (Cd and Pb) were measured. The organic farm soils had a higher level of the total organic matter (2.02%) than the conventional (1.75%). The organic system increased the total soil N level in celery and beetroot fields. Low or very low concentrations of available P in organically managed orchards were observed in individual farms, whereas excessive soil P amounts were noted for organic beetroot and celery fields. Differences in soil K concentration caused by the farming system were found only for red beet. Ca concentration was higher in the conventional than in the organic soil only for celery. There was a higher soil available Cu concentration for all of the investigated conventional vegetable fields than for the organic. The reverse was true for the apple and blackcurrant farms. The highest levels of Cd and Pb were noted in soils sampled from some organic celery fields. √•¬© 2013 Taylor & Francis Group, LLC."	Biological Agriculture and Horticulture 29  43462 DOI:10.1080/01448765.2013.748362	Poland	"51.892700, 21.002200"	Fruit	Fruit	Organic	Farms	Individua Farm Fields 	Producer	Field experiments	N/A	Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																					Data Reported			
6458	Domagala-Swiatkiewicz I.;  Gastol M.	2013	Soil chemical properties under organic and conventional crop management systems in south Poland	"There is a great need to assess the impact of farming methods on soil fertility, especially in specific ecoregions. In Poland, relatively limited research has been conducted on soil quality and fertility in organic, dynamically developing agricultural systems. A comparative study on soil parameters under organic and conventional cultivation was performed in 2009. Twenty-two pairs (organic-conventional) of fields located in the south and east of Poland were chosen. All organic sites were certified. The following field crops were investigated: apple, pear, blackcurrant, carrot, beetroot, and celery. The soil granulometric composition, total organic content, total nitrogen, as well as the content of available macroelements (P, K, Ca, Mg, S), microelements (Cu, Fe, Zn, Mn, B), and trace elements (Cd and Pb) were measured. The organic farm soils had a higher level of the total organic matter (2.02%) than the conventional (1.75%). The organic system increased the total soil N level in celery and beetroot fields. Low or very low concentrations of available P in organically managed orchards were observed in individual farms, whereas excessive soil P amounts were noted for organic beetroot and celery fields. Differences in soil K concentration caused by the farming system were found only for red beet. Ca concentration was higher in the conventional than in the organic soil only for celery. There was a higher soil available Cu concentration for all of the investigated conventional vegetable fields than for the organic. The reverse was true for the apple and blackcurrant farms. The highest levels of Cd and Pb were noted in soils sampled from some organic celery fields. √•¬© 2013 Taylor & Francis Group, LLC."	Biological Agriculture and Horticulture 29  43462 DOI:10.1080/01448765.2013.748362	Poland	"51.892700, 21.002200"	Vegetables	Vegetables	Organic	Farms	Individua Farm Fields 	Producer	Field experiments	N/A	Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																					Data Reported			
2269	"Donovan, J.; Poole, N."	2014	Partnerships in Fairtrade coffee: a close-up look at how buyers and NGOs build supply capacity in Nicaragua	"This paper examines efforts by buyers and NGOs to build the supply of Fairtrade coffee from the Nicaragua-based cooperative Soppexcca following the coffee crisis. Support was aimed at transforming Soppexcca into a viable business, able to respond to the needs of its coffee-farming members. Results show that Soppexcca made significant gains, including expansion of infrastructure, growth in membership, and increased financial stability. However, important issues remained, related to democratic governance, future growth and stability, and the provision of services. Results suggest that advances in building cooperatives do not easily translate into increased capacities at the household level. While some important gains were detected, in general, producers struggled to intensify coffee production and take full advantage of their access to preferential markets. This paper makes a plea for deeper discussions about how buyers and NGOs can more effectively contribute to building the supply of high-quality Fairtrade coffee, and the need for increased coordination and mutual learning as part of the process."	Special Issue: The impact of fairtrade. 4  34-48 	Nicaragua	"12.1150, -86.2362"	Coffee	Coffee	Fair Trade; Rainforest Alliance; Organic	Co-operatives	Farmers 	Producer 	Mixed methods	"Interviews, Sales data"	Matched 	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported				Data Reported									
1837	"Dorr, Andrea Cristina; Grote, Ulrike"	2009	The role of certification in the Brazilian fruit sector	"Certification systems play an important role in any market that is burdened with a high degree of information asymmetry and quality uncertainty. Thus, producers and exporters of fresh fruit in developing countries like Brazil are increasingly required to demonstrate the safety and traceability of their produce up to the consumption stage. This paper aims at presenting a comparative analysis of the different certification schemes applied to fruit production in Brazil. A survey of 303 grape and mango farmers was conducted in 2006 in the Juazeiro and Petrolina regions of the SỲÄ∞√õ_o Francisco Valley. The results of the certification schemes adopted by grape farmers show that GlobalGAP certified ones have higher productivity. The income of farmers with one certificate is higher than that of those with two certificates. The comparative analysis of small and medium farms concludes that there is no evidence of the marginalization of small farmers. apresentam um alto nỲÄ∞√õ¬™vel da assimetria de informa√å¬§ỲÄ∞√õ_o e incerteza na qualidade. Por isso, produtores e exportadores de frutas frescas de paỲÄ∞√õ¬™ses em desenvolvimento como o Brasil sỲÄ∞√õ_o constantemente requisitados a demonstrar seguran√å¬§a e rastreabilidade da produ√å¬§ỲÄ∞√õ_o at_ o estỲÄ∞√õ√Ågio final de consumo. Este artigo tem como objetivo apresentar uma anỲÄ∞√õ√Ålise comparativa dos diferentes sistemas de certifica√å¬§ỲÄ∞√õ_o existentes na fruticultura no Brasil. A coleta de dados primỲÄ∞√õ√Årios com 303 produtores de uva e manga foi conduzida em 2006 na regiỲÄ∞√õ_o de Juazeiro e Petrolina no Vale do SỲÄ∞√õ_o Francisco. Os resultados mostram que produtores de uva que sỲÄ∞√õ_o certificados com GlobalGAP t√å¬ªm maior produtividade. A renda dos produtores com um certificado _ maior que a dos que possuem dois certificados. A ỲÄ∞√õ√Ånalise comparativa das pequenas e m_dias propriedades conclui que nỲÄ∞√õ_o hỲÄ∞√õ√Å evid√å¬ªncia de marginaliza√å¬§ỲÄ∞√õ_o de pequenos produtores."	Revista de Economia ContemporỲÄ∞√õ¬°nea 13  539-571 	Brazil	"-26.249100, -48.634600"	Fruit	Grapes; Mango	GLOBALG.A.P	Farms	Farmers 	Producer	Household surveys	N/A	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported	Data Reported					Data Reported							
9622	"Duchelle, Amy E.; Kainer, Karen A.; Wadt, Lucia H. O."	2014	Is Certification Associated with Better Forest Management and Socioeconomic Benefits? A Comparative Analysis of Three Certification Schemes Applied to Brazil Nuts in Western Amazonia	"Nontimber forest product (NTFP) certification has potential to promote sustainable harvest and to bolster rural livelihoods. This research compares environmental and socioeconomic benefits of Brazil nut certification for 231 producers in 17 communities in the trinational border region of Bolivia, Brazil, and Peru during the 2006-2007 harvest. Specific objectives were: (1) to analyze differences in ""best management practices"" between certified and noncertified producers; (2) to identify socioeconomic benefits associated with certified nuts; and (3) to explore producer perceptions of nut certification. Organic and Fairtrade certification were associated with better postharvest practices and higher prices, while Forest Stewardship Council (FSC) certification was related to preharvest planning. Certification was viewed most positively in Bolivia, where producers gleaned financial and social benefits, moderately in Peru, and least positively in Brazil, where benefits were lower or nonexistent. Partnerships with cooperatives, donors, government, and nongovernmental organizations were essential to maximize conservation and development objectives."	Society & Natural Resources 27  121-139 	Brazil	"-10.963488, -69.557771"	Nuts	Brazil nut	Organic; Fair Trade; Rainforest Alliance	Co-operatives; Smallholders	Per-country	Producer	Household surveys	N/A	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported												Data Reported					Data Reported							Data Reported
9622	"Duchelle, Amy E.; Kainer, Karen A.; Wadt, Lucia H. O."	2014	Is Certification Associated with Better Forest Management and Socioeconomic Benefits? A Comparative Analysis of Three Certification Schemes Applied to Brazil Nuts in Western Amazonia	"Nontimber forest product (NTFP) certification has potential to promote sustainable harvest and to bolster rural livelihoods. This research compares environmental and socioeconomic benefits of Brazil nut certification for 231 producers in 17 communities in the trinational border region of Bolivia, Brazil, and Peru during the 2006-2007 harvest. Specific objectives were: (1) to analyze differences in ""best management practices"" between certified and noncertified producers; (2) to identify socioeconomic benefits associated with certified nuts; and (3) to explore producer perceptions of nut certification. Organic and Fairtrade certification were associated with better postharvest practices and higher prices, while Forest Stewardship Council (FSC) certification was related to preharvest planning. Certification was viewed most positively in Bolivia, where producers gleaned financial and social benefits, moderately in Peru, and least positively in Brazil, where benefits were lower or nonexistent. Partnerships with cooperatives, donors, government, and nongovernmental organizations were essential to maximize conservation and development objectives."	Society & Natural Resources 27  121-139 	Bolivia	"-10.963488, -69.557771"	Nuts	Brazil nut	Organic; Fair Trade; Rainforest Alliance	Co-operatives; Smallholders	Per-country	Producer	Household surveys	N/A	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported												Data Reported					Data Reported							Data Reported
9622	"Duchelle, Amy E.; Kainer, Karen A.; Wadt, Lucia H. O."	2014	Is Certification Associated with Better Forest Management and Socioeconomic Benefits? A Comparative Analysis of Three Certification Schemes Applied to Brazil Nuts in Western Amazonia	"Nontimber forest product (NTFP) certification has potential to promote sustainable harvest and to bolster rural livelihoods. This research compares environmental and socioeconomic benefits of Brazil nut certification for 231 producers in 17 communities in the trinational border region of Bolivia, Brazil, and Peru during the 2006-2007 harvest. Specific objectives were: (1) to analyze differences in ""best management practices"" between certified and noncertified producers; (2) to identify socioeconomic benefits associated with certified nuts; and (3) to explore producer perceptions of nut certification. Organic and Fairtrade certification were associated with better postharvest practices and higher prices, while Forest Stewardship Council (FSC) certification was related to preharvest planning. Certification was viewed most positively in Bolivia, where producers gleaned financial and social benefits, moderately in Peru, and least positively in Brazil, where benefits were lower or nonexistent. Partnerships with cooperatives, donors, government, and nongovernmental organizations were essential to maximize conservation and development objectives."	Society & Natural Resources 27  121-139 	Peru	"-10.963488, -69.557772"	Nuts	Brazil nut	Organic; Fair Trade; Rainforest Alliance	Co-operatives; Smallholders	Per-country	Producer	Household surveys	N/A	Matched	No Data Reported	No Data Reported	Data Reported	Data Reported												Data Reported					Data Reported							Data Reported
5440	Eduardo Mello Mazzoleni; Jorge Madeira Nogueira	2006	Organic agriculture: basic characteristics of producers	"Characteristics, potential and limitations of various types of socio-environmental certification for agroforestry systems. Organic agriculture is still inexpressive in Brazil. Its relevance, however, has been growing significantly, following international trends. This study analyzes basic characteristics of organic producers, contributing to the present level of knowledge on this matter in Brazil. Using primary data on organic farmers of a region close to Curitiba, in the southern state of Paran√°, we identify their main personal, technical and economic characteristics. Our sample farmers were divided into two groups: farmers in the stage of conversion toward organic agriculture and farmers already certified as organic producers. Results indicate the influence of the education level and of  their professional experiences as key elements to characterize organic producers. Other relevant aspects are labor availability and integration of farming, livestock and forest activities."	Rev. Econ. Sociol. Rural vol.44 no.2 Bras√≠lia Apr./June 2006 http://dx.doi.org/10.1590/S0103-20032006000200006  	Brazil	"-25.436206, -49.269887"	Agriculture	Various	Organic	Individual		Producer			matched certified and in process of conversion	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported	Data Reported	Data Reported											
11992	"Elder, Sara D.; Zerriffi, Hisham; Le Billon, Philippe"	2012	Effects of Fair Trade Certification on Social Capital: The Case of Rwandan Coffee Producers	"Fair Trade certification may have important social effects on small-scale producers but empirical evidence is limited. We conducted logistic regressions using data from a 2009 survey of Rwandan coffee farmers to estimate the link between Fair Trade and social capital-measured as farmer trust and participation-while controlling for various other factors that could influence social capital, particularly membership in a cooperative organization. The results show a negative association between Fair Trade and farmer trust in cooperative leadership and a positive association with a perceived higher level of participation of women. Social capital is linked most significantly to farmers' interaction with their neighbors. (C) 2012 Elsevier Ltd. All rights reserved."	World Development 40  2355-2367 	Rwanda	"-1.970600, 30.104400"	Coffee	Coffee	Fair Trade ; Rainforest Alliance	Co-operatives; Smallholders	Farmers	Producer	Mixed methods	"Household Surveys. Interviews, Modeling"	Matched	Data Reported	Data Reported	Data Reported	No Data Reported					Data Reported							Data Reported												
6459	"Ernah, Parvathi P., Waibel H."	2016	Adoption of sustainable palm oil practices by Indonesian smallholder farmers.	"The Indonesian Sustainable Palm Oil (ISPO) was introduced as a mandatory sustainability standard for large oil palm producers in 2011. While these standards are voluntary for smallholder farmers, some of their crop management practices may converge with ISPO principles. Hence, this study investigates oil palm practices among smallholder farmers in Merangin district in Jambi province, Sumatra. We draw upon a three-year panel data set of 233 oil palm smallholder farmers. We assess the factors that explain the use of these practices first by means of a bivariate probit model for a sequence of practices defined as implementation thresholds. Second we apply a count model to examine the intensity of ISPO practices. Results show that the use of ISPO-type crop management practices is not widespread among oil palm smallholders. Sixty per cent of the farmers used four practices, and this share drops to 40 per cent for six practices. Among the factors that determine the use of practices were household characteristics, economic shocks and farmers' perceived risk of diminishing oil palm productivity. This study provides a basis for developing an extension strategy of introducing ISPO practices for oil palm smallholders."	"Journal of Southeast Asian Economies, 33, 291-316. DOI: 10.1355/ae33-3b https://bookshop.iseas.edu.sg/publication/1943"	Indonesia	"0.7893, 113.9213"	Palm Oil	Palm oil	ISPO (Indonesian Sustainable Palm Oil Standard)	Smallholders	Farmers	Producer	Mixed methods	Surveys and Interviews	Matched	Data Reported	No Data Reported	Data Reported	Data Reported												Data Reported		Data Reported		Data Reported						Data Reported		
2322	"Estevez, C. L.; Bhat, M. G.; Bray, D. B."	2017	"Commodity chains, institutions, and domestic policies of organic and fair trade coffee in Bolivia"	"Fair trade and organic coffee are alternative production and trade systems designed to promote the equitable and environmentally sustainable production of coffee. The purpose of this study is to analyze the functioning of different coffee supply chains in Bolivia and find policy changes necessary to sustain specialty coffee production in that country. Based on the primary and secondary data collected from various market functionaries, we find that the Bolivian coffee growers and other intermediaries have benefited financially from participating in fair trade and organic markets. However, the producers continue to face challenges, including increasing costs of production, stagnant premium, price floors, and declining yield. Institutional reforms within the supply chain and greater support from the government are necessary to ensure a better functioning Bolivian market. The government should also prioritize certified coffee as a part of its national food sovereignty agenda since Bolivians consume increasing amounts of high-quality coffees. √•¬© 2017 Taylor & Francis"	Agroecology and Sustainable Food Systems   299-327 DOI:10.1080/21683565.2017.1359737	Bolivia	"-16.489700, -68.119300"	Coffee	Coffee	Organic; Fair Trade; Rainforest Alliance	Co-operatives	Co-operatives	Producer	Mixed methods	"Household surveys, Interviews (Freeform)"	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported			Data Reported										
4444	"Fernandez-Cornejo J., Greene C., Penn R., Newton D."	1998	Organic vegetable production in the U.S.: Certified growers and their practices.	"Organic farming systems differ fundamentally from conventional ones in their primary focus on management practices that promote and enhance ecological harmony. Organic farmers also tend to have a different socioeconomic profile. In this study, average socioeconomic characteristics and production practices of a national sample of about 300 certified organic vegetable growers from 14 states in USA are summarized and compared to a sample of about 6900 conventional vegetable growers. Specific materials used by organic growers for pest and nutrient management are described. Organic vegetable growers tend to be younger, more educated, less experienced in farming, and less likely to have grown up on a farm than conventional vegetable growers, and tend to operate smaller farms. Over three-quarters of the organic vegetable growers surveyed had small operations (<10 acres) and worked fewer days in off-farm jobs than conventional small growers. In contrast to conventional marketing practices, nearly half the surveyed organic growers, and the majority of small ones, marketed their vegetables directly to consumers through farmers' markets and other direct marketing channels. Organic growers relied primarily on traditional organic processes such as green manuring (legumes), animal manuring, composting and crop rotation to supply crop nutrients, and on cultural and biological tools, including pest-resistant plant cultivars, water management techniques, adjustment of planting and harvesting dates and beneficial organisms, for pest management. Animal meal, fish products and lime were the most frequently reported supplemental nutrient sources (14, 20 and 28%, respectively, used these materials). Pyrellin EC and petroleum-based soaps were the most frequently reported supplemental pest management materials (used by 6 and 8%, respectively). The pest and nutrient materials used by organic growers were generally consistent with current guidelines of major certification organizations that provide services to organic growers. There was high consistency among those guidelines and national recommendations for most of these materials."	American Journal of Alternative Agriculture 13: 69-78. DOI: http://dx.doi.org/10.1017/S0889189300007694	USA	"38.9072, -77.0369"	Vegetables	Vegetables	Organic	Farms	Farmers	Producer	Mixed methods	Survey and government data	Matched	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported												Data Reported				Data Reported				Data Reported	Data Reported	Data Reported	
1066	"Fikadu, Mitiku; Mey, Y. de; Nyssen, J.; Maertens, M."	2017	Do private sustainability standards contribute to income growth and poverty alleviation? A comparison of different coffee certification schemes in Ethiopia	"Private sustainability standards are increasingly important in food trade with developing countries, but the implications for smallholder farmers are still poorly understood. We analyze the implications of different coffee certification schemes in Ethiopia using cross-sectional survey data, and regression and propensity-score-matching techniques. We find that: Rainforest Alliance (RA) and double Fairtrade-Organic (FT-Org) certifications are associated with higher incomes and reduced poverty, mainly because of higher prices; Fairtrade (FT) certification hardly affects welfare; and Organic (Org) certification reduces incomes, chiefly due to lower yields. Cooperative heterogeneity importantly shapes these results. Results imply that private standards may not always deliver what they promise to consumers."	Sustainability (Switzerland) 9  246-246 DOI:10.3390/su9020246	Ethiopia	"7.4000000, 36.2333300"	Coffee	Coffee	Organic; Rainforest Alliance; Fair Trade; Rainforest Alliance	Co-operatives	Farms	Producer	Household surveys	N/A	Matched	Data Reported	Data Reported	Data Reported	No Data Reported		Data Reported									Data Reported			Data Reported	Data Reported		Data Reported 							
11436	"Forster, Dionys; Andres, Christian; Verma, Rajeev; Zundel, Christine; Messmer, Monika M.; M_der, Paul"	2013	Yield and Economic Performance of Organic and Conventional Cotton-Based Farming Systems. Results from a Field Trial in India		PLoS ONE 8 12 e81039 DOI:10.1371/journal.pone.0081039	India	"22.973400, 78.656900"	Textiles	Cotton	Organic	Farms; Smallholders	Smallholdings; Farms	Producer	Mixed methods	"Field Experiments, Household surveys"	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported												Data Reported	Data Reported		Data Reported									
