ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	LatDD	LonDD	Rural/Urban/Peri-Urban	Sample Size (n)	Is the Study about Cooking Sector?	Program Focus	Start Date of Intervention/Program	Study Start Date	Study Duration (Years)	Years Since Intervention (Sustainability Measure)	Synthesis Paper	Missing Data	"If Yes, Is There Accountability?"	Is Secondary Data Used?	Independently Measured Outcomes	Measured Outcomes - Social	Measured Outcomes - Economic	Measured Outcomes - Environmental	Drivers/Barriers Data Present?	Characteristics of Setting - Drivers	Characteristics of Setting - Barriers	"Knowledge and Perception, Information - Drivers"	"Knowledge and Perception, Information - Barriers"	Technology Characteristics - Drivers	Technology Characteristics - Barriers	"Financial, Tax and Subsidy Aspects - Drivers"	"Financial, Tax and Subsidy Aspects - Barriers"	"Regulation, Legislation and Standards - Drivers"	"Regulation, Legislation and Standards - Barriers"	Market Development - Drivers	Market Development - Barriers	Programmatic and Policy Mechanisms - Drivers	Programmatic and Policy Mechanisms - Barriers	Other - Drivers	Other - Barriers	Poverty - Drivers	Poverty - Barriers	Gender - Drivers	Gender - Barriers
S122.1	Report	2008	"Obueh, J."	"Results of Project Gaia's CleanCook Methanol Stove. Pilot Study in Delta State, Nigeria"	Project Gaia Nigeria Pilot Study Final Report 			https://www.projectgaia.com/						Nigeria	6.2	6.7	Urban and Rural	60	Y	Energy - Fuel Transition	2007	2007	0.25	NR	N	N		N	Social and Economic	Safety [Improved]	Cost Saving [Improved]		Drivers and Barriers			Safety. Stove/Fuel efficient.		Fuel Quality						"While 52.3% of the entire study respondents agreed with the way methanol fuel was distributed to them in the stove canisters, 43.7% disagreed, saying they are not satisfied with canister distribution."	"While 52.3% of the entire study respondents agreed with the way methanol fuel was distributed to them in the stove canisters, 43.7% disagreed, saying they are not satisfied with canister distribution."								
S122.2	Report	2008	"Obueh, J."	"Results of Project Gaia's CleanCook Methanol Stove. Pilot Study in Delta State, Nigeria"	Project Gaia Nigeria Pilot Study Final Report 			https://www.projectgaia.com/						Nigeria	5.79	6.1	Urban and Rural	45	Y	Energy - Fuel Transition	2007	2007	0.25	NR	N	N		N	Social and Economic	Safety [Improved]	Cost Saving [Improved]		Drivers and Barriers			Safety. Stove/Fuel efficient.		Fuel Quality						"While 52.3% of the entire study respondents agreed with the way methanol fuel was distributed to them in the stove canisters, 43.7% disagreed, saying they are not satisfied with canister distribution."	"While 52.3% of the entire study respondents agreed with the way methanol fuel was distributed to them in the stove canisters, 43.7% disagreed, saying they are not satisfied with canister distribution."								
S122.3	Report	2008	"Obueh, J."	"Results of Project Gaia's CleanCook Methanol Stove. Pilot Study in Delta State, Nigeria"	Project Gaia Nigeria Pilot Study Final Report 			https://www.projectgaia.com/						Nigeria	5.55	5.79	Urban and Rural	45	Y	Energy - Fuel Transition	2007	2007	0.25	NR	N	N		N	Social and Economic	Safety [Improved]	Cost Saving [Improved]		Drivers and Barriers			Safety. Stove/Fuel efficient.		Fuel Quality						"While 52.3% of the entire study respondents agreed with the way methanol fuel was distributed to them in the stove canisters, 43.7% disagreed, saying they are not satisfied with canister distribution."	"While 52.3% of the entire study respondents agreed with the way methanol fuel was distributed to them in the stove canisters, 43.7% disagreed, saying they are not satisfied with canister distribution."								
S128	Journal Article		"Hanna, R.; Duflo, E.; Greenstone, M."	Up in Smoke: The Influence of Household Behaviour on the Long-Run Impact of Improved Cooking Stoves	American Economic Journal: Economic Policy		DOI: 10.1257/pol.20140008	https://www.nber.org/papers/w18033	"Laboratory studies suggest that improved cooking stoves can reduce  indoor air pollution, improve health, and decrease greenhouse gas  emissions in developing countries. We provide evidence, from a  large-scale randomized trial in India, on the benefits of a common,  laboratory-validated stove with a four-year follow-up. While smoke  inhalation initially falls, this effect disappears by year two. We find  no changes across health outcomes or greenhouse gas emissions. Households used the stoves irregularly and inappropriately, failed to  maintain them, and usage declined over time. This study underscores  the need to test environmental technologies in real-world settings  where behavior may undermine potential impacts."	8	1	80-114		India	20.257164	85.8191019	Rural	2651	Y	Cookstoves		2005	5	4	N				Social and Environmental	Human Health and Wellbeing [Improved]		Air pollutants [Improved]; GHG emissions [No Change]	Barriers						"1. Failure to maintain and repair. -Initial household take-up and usage of the (almost free) new stoves was far from universal and then declined markedly over time as households failed to make the maintenance investments (e.g., cleaning the chimney) necessary to keep them fully operational. 2. stoves failed to achieve their primary goal of reducing exposure to hazardous air pollutants. While there was  significant effect on smoke inhalation during the first year for the primary cooks in the household, the treatment effect became statistically indistinguishable from zero in subsequent years as proper stove usage declined."														
S128	Journal Article		"Hanna, R.; Duflo, E.; Greenstone, M."	Up in Smoke: The Influence of Household Behaviour on the Long-Run Impact of Improved Cooking Stoves	American Economic Journal: Economic Policy		DOI: 10.1257/pol.20140008	https://www.nber.org/papers/w18033	"Laboratory studies suggest that improved cooking stoves can reduce  indoor air pollution, improve health, and decrease greenhouse gas  emissions in developing countries. We provide evidence, from a  large-scale randomized trial in India, on the benefits of a common,  laboratory-validated stove with a four-year follow-up. While smoke  inhalation initially falls, this effect disappears by year two. We find  no changes across health outcomes or greenhouse gas emissions. Households used the stoves irregularly and inappropriately, failed to  maintain them, and usage declined over time. This study underscores  the need to test environmental technologies in real-world settings  where behavior may undermine potential impacts."	8	1	80-114		India	20.257164	85.8191019	Rural	2651	Y	Cookstoves		2007	5	4	N				Social and Environmental	Human Health and Wellbeing [Improved]		Air pollutants [Improved]; GHG emissions [No Change]	Barriers						"1. Failure to maintain and repair. -Initial household take-up and usage of the (almost free) new stoves was far from universal and then declined markedly over time as households failed to make the maintenance investments (e.g., cleaning the chimney) necessary to keep them fully operational. 2. stoves failed to achieve their primary goal of reducing exposure to hazardous air pollutants. While there was  significant effect on smoke inhalation during the first year for the primary cooks in the household, the treatment effect became statistically indistinguishable from zero in subsequent years as proper stove usage declined."														
S142	Journal Article	2015	"Calvo-Gonzalez, O.; Cunha, B.; Trezzi, R."	When Winners Feel Like Losers: Evidence from an Energy Subsidy Reform	The World Bank Economic Review			http://documents.worldbank.org/curated/en/601991468182346903/pdf/WPS7265.pdf		31	2	329-350		El Salvador	13.69	-89.22	Urban	6610	Y	Energy - Fuel Transition	2011	2011	3	NR	N	N		N	Social 	Human Health and Wellbeing [Worsened]			Drivers			In January 2011 only 18 percent of people considered themselves to be well (or very well) informed about the policy change.  Around 25 percent of the population did not know what the price without subsidy would be and a further 22 percent underestimated it by more than five dollars						The increase in the satisfaction rate over time is essentially driven by the ability of the government to deliver the subsidy.											
S146	Journal Article	2018	"Calzada, J.; Sanz, A."	Universal access to clean cookstoves: Evaluation of a public program in Peru.	Energy Policy	0301-4215	https://doi.org/10.1016/j.enpol.2018.03.066	https://www.sciencedirect.com/science/article/pii/S0301421518302003	"The use of biofuels for heating and cooking is the main cause of indoor air pollution in developing countries, and one of the main causes of acute respiratory infections. To tackle this problem, in 2012, the Peruvian Government created the FISE program, which subsidizes the replacement of traditional stoves with gas cookstoves. This paper describes the challenges faced during the implementation of the FISE, such as the selection of beneficiaries and the creation of a national network of suppliers for the delivery of liquefied petroleum gas (LPG) cylinders. Using a dataset with information collected from five districts in the department of Ayacucho in 2015, we apply propensity score matching at the household level to evaluate the effects of the program. We show that the FISE favored the adoption of the LPG cookstoves, but that many households still combine their use with traditional cookstoves. We find no evidence that the use of LPG stoves has reduced respiratory problems in the beneficiary households; however, the program has been found to increase the use of LPG stoves for boiling water, which may reduce the exposition of child in beneficiary households to water-related diseases."	118		559-572	Cookstoves; LPG; Subsidies; Indoor air pollution; Health; FISE program; Peru	Peru	-13.16	-74.22	Urban Peri-Urban and Rural	1816	Y	Energy - Fuel Transition	2012	2015	5	NR	N	NR		Y	Social and Economic and Environmental	Human Health and Wellbeing [Improved]	Sustained Funding [Improved]; Supply Chain [Worsened]	Emissions Within Homes [Improved]	Drivers	"The program encourages the replacement of traditional or/and improved stoves with LPG stoves, promotes the use of LPG stoves for cooking, even in those households that were already using an LPG stove before the implementation of the program."						Favoured adoption of LPG cookstoves by low-income households.						FISE increases the probability of households boiling their water using LPG stoves.		Users of LPG stoves might continue using air polluting fuels for heating				Results do not show a significant effect of the voucher on the reduction of respiratory problems in women.	
S147	Journal Article	2015	"Wang, Y.; Bailis, R."	"The revolution from the kitchen: Social processes of the removal of traditional cookstoves in Himachal Pradesh, India."	Energy for Sustainable Development		10.1016/j.esd.2015.05.001	https://www.sciencedirect.com/science/article/pii/S097308261500037X	"Despite decades of effort, widespread adoption and long-term use of improved cookstoves in developing countries remain hard to achieve. Conventional energy transition models emphasize households' socio-economic improvement as the most important driver of energy transition. However, previous work has shown households' continued use of old cookstoves or fuels even when adopting new technologies. Through a case study in India, this paper highlights the socio-political processes of the permanent removal of the traditional chulha cookstove. Newly available liquefied petroleum gas stoves and improved biomass stoves, thought to be substitutes for chulha, lead to different adoption pathways for lower and higher caste households. Lower caste households seem to remove chulha more readily because of sensitivity to chulha's heavy smoke that pollutes their utensils, kitchen, and clothes. We posit that by adopting cleaner stoves and removing traditional ones, the marginalized can disassociate themselves from practices that perpetuate their social stigma."	27		127-136	Cookstoves; Diffusion; Displacement; Energy access; LPG; India	India	31.96	77.1	Rural	200	Y	Energy - Other	2013				N				NR 				Neither																				
S158	Journal Article	2019	"Boso, A., Oltra, C. and Hofflinger, A."	"Participation in a programme for assisted replacement of wood-burning stoves in Chile: The role of sociodemographic factors, evaluation of air quality and risk perception."	Energy policy		10.1016/j.enpol.2019.03.038	https://www.sciencedirect.com/science/article/pii/S0301421519302113	"Temuco and Padre Las Casas are two of the most polluted cities in southern Chile; around 90% of the particulate matter emissions are produced by wood-burning stoves used for domestic heating and cooking. Surveys were collected from 489 residents to examine differences between applicants and non-applicants to a programme to replace wood-burning stoves with pellet stoves. Results show that participants who applied to the programme are, on average, older than non-applicants, are more likely to have a respiratory impairment, tend to evaluate indoor air quality worse than non-applicants and tend to perceive the health effects of air pollution as more severe. The findings also suggest that motivation to improve air quality is a key aspect for understanding the adoption of pellet stoves when the requirement for initial investment is removed. Practical implications relating to the role of sociodemographic and psychological factors in the decision to replace heating systems are discussed to support the design of more effective interventions to mitigate wood smoke pollution."	129		1220-1226	Adoption of heating system; Wood pellets; Biomass; Risk perception; Air quality	Chile	-38.74	-72.6	Urban	489	Y	Energy - Fuel Transition	2017	2017	1	NR	N	N			Economic and Environmental		Cost Saving [Improved]	Emissions Within Homes [Improved]	Drivers	"In our sample, only age was significantly associated with participation in the programme to acquire a clean stove. The existence of weak differences in the sociodemographic profile of participants and non-participants in the programme was unexpected."		The air quality in the city (41%) or home (20%) as very bad; 76% perceived the health effect of air pollution as severe and 62% of those who applied to the programme lived in areas where the government bans the use of wood-burning stoves during emergency periods. The difference in perceptions of the barriers to installing wood pellet heating (e.g. the difficulties of rearranging their houses to install pellet stoves) is probably a determining factor between adopters and non-adopters																	
S158	Journal Article	2019	"Boso, A., Oltra, C. and Hofflinger, A."	"Participation in a programme for assisted replacement of wood-burning stoves in Chile: The role of sociodemographic factors, evaluation of air quality and risk perception."	Energy policy		10.1016/j.enpol.2019.03.038	https://www.sciencedirect.com/science/article/pii/S0301421519302113	"Temuco and Padre Las Casas are two of the most polluted cities in southern Chile; around 90% of the particulate matter emissions are produced by wood-burning stoves used for domestic heating and cooking. Surveys were collected from 489 residents to examine differences between applicants and non-applicants to a programme to replace wood-burning stoves with pellet stoves. Results show that participants who applied to the programme are, on average, older than non-applicants, are more likely to have a respiratory impairment, tend to evaluate indoor air quality worse than non-applicants and tend to perceive the health effects of air pollution as more severe. The findings also suggest that motivation to improve air quality is a key aspect for understanding the adoption of pellet stoves when the requirement for initial investment is removed. Practical implications relating to the role of sociodemographic and psychological factors in the decision to replace heating systems are discussed to support the design of more effective interventions to mitigate wood smoke pollution."	129		1220-1226	Adoption of heating system; Wood pellets; Biomass; Risk perception; Air quality	Chile	-38.77	-72.6	Urban	489	Y	Energy - Fuel Transition	2017	2017	1	NR	N	N			Economic and Environmental		Cost Saving [Improved]	Emissions Within Homes [Improved]	Drivers	"In our sample, only age was significantly associated with participation in the programme to acquire a clean stove. The existence of weak differences in the sociodemographic profile of participants and non-participants in the programme was unexpected."		The air quality in the city (41%) or home (20%) as very bad; 76% perceived the health effect of air pollution as severe and 62% of those who applied to the programme lived in areas where the government bans the use of wood-burning stoves during emergency periods. The difference in perceptions of the barriers to installing wood pellet heating (e.g. the difficulties of rearranging their houses to install pellet stoves) is probably a determining factor between adopters and non-adopters																	
S161	Journal Article	2018	"Gould, C.F.; Urpelainen, J."	"LPG as a clean cooking fuel: Adoption, use, and impact in rural India."	Energy Policy	0301-4215	10.1016/j.enpol.2018.07.042	https://www.sciencedirect.com/science/article/pii/S0301421518304877	"Liquefied petroleum gas (LPG) is by far the most popular clean cooking fuel in rural India, but how rural households use it remains poorly understood. Using the 2014_2015 ACCESS survey with over 8500 households from six energy-poor Indian states, our study reports on results from a comprehensive survey of LPG use in rural India using a holistic approach to understanding the integration of a clean cooking fuel into rural household's energy mixes. There are three principal findings: (i) fuel costs are a critical obstacle to widespread adoption, (ii) fuel stacking is the prevailing norm as few households stop using firewood when adopting LPG, and (iii) both users and non-users have highly positive views of LPG as a convenient and clean cooking fuel. These findings show that expanding LPG use offers great promise in rural India, but affordability prevents a complete transition from traditional biomass to clean cooking fuels."	122		395-408	India; Energy poverty; Clean cooking; Technology adoption; Sustained use	India	27.08	76.39	Rural	8568	Y	Cookstoves					Y				NR 				Neither																				
S161	Journal Article	2018	"Gould, C.F.; Urpelainen, J."	"LPG as a clean cooking fuel: Adoption, use, and impact in rural India."	Energy Policy	0301-4215	10.1016/j.enpol.2018.07.042	https://www.sciencedirect.com/science/article/pii/S0301421518304877	"Liquefied petroleum gas (LPG) is by far the most popular clean cooking fuel in rural India, but how rural households use it remains poorly understood. Using the 2014_2015 ACCESS survey with over 8500 households from six energy-poor Indian states, our study reports on results from a comprehensive survey of LPG use in rural India using a holistic approach to understanding the integration of a clean cooking fuel into rural household's energy mixes. There are three principal findings: (i) fuel costs are a critical obstacle to widespread adoption, (ii) fuel stacking is the prevailing norm as few households stop using firewood when adopting LPG, and (iii) both users and non-users have highly positive views of LPG as a convenient and clean cooking fuel. These findings show that expanding LPG use offers great promise in rural India, but affordability prevents a complete transition from traditional biomass to clean cooking fuels."	122		395-408	India; Energy poverty; Clean cooking; Technology adoption; Sustained use	India	25.89	83.56	Rural	8568	Y	Cookstoves					Y				NR 				Neither																				
S161	Journal Article	2018	"Gould, C.F.; Urpelainen, J."	"LPG as a clean cooking fuel: Adoption, use, and impact in rural India."	Energy Policy	0301-4215	10.1016/j.enpol.2018.07.042	https://www.sciencedirect.com/science/article/pii/S0301421518304877	"Liquefied petroleum gas (LPG) is by far the most popular clean cooking fuel in rural India, but how rural households use it remains poorly understood. Using the 2014_2015 ACCESS survey with over 8500 households from six energy-poor Indian states, our study reports on results from a comprehensive survey of LPG use in rural India using a holistic approach to understanding the integration of a clean cooking fuel into rural household's energy mixes. There are three principal findings: (i) fuel costs are a critical obstacle to widespread adoption, (ii) fuel stacking is the prevailing norm as few households stop using firewood when adopting LPG, and (iii) both users and non-users have highly positive views of LPG as a convenient and clean cooking fuel. These findings show that expanding LPG use offers great promise in rural India, but affordability prevents a complete transition from traditional biomass to clean cooking fuels."	122		395-408	India; Energy poverty; Clean cooking; Technology adoption; Sustained use	India	24.32	83.35	Rural	8568	Y	Cookstoves					Y				NR 				Neither																				
S161	Journal Article	2018	"Gould, C.F.; Urpelainen, J."	"LPG as a clean cooking fuel: Adoption, use, and impact in rural India."	Energy Policy	0301-4215	10.1016/j.enpol.2018.07.042	https://www.sciencedirect.com/science/article/pii/S0301421518304877	"Liquefied petroleum gas (LPG) is by far the most popular clean cooking fuel in rural India, but how rural households use it remains poorly understood. Using the 2014_2015 ACCESS survey with over 8500 households from six energy-poor Indian states, our study reports on results from a comprehensive survey of LPG use in rural India using a holistic approach to understanding the integration of a clean cooking fuel into rural household's energy mixes. There are three principal findings: (i) fuel costs are a critical obstacle to widespread adoption, (ii) fuel stacking is the prevailing norm as few households stop using firewood when adopting LPG, and (iii) both users and non-users have highly positive views of LPG as a convenient and clean cooking fuel. These findings show that expanding LPG use offers great promise in rural India, but affordability prevents a complete transition from traditional biomass to clean cooking fuels."	122		395-408	India; Energy poverty; Clean cooking; Technology adoption; Sustained use	India	23.92	73.92	Rural	8568	Y	Cookstoves					Y				NR 				Neither																				
S161	Journal Article	2018	"Gould, C.F.; Urpelainen, J."	"LPG as a clean cooking fuel: Adoption, use, and impact in rural India."	Energy Policy	0301-4215	10.1016/j.enpol.2018.07.042	https://www.sciencedirect.com/science/article/pii/S0301421518304877	"Liquefied petroleum gas (LPG) is by far the most popular clean cooking fuel in rural India, but how rural households use it remains poorly understood. Using the 2014_2015 ACCESS survey with over 8500 households from six energy-poor Indian states, our study reports on results from a comprehensive survey of LPG use in rural India using a holistic approach to understanding the integration of a clean cooking fuel into rural household's energy mixes. There are three principal findings: (i) fuel costs are a critical obstacle to widespread adoption, (ii) fuel stacking is the prevailing norm as few households stop using firewood when adopting LPG, and (iii) both users and non-users have highly positive views of LPG as a convenient and clean cooking fuel. These findings show that expanding LPG use offers great promise in rural India, but affordability prevents a complete transition from traditional biomass to clean cooking fuels."	122		395-408	India; Energy poverty; Clean cooking; Technology adoption; Sustained use	India	23.64	83.39	Rural	8568	Y	Cookstoves					Y				NR 				Neither																				
S161	Journal Article	2018	"Gould, C.F.; Urpelainen, J."	"LPG as a clean cooking fuel: Adoption, use, and impact in rural India."	Energy Policy	0301-4215	10.1016/j.enpol.2018.07.042	https://www.sciencedirect.com/science/article/pii/S0301421518304877	"Liquefied petroleum gas (LPG) is by far the most popular clean cooking fuel in rural India, but how rural households use it remains poorly understood. Using the 2014_2015 ACCESS survey with over 8500 households from six energy-poor Indian states, our study reports on results from a comprehensive survey of LPG use in rural India using a holistic approach to understanding the integration of a clean cooking fuel into rural household's energy mixes. There are three principal findings: (i) fuel costs are a critical obstacle to widespread adoption, (ii) fuel stacking is the prevailing norm as few households stop using firewood when adopting LPG, and (iii) both users and non-users have highly positive views of LPG as a convenient and clean cooking fuel. These findings show that expanding LPG use offers great promise in rural India, but affordability prevents a complete transition from traditional biomass to clean cooking fuels."	122		395-408	India; Energy poverty; Clean cooking; Technology adoption; Sustained use	India	20.18	82.19	Rural	8568	Y	Cookstoves					Y				NR 				Neither																				
S162	Journal Article	2019	"Dendup, N.; Arimura, T.H."	Information leverage: The adoption of clean cooking fuel in Bhutan.	Energy Policy	0301-4216	https://doi.org/10.1016/j.enpol.2018.10.054	http://creativecommons.org/licenses/BY/4.0/	"The outcome of household choice depends on the private information available to an agent, particularly in terms of costs and bene ts. This study examines the role of information in the adoption of clean cooking fuel in Bhutan. We use a rural subsample of nationally representative data from the 2012 Bhutan Living Standard Survey (BLSS) conducted in all twenty districts. We estimate a bivariate probit model to control for the potentially endogenous information variable. The results indicate that households that have access to information are approximately 39% more likely to adopt clean cooking fuel. Similarly, households are 49% less likely to adopt dirty fuel ( rewood) when exposed to information. Other factors such as education, the electricity supply, access to liquidity and the distance to the market are important factors that contribute to adopting clean cooking fuel. The results also show that the e ect of information varies depending on the level of education of the household heads, thus highlighting the importance of accounting for the level of education of information recipients when designing a similar information provision"	125		181-195	Clean fuel; Information; Operator; Environment; Indoor air pollution	Bhutan	24.48	89.6	Not Reported	8968	Y	Energy - Fuel Transition	2012	2012	NR	NR	N				Social and Economic	Human Health and Wellbeing [Improved]; Drudgery [Improved]	Income [Improved]		Drivers and Barriers			households that have access to information are approximately 39% more likely to adopt clean fuel for cooking. ; households are 49% less likely to adopt dirty fuel ( rewood) when exposed to information					"The issue of IAP is also mostly associated with developing countries, and these countries face huge constraints to provide subsidies on clean fuel to households. ; "			information disseminated through television is helpful in adopting clean fuel ; 								Our results also indicate that females show a stronger preference for clean cooking fuel	
S162	Journal Article	2019	"Dendup, N.; Arimura, T.H."	Information leverage: The adoption of clean cooking fuel in Bhutan.	Energy Policy	0301-4216	https://doi.org/10.1016/j.enpol.2018.10.054	http://creativecommons.org/licenses/BY/4.0/	"The outcome of household choice depends on the private information available to an agent, particularly in terms of costs and bene ts. This study examines the role of information in the adoption of clean cooking fuel in Bhutan. We use a rural subsample of nationally representative data from the 2012 Bhutan Living Standard Survey (BLSS) conducted in all twenty districts. We estimate a bivariate probit model to control for the potentially endogenous information variable. The results indicate that households that have access to information are approximately 39% more likely to adopt clean cooking fuel. Similarly, households are 49% less likely to adopt dirty fuel ( rewood) when exposed to information. Other factors such as education, the electricity supply, access to liquidity and the distance to the market are important factors that contribute to adopting clean cooking fuel. The results also show that the e ect of information varies depending on the level of education of the household heads, thus highlighting the importance of accounting for the level of education of information recipients when designing a similar information provision"	125		181-195	Clean fuel; Information; Operator; Environment; Indoor air pollution	Bhutan	24.48	89.6	Not Reported	8968	Y	Cookstoves	2012	2012	NR	NR	N				Social and Economic	Human Health and Wellbeing [Improved]; Drudgery [Improved]	Income [Improved]		Drivers and Barriers			households that have access to information are approximately 39% more likely to adopt clean fuel for cooking. ; households are 49% less likely to adopt dirty fuel ( rewood) when exposed to information					"The issue of IAP is also mostly associated with developing countries, and these countries face huge constraints to provide subsidies on clean fuel to households. ; "			information disseminated through television is helpful in adopting clean fuel ; 								Our results also indicate that females show a stronger preference for clean cooking fuel	
S164	Journal Article	2017	"Acharya, R.H.; Sadath, A.C."	Implications of energy subsidy reform in India.	Energy Policy		https://doi.org/10.1016/j.enpol.2016.12.036		"This paper analyses welfare impact of energy subsidy reform in India based on the data from 1970_ 71 to 2014_ 15. To this end, Auto Regressive Distributed Lag (ARDL) model and Error Correction Model (ECM) have been estimated to quantify the short-run and long-run price and the income elasticity of various energy products. The results show that the price elasticity of demand for all fossil fuels is low, but the respective income elasticity is higher. Therefore, an increase in the general price level caused by the subsidy reform will lead to the erosion of real income and will have related welfare implications in India. The results also reveal that energy expenditure will obviously increase and hence energy consumption will decline depending upon the extent of the withdrawal of subsidy. Therefore, policy makers in India, while undertaking further reforms, must ensure that the subsidy reaches to those who truly deserve, so that the socioeconomic casualty of reforms can be minimized along with achieving fiscal goals"	102		453-462	Energy subsidy; Elasticity; Auto Regressive Distributed Lag (ARDL) Model; Error Correction Model (ECM)	India	28.53	77.07	Not Reported	0	N	Energy - Other	1970	NR	NR	NA	N	Y	N	Y	Economic		Income [Worsened]; Fuel Use [Worsened]		Neither																				
S165a	Journal Article	2015	"Garland, C.; Jagoe, K.; Wasirwa, E.; Nguyen, R.; Roth, C.; Patel, A.; Shah, N.; Derby, E.; Mitchell, J.; Pennise, D.; Johnson, M.A."	"Impacts of household energy programs on fuel consumption in Benin, Uganda, and India."	Energy for Sustainable Development		https://doi.org/10.1016/j.esd.2014.05.005		"This paper presents results of three United States Environmental Protection Agency (U.S. EPA) sponsored field studies which assessed the fuel consumption impacts of household energy programs in Benin, Uganda, and Gujarat, India. These studies expand on a previous round of U.S. EPA supported efforts to build field testing capacity and collect stove performance data in Peru, Nepal, and Maharashtra, India. Daily fuel consumption estimates of traditional and intervention technologies were made using the Kitchen Performance Test (KPT) protocol to determine the potential fuel savings associated with the respective programs. The programs in Benin and Gujarat, India resulted in significant fuel savings of approximately 29% and 61%, respectively. In Uganda, the homes using liquefied petroleum gas (LPG) consumed approximately 31% less charcoal than those not using LPG, although the total energy consumption per household was similar between the baseline and LPG user groups."	27		168-173	Kitchen Performance Test; Cookstoves; Fuel savings; Stove performance testing; Biofuel	Benin	6.4959466	2.5520874	Urban and Peri-Urban	120	Y	Cookstoves		2013	0.1		N	Y	N	Y	Environmental			Deforestation [Improved]	Neither																				
S165a	Journal Article	2015	"Garland, C.; Jagoe, K.; Wasirwa, E.; Nguyen, R.; Roth, C.; Patel, A.; Shah, N.; Derby, E.; Mitchell, J.; Pennise, D.; Johnson, M.A."	"Impacts of household energy programs on fuel consumption in Benin, Uganda, and India."	Energy for Sustainable Development		https://doi.org/10.1016/j.esd.2014.05.005		"This paper presents results of three United States Environmental Protection Agency (U.S. EPA) sponsored field studies which assessed the fuel consumption impacts of household energy programs in Benin, Uganda, and Gujarat, India. These studies expand on a previous round of U.S. EPA supported efforts to build field testing capacity and collect stove performance data in Peru, Nepal, and Maharashtra, India. Daily fuel consumption estimates of traditional and intervention technologies were made using the Kitchen Performance Test (KPT) protocol to determine the potential fuel savings associated with the respective programs. The programs in Benin and Gujarat, India resulted in significant fuel savings of approximately 29% and 61%, respectively. In Uganda, the homes using liquefied petroleum gas (LPG) consumed approximately 31% less charcoal than those not using LPG, although the total energy consumption per household was similar between the baseline and LPG user groups."	27		168-173	Kitchen Performance Test; Cookstoves; Fuel savings; Stove performance testing; Biofuel	Benin	6.3722836	2.25575	Urban and Peri-Urban	120	Y	Cookstoves		2013	0.1		N	Y	N	Y	Environmental			Deforestation [Improved]	Neither																				
S165a	Journal Article	2015	"Garland, C.; Jagoe, K.; Wasirwa, E.; Nguyen, R.; Roth, C.; Patel, A.; Shah, N.; Derby, E.; Mitchell, J.; Pennise, D.; Johnson, M.A."	"Impacts of household energy programs on fuel consumption in Benin, Uganda, and India."	Energy for Sustainable Development		https://doi.org/10.1016/j.esd.2014.05.005		"This paper presents results of three United States Environmental Protection Agency (U.S. EPA) sponsored field studies which assessed the fuel consumption impacts of household energy programs in Benin, Uganda, and Gujarat, India. These studies expand on a previous round of U.S. EPA supported efforts to build field testing capacity and collect stove performance data in Peru, Nepal, and Maharashtra, India. Daily fuel consumption estimates of traditional and intervention technologies were made using the Kitchen Performance Test (KPT) protocol to determine the potential fuel savings associated with the respective programs. The programs in Benin and Gujarat, India resulted in significant fuel savings of approximately 29% and 61%, respectively. In Uganda, the homes using liquefied petroleum gas (LPG) consumed approximately 31% less charcoal than those not using LPG, although the total energy consumption per household was similar between the baseline and LPG user groups."	27		168-173	Kitchen Performance Test; Cookstoves; Fuel savings; Stove performance testing; Biofuel	Benin	6.368897	2.0108927	Urban and Peri-Urban	120	Y	Cookstoves		2013	0.1		N	Y	N	Y	Environmental			Deforestation [Improved]	Neither																				
S165b	Journal Article	2015	"Garland, C.; Jagoe, K.; Wasirwa, E.; Nguyen, R.; Roth, C.; Patel, A.; Shah, N.; Derby, E.; Mitchell, J.; Pennise, D.; Johnson, M.A.,"	"Impacts of household energy programs on fuel consumption in Benin, Uganda, and India."	Energy for Sustainable Development		https://doi.org/10.1016/j.esd.2014.05.005		"This paper presents results of three United States Environmental Protection Agency (U.S. EPA) sponsored field studies which assessed the fuel consumption impacts of household energy programs in Benin, Uganda, and Gujarat, India. These studies expand on a previous round of U.S. EPA supported efforts to build field testing capacity and collect stove performance data in Peru, Nepal, and Maharashtra, India. Daily fuel consumption estimates of traditional and intervention technologies were made using the Kitchen Performance Test (KPT) protocol to determine the potential fuel savings associated with the respective programs. The programs in Benin and Gujarat, India resulted in significant fuel savings of approximately 29% and 61%, respectively. In Uganda, the homes using liquefied petroleum gas (LPG) consumed approximately 31% less charcoal than those not using LPG, although the total energy consumption per household was similar between the baseline and LPG user groups."	27		168-173	Kitchen Performance Test; Cookstoves; Fuel savings; Stove performance testing; Biofuel	Uganda	0.2370713	32.4816162	Urban	102	Y	Cookstoves		2012	0.1		N				Environmental			Deforestation [Improved]	Neither																				
