Study ID	Author and Year	Reference	Reference Number in Manuscript	Country	Type of Miombo	Type of Study	Study Year	LonDD	LatDD	Cover Type	Category	Age in Years	Treatment	Management	AGwodCMgperHa	AGCOpenareas	AGCGMA	AGCForestReserves	AGCNationalParks	"Biomass & Basal area data (BGCMg/ha, OGBGCMg/ha, BasalArea  sqm/ha, BA as Mg/ha, BA as C Mg/ha, Biomass Mg/ha, Biomass as C Mg/ha, Aboveground C Mg/ha, Belowground biomass Mg/ha)"	"Soil data (Soil C Mg/ha, Oldgrowth soil C Mg/ha, Cropland C Mg/ha, Postcultivation soil C Mg/ha, Soil C Mg/ha, Soil organic matter content (%))"
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	50	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	60	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	70	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postclear	 	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postcult	3	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postcult	4	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postcult	5	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postcult	6	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postcult	8	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postcult	11	 Nofire	 						Data Reported	
29	Strang (1974) 	Strang R Some man-made changes in successional trends on the Rhodesian Highveld J Appl Ecol 1974;111:249–63	42	Zimbabwe	dry	quantitative	1963	31.033	-17.833	 Regrowth	Postcult	21	 Nofire	 						Data Reported	
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	0	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	1	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	2	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	4	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	6	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	13	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	25	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postclear	50	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postcult	1	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postcult	2	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postcult	4	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postcult	6	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postcult	13	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postcult	25	 Control	 None							Data Reported
30	Araki (1993) 	"Araki S Effect on soil organic matter and soil fertility of the chitemene slash-and-burn practice used in northern Zambia In: Mulongoy K, Merckx R, editors Soil organic matter dynamics and sustainability of tropical agriculture Leuven, The Netherlands; 1993 p 367–75"	4	Zambia	wet	quantitative	1963	31.47	-11.85	 Regrowth	Postcult	50	 Control	 None							Data Reported
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 	Oldgrowth	 	 	 GMA	Data Reported		Data Reported				
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 	Oldgrowth	 	 	 NP	Data Reported				Data Reported		
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 Oldgrowth	Oldgrowth	 	 NP	 Wildlife						Data Reported	
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 Oldgrowth	Oldgrowth	 	 FR	 Forestry						Data Reported	
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 Oldgrowth	Oldgrowth	 	 GMA	 Wildlife						Data Reported	
32	Banda et al. (2006) 	"Banda T, Schwartz MW, Caro T Woody vegetation structure and composition along a protection gradient in a miombo ecosystem of western Tanzania For Ecol Manage 2006;230:179–85"	5	Tanzania	dry	quantitative	2002	31.084	-6.833	 Oldgrowth	Oldgrowth	 	 Open	 None						Data Reported	
33	Smith (1998) 	"Smith P A reconnaissance survey of the vegetation of the North Luangwa National Park, Zambia Bothalia 1998;28:197–211"	41	Zambia	dry	quantitative	1995	32.209	-11.875	 	Oldgrowth	 	 	 NP	Data Reported				Data Reported		
33	Smith (1998) 	"Smith P A reconnaissance survey of the vegetation of the North Luangwa National Park, Zambia Bothalia 1998;28:197–211"	41	Zambia	dry	quantitative	1995	32.209	-11.875	 Oldgrowth	Oldgrowth	 	 NP	 Wildlife						Data Reported	
36	Jew et al. (2016)	"Jew EK, Dougill AJ, Sallu SM, O’Connell J, Benton TG Miombo woodland under threat: Consequences for tree diversity and carbon storage For Ecol Manage 2016;361:144–53"	23	Tanzania	wet	quantitative	2013	32.695	-7.792	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
36	Jew et al. (2016)	"Jew EK, Dougill AJ, Sallu SM, O’Connell J, Benton TG Miombo woodland under threat: Consequences for tree diversity and carbon storage For Ecol Manage 2016;361:144–53"	23	Tanzania	wet	quantitative	2013	32.695	-7.792	 Oldgrowth	Oldgrowth	 	 SelectiveHar	 LowUse						Data Reported	
36	Jew et al. (2016)	"Jew EK, Dougill AJ, Sallu SM, O’Connell J, Benton TG Miombo woodland under threat: Consequences for tree diversity and carbon storage For Ecol Manage 2016;361:144–53"	23	Tanzania	wet	quantitative	2013	32.695	-7.792	 Oldgrowth	Oldgrowth	 	 SelectiveHar	 HighUse						Data Reported	
36	Jew et al. (2016)	"Jew EK, Dougill AJ, Sallu SM, O’Connell J, Benton TG Miombo woodland under threat: Consequences for tree diversity and carbon storage For Ecol Manage 2016;361:144–53"	23	Tanzania	wet	quantitative	2013	32.695	-7.792	 Oldgrowth	Oldgrowth	 	 SelectiveHar	 MediumUse						Data Reported	
41	Mapanda et al. (2010) 	"Mapanda F, Mupini J, Wuta M, Nyamangara J, Rees RM A cross-ecosystem assessment of the effects of land cover and land use on soil emission of selected greenhouse gases and related soil properties in Zimbabwe Eur J Soil Sci 2010;61:721–33"	28	Zimbabwe	dry	quantitative	2006	31.49	-18.17	 	Oldgrowth	 	 	 None							
41	Mapanda et al. (2010) 	"Mapanda F, Mupini J, Wuta M, Nyamangara J, Rees RM A cross-ecosystem assessment of the effects of land cover and land use on soil emission of selected greenhouse gases and related soil properties in Zimbabwe Eur J Soil Sci 2010;61:721–33"	28	Zimbabwe	dry	quantitative	2006	31.49	-18.17	 Oldgrowth	Oldgrowth	 	 Control	 Forestry							Data Reported
41	Mapanda et al. (2010) 	"Mapanda F, Mupini J, Wuta M, Nyamangara J, Rees RM A cross-ecosystem assessment of the effects of land cover and land use on soil emission of selected greenhouse gases and related soil properties in Zimbabwe Eur J Soil Sci 2010;61:721–33"	28	Zimbabwe	dry	quantitative	2006	31.49	-18.17	 Oldgrowth	Oldgrowth	 	 Cleared	 None							Data Reported
44	Rossi et al. (2009) 	"Rossi J, Govaerts A, De Vos B, Verbist B, Vervoort A, Poesen J, et al Spatial structures of soil organic carbon in tropical forests—a case study of Southeastern Tanzania Catena 2009;77:19–27"	33	Tanzania	dry	quantitative	2001	38.417	-9.375	 Oldgrowth	Oldgrowth	 	 Control	 None							Data Reported
69	Rossi et al. (2009) 	"Rossi J, Govaerts A, De Vos B, Verbist B, Vervoort A, Poesen J, et al Spatial structures of soil organic carbon in tropical forests—a case study of Southeastern Tanzania Catena 2009;77:19–27"	33	Tanzania	dry	quantitative	2011	33	-8	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
103	Woollen et al. (2012)	"Woollen E, Ryan C, Williams M Carbon Stocks in an African Woodland Landscape: Spatial Distributions and Scales of Variation Ecosystems 2012;15:804–18"	48	Mozambique	dry	quantitative	2011	34.176	-18.979	 Oldgrowth	Oldgrowth	 	 Baseline	 NP						Data Reported	Data Reported
103	Woollen et al. (2012)	"Woollen E, Ryan C, Williams M Carbon Stocks in an African Woodland Landscape: Spatial Distributions and Scales of Variation Ecosystems 2012;15:804–18"	48	Mozambique	dry	quantitative	2011	34.176	-18.979	 	Oldgrowth	 	 	 NP	Data Reported				Data Reported		
138	Winowiecki et al. (2016)	"Winowiecki L, Vågen T-G, Huising J Effects of land cover on ecosystem services in Tanzania: A spatial assessment of soil organic carbon Geoderma 2016;263:274–83 doi:10 1016/j geoderma 2015 3 10"	47	Tanzania	dry	quantitative	2010	35.10308	-11.1395	 	Oldgrowth	 	 	 None							Data Reported
138	Winowiecki et al. (2016)	"Winowiecki L, Vågen T-G, Huising J Effects of land cover on ecosystem services in Tanzania: A spatial assessment of soil organic carbon Geoderma 2016;263:274–83 doi:10 1016/j geoderma 2015 3 10"	47	Tanzania	dry	quantitative	2010	35.10308	-11.1395	 	Oldgrowth	 	 	 NP							Data Reported
323	Ando et al. (2014a)	"Ando K, Shinjo H, Noro Y, Takenaka S, Miura R, Sokotela S, et al Short-term effects of fire intensity on soil organic matter and nutrient release after slash-and-burn in Eastern Province, Zambia Soil Sci Plant Nutr 2014;60 June 2015:173–82 doi:10 1080/00380768 2014 883487"	1	Zambia	wet	quantitative	2009	31.7167	-14.1333	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
331	Muposhi et al. (2014)	"Muposhi V, Ndlovu N, Gandiwa E, Muvengwi J, Muboko N Vegetation dynamics prior to wildlife reintroductions in southern umfurudzi park, Zimbabwe J Anim Plant Sci 2014;24:1680–90"	32	Zimbabwe	dry	quantitative	2011	31.8333	-17.08	 	Oldgrowth	 	 	 NP						Data Reported	
367	Treue et al. (2014)	"Treue T, Ngaga YM, Meilby H, Lund JF, Kajembe G, Iddi S, et al Does participatory forest management promote sustainable forest utilisation in Tanzania? Int For Rev 2014;16:23–38"	44	Tanzania	dry	quantitative	2008	35.54	-7.59	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
367	Treue et al. (2014)	"Treue T, Ngaga YM, Meilby H, Lund JF, Kajembe G, Iddi S, et al Does participatory forest management promote sustainable forest utilisation in Tanzania? Int For Rev 2014;16:23–38"	44	Tanzania	dry	quantitative	2008	35.54	-7.59	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
857	Treue et al. (2014)	"Treue T, Ngaga YM, Meilby H, Lund JF, Kajembe G, Iddi S, et al Does participatory forest management promote sustainable forest utilisation in Tanzania? Int For Rev 2014;16:23–38"	44	Tanzania	dry	quantitative	2011	35.54	-7.59	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
890	Chidumayo (2013a) 	Chidumayo EN Estimating tree biomass and changes in root biomass following clear-cutting of Brachystegia-Julbernardia (miombo) woodland in central Zambia Environ Conserv 2013;41:54–63 doi:10 1017/S0376892913000210	15	Zambia	dry	quantitative	2012	29.1772	-15.2273	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
1527	Shirima et al. (2015) 	"Shirima DD, Totland Ø, Munishi PKT, Moe SR Relationships between tree species richness, evenness and aboveground carbon storage in montane forests and miombo woodlands of Tanzania Basic Appl Ecol 2015;16:239–49 doi:10 1016/j baae 2014 11 8"	40	Tanzania	wet	quantitative	2012	36.1667	-7.6667	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
1527	Shirima et al. (2015) 	"Shirima DD, Totland Ø, Munishi PKT, Moe SR Relationships between tree species richness, evenness and aboveground carbon storage in montane forests and miombo woodlands of Tanzania Basic Appl Ecol 2015;16:239–49 doi:10 1016/j baae 2014 11 8"	40	Tanzania	wet	quantitative	2012	36.1667	-7.6667	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
1591	Ryan et al. (2011) 	"Ryan CM, Berry NJ, Joshi N Quantifying the causes of deforestation and degradation and creating transparent REDD+ baselines: A method and case study from central Mozambique Appl Geogr 2014;53:45–54 doi:10 1016/j apgeog 2014 5 14"	35	Mozambique	dry	quantitative	2012	34.1761	-18.9789	 Oldgrowth	Oldgrowth	 	 Baseline	 JFM						Data Reported	Data Reported
1591	Ryan et al. (2011) 	"Ryan CM, Berry NJ, Joshi N Quantifying the causes of deforestation and degradation and creating transparent REDD+ baselines: A method and case study from central Mozambique Appl Geogr 2014;53:45–54 doi:10 1016/j apgeog 2014 5 14"	35	Mozambique	dry	quantitative	2012	34.1761	-18.9789	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
1742	Ryan and Williams (2011) 	"Ryan CM, Williams M, Grace J Above- and belowground carbon stocks in a Miombo wooodland landscape of Mozambique Biotropica 2011;43:423–32"	34	Mozambique	dry	quantitative	2007	34.1769	-18.9789	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
2940	Williams et al. (2008) 	"Williams M, Ryan CM, Rees RM, Sambane E, Fernando J, Grace J Carbon sequestration and biodiversity of re-growing miombo woodlands in Mozambique For Ecol Manage 2008;254:145–55"	46	Mozambique	dry	quantitative	2004	34.1769	-18.9789	 	Oldgrowth	 	 	 Mixed	Data Reported	Data Reported					
2940	Williams et al. (2008) 	"Williams M, Ryan CM, Rees RM, Sambane E, Fernando J, Grace J Carbon sequestration and biodiversity of re-growing miombo woodlands in Mozambique For Ecol Manage 2008;254:145–55"	46	Mozambique	dry	quantitative	2004	34.1769	-18.9789	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
4214	Chamshama et al. (2004) 	"Chamshama S, Mugasha A, Zahabu E Stand biomass and volume estimation for Miombo woodlands at Kitulangalo, Morogoro, Tanzania South African For Journal, 2004;200:59–70"	7	Tanzania	dry	quantitative	2001	34.1769	-18.9789	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
4214	Chamshama et al. (2004) 	"Chamshama S, Mugasha A, Zahabu E Stand biomass and volume estimation for Miombo woodlands at Kitulangalo, Morogoro, Tanzania South African For Journal, 2004;200:59–70"	7	Tanzania	dry	quantitative	2001	34.1769	-18.9789	 	Oldgrowth	 	 	 None	Data Reported			Data Reported			
4451	Chidumayo & Kwibisa (2003) 	"Chidumayo EN, Kwibisa L Effects of deforestation on grass biomass and soil nutrient status in miombo woodland, Zambia Agric Ecosyst Environ 2003;96:97–105 doi:10 1016/S0167-8809(02)00229-3"	8	Zambia	dry	quantitative	1999-2000	29.22	-15.25	Regrowth	Postclear	 	18	 None						Data Reported	Data Reported
4451	Chidumayo & Kwibisa (2003) 	"Chidumayo EN, Kwibisa L Effects of deforestation on grass biomass and soil nutrient status in miombo woodland, Zambia Agric Ecosyst Environ 2003;96:97–105 doi:10 1016/S0167-8809(02)00229-3"	8	Zambia	dry	quantitative	1999-2000	29.23	-15.28	Regrowth	Postclear	 	9	 None						Data Reported	Data Reported
4451	Chidumayo & Kwibisa (2003) 	"Chidumayo EN, Kwibisa L Effects of deforestation on grass biomass and soil nutrient status in miombo woodland, Zambia Agric Ecosyst Environ 2003;96:97–105 doi:10 1016/S0167-8809(02)00229-3"	8	Zambia	dry	quantitative	1999-2000	29.18	-15.22	Oldgrowth	Oldgrowth	 	 	 None						Data Reported	Data Reported
4451	Chidumayo & Kwibisa (2003) 	"Chidumayo EN, Kwibisa L Effects of deforestation on grass biomass and soil nutrient status in miombo woodland, Zambia Agric Ecosyst Environ 2003;96:97–105 doi:10 1016/S0167-8809(02)00229-3"	8	Zambia	dry	quantitative	1999-2000	29.23	-15.28	Oldgrowth	Oldgrowth	 	 	 None						Data Reported	Data Reported
5723	Grundy et al. (1993) 	"Grundy IM, Campbell BM, Balebereho S, Cunliffe R, Tafangenyasha C, Fergusson R, et al Availability and use of trees in Mutanda Resettlement Area, Zimbabwe For Ecol Manage 1993;56:243–66 doi:10 1016/0378-1127(93)90116-5"	19	Zimbabwe	dry	quantitative	1991	32.5625	-18.9552	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	23.15	-15.25	 	Oldgrowth	 	 	 Mixed	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	26.45	-12.2	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	27.05	-15	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	28.25	-15.4167	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	28.4667	-14.4667	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	28.5833	-13	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	28.8333	-11.1667	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	30.2333	-13.25	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	31.1833	-10.1833	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	31.3	-14.233	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5982	"Chidumayo (1987a), "	Chidumayo EN A survey of wood stocks for charcoal production in the Miombo woodlands of Zambia For Ecol Manage 1987;20:105–15 doi:http://dx doi org/10 1016/0378-1127(87)90153-8	9	Zambia	wet	quantitative	1983	31.4667	-11.85	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.246729	-12.97979	 	Oldgrowth	 	 	 FR	Data Reported			Data Reported			
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.261681	-12.90168	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.276634	-12.97691	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.378428	-12.96942	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.405457	-12.92877	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.546358	-13.14813	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
5983	"Chidumayo (1987b), "	"Chidumayo E Woodland structure, destruction and conservation in the Copperbelt area of Zambia Biol Conserv 1987;40:89–100"	10	Zambia	wet	quantitative	1983	27.651027	-13.21126	 	Oldgrowth	 	 	 None	Data Reported	Data Reported					
