Article UID	Source of Article	Reference Type	Full Citation	Year	Author	Title	Journal	DOI	URL	Abstract	Volume	Issue	Pages	Aggregated comparator data only	If Aggregated are the forests managed?	Scale of Study	No. of Studies (Comparator)	Year study started	Study Duration (in months)	UK Nation	Listed Area(s)	LatDD	LonDD	Study Q/Obj	Type of study comparisons made	Treatment allocation	Number of sample points (number)	Commercial Trees	Former landuse	Stand structure	Stand composition	Silvicultural system	Stand developmental stages (only if clear cut system system compared)	Rotation	Comparator Site (if a chronosequence, select 'Not applicable')	Species identification methods	Assessment methodology	Taxonomic Diversity- Richness (S)	Taxonomic Diversity- Abundance (J')	Taxonomic Diversity- Spp Diversity (Index)	Community -Composition 	Functional Diversity (inc diversity of traits)	Levels of Redundancy (taxonomic and/or functional)	Forest strata of study	Specific biodiversity taxa	Specific biodiversity taxa (+)	Specific biodiversity taxa (-)	Specific biodiversity taxa (=)	Additional notes on biodiversity outcome(s)	Taxonomic groups	Are there any missing data in the study results?	Are missing data fully accounted for?	Are all raw data available?	Suitable for meta analysis?
Wallace_1998	Digital	Report Section	Barbour, D.A., Watt, A.B. and McBeath, C., 1998. The diversity and larval feeding status of moths in spruce forests. Birch in Spruce Plantations, p.42.	1998	Barbour, D.A., Watt, A.B., McBeath, C.	The diversity and larval feeding status of moths in spruce forests	Birch in Spruce Plantations			Lepidoptera, being wholly phytophagous and a rel- atively well-known group, were chosen for detailed investigation into species diversity and larval feed- ing status within spruce forests. Species diversity of light-trapped Lepidoptera (measured by log-series alpha) increased with proportion of birch in both the young-spruce and the older-spruce plot series, and was highest of all in semi-natural birchwood plots. However, in older-spruce plots the diversity only increased rather weakly with proportion of birch; in young-spruce plots the proportional increase was stronger. Moth catches were scored for 'birch-feeding status' according to known feeding preferences of the larvae. Specialist birch-feeding species increased with proportion of birch in both young-spruce and older-spruce plots. Generalist birch-feeding species (those with other foodplants in addition to birch) showed no increasing trend with proportion of birch. Specialist birch-feeding species were further found to fall into two cate- gories: those that increased in simple proportion to the amount of birch in plots, and those that occurred almost exclusively in natural birchwood, rarely or never in the birch/spruce mixtures. Several nationally notable species were caught in small numbers, most in the natural birchwood plots and fewest in the spruce plots with no birch. The conservation implications of these findings are two fold: even a small mixture of birch will increase the Lepidoptera diversity of a spruce plantation; a significant proportion of species, particularly rarer and more specialist ones, will only be conserved by maintaining discrete areas of natural birchwood untouched.			42-49	Yes	Managed	Stand	1	1993	15	Scotland	Dalbeattie;Knapdale;Moray	57.52163937	-3.273426583	Species diversity, its relationship if any to the proportions of birch in spruce plots.	Pairwise comparison tree species	Stratified	32	Sitka spruce	Not Reported	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	Not reported		Morphology	Species diversity, as measured by log-series alpha (a), was calculated separately for each 2-week collection in each of the 32 plots.	Yes	Yes	Yes	Yes	No	No	Forest floor	Cabera pusaria;Campaea margaritata;Diarsia dahlii;Eulithis testata;Geometra papilionaria;Graphiphora augur;Ochropacha duplaris;Pheosia gnoma;Ptilodon capucina					Insects	No	Not applicable	No	No
Wallace_1998	Digital	Report Section	Barbour, D.A., Watt, A.B. and McBeath, C., 1998. The diversity and larval feeding status of moths in spruce forests. Birch in Spruce Plantations, p.42.	1998	Barbour, D.A., Watt, A.B., McBeath, C.	The diversity and larval feeding status of moths in spruce forests	Birch in Spruce Plantations			Lepidoptera, being wholly phytophagous and a rel- atively well-known group, were chosen for detailed investigation into species diversity and larval feed- ing status within spruce forests. Species diversity of light-trapped Lepidoptera (measured by log-series alpha) increased with proportion of birch in both the young-spruce and the older-spruce plot series, and was highest of all in semi-natural birchwood plots. However, in older-spruce plots the diversity only increased rather weakly with proportion of birch; in young-spruce plots the proportional increase was stronger. Moth catches were scored for 'birch-feeding status' according to known feeding preferences of the larvae. Specialist birch-feeding species increased with proportion of birch in both young-spruce and older-spruce plots. Generalist birch-feeding species (those with other foodplants in addition to birch) showed no increasing trend with proportion of birch. Specialist birch-feeding species were further found to fall into two cate- gories: those that increased in simple proportion to the amount of birch in plots, and those that occurred almost exclusively in natural birchwood, rarely or never in the birch/spruce mixtures. Several nationally notable species were caught in small numbers, most in the natural birchwood plots and fewest in the spruce plots with no birch. The conservation implications of these findings are two fold: even a small mixture of birch will increase the Lepidoptera diversity of a spruce plantation; a significant proportion of species, particularly rarer and more specialist ones, will only be conserved by maintaining discrete areas of natural birchwood untouched.			42-49	Yes	Managed	Stand	1	1993	15	Scotland	Dalbeattie;Knapdale;Moray	56.024029	-5.6257856	Species diversity, its relationship if any to the proportions of birch in spruce plots.	Pairwise comparison tree species	Stratified	32	Sitka spruce	Not Reported	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	Not reported		Morphology	Species diversity, as measured by log-series alpha (a), was calculated separately for each 2-week collection in each of the 32 plots.	Yes	Yes	Yes	Yes	No	No	Forest floor	Cabera pusaria;Campaea margaritata;Diarsia dahlii;Eulithis testata;Geometra papilionaria;Graphiphora augur;Ochropacha duplaris;Pheosia gnoma;Ptilodon capucina					Insects	No	Not applicable	No	No
Wallace_1998	Print	Report Section	Wallace, H.L., 1998. Ground flora associated with birch in Scottish spruce plantations. Birch in Spruce Plantations. Management for Biodiversity; Humphrey, J., Holl, K., Broome, A., Eds, pp.13-24.	1998	Wallace, H.L.	Ground flora associated with birch in Scottish spruce plantations. Birch in Spruce Plantations. 	Birch in spruce plantations–management for biodiversity			The ground flora under pure spruce stands was compared w ith that of stands of spruce /birch mixtures and pure birch thickets. The vegetation of these managed stands was compared with that of unm anaged birch and sem i-natural w oodland within the forest estate. The retention of birch within the managed spruce crop enhances cover and diversity of the ground flora in first and subsequent rotation stands. The response of the ground flora was closely related to the density of birch; thickets supported consistently higher cover and diversity of species than mixtures or pure spruce. There were significant differences between the flora of managed birch thickets compared to unmanaged birch within the forest estate. These differences are apparent in the cover of different components of the ground vegetation and in their species composition. Forbs in managed stands have low cover and diversity compared to unmanaged birch while bryophyte cover and diversity are inflated in the m anaged thickets. Floristic differences betw een biogeographical regions were retained in m anaged thickets but lost in pure spruce. Few er vegetation com m unities were recognised in the m anaged birch; the greatest number being in the thickets with the lowest in the pure spruce. The species composition of recognised communities in managed birch deviated from that of their unmanaged counterparts; many species (especially forbs) were m issing w hile others (notably bryophytes) were over-represented. Retention of birch to m axim ise vegetation biodiversity should concentrate primarily on those areas of unmanaged birch within the forest estate and secondarily on the thickets within the managed crop.			13-24	Yes	Managed	Stand	1	1991	24	Scotland	Central Highlands, Western Mainland, Southern Isles, Southern Lowland and Coast, and Southern Uplands	NA		The response of the ground flora to the presence of birch was examined using criteria of species cover and diversity; the extent to which 13 these responses influenced the developm ent of vegetation associations within the plantations was also considered.	Pairwise comparison tree species	Stratified	417	Sitka spruce	Forest plantation	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	1st;2nd		Morphology	The basic recording unit was a 200 m 2 plot. All trees were counted and diameter at breast height (dbh) measured. Individuals with dbh less than 5 cm were divided into those over and under 2 m height. Canopy cover was measured using the line intercept method	Yes	No	No	Yes	No	No	Forest floor	Agrostis capillaris;Agrostis vinealis;Anthoxanthum odoratum;Blechnum spicant;Brachythecium rutabulum;Calluna vulgaris;Calypogeia muelleriana;Deschampsia cespitosa;Deschampsia flexuosa;Dicranella heteromalla;Dicranum majus;Dicranum scoparium;Diplophyllum albicans;Dryopteris dilatata;Dryopteris felix-mas;Eurhynchium praelongum;Frullania tamarisci;Galium saxatile;Holcus lanatus;Holcus mollis;Hylocomium splendens;Hypnum cupressiforme;Hypnum jutlandicum;Isopterygium elegans;Isothecium myosuroides;Juncus effusus;Lepidozia reptans;Lonicera periclymenum;Lophocolea bidentata;Lophozia ventricosa;Luzula pilosa;Marsupella emarginata;Metzgeria furcata;Mnium hornum;Molinia caerulea;Nowellia curvifolia;Oxalis acetosella;Plagiochilla porelloides;Plagiothecium undulatum;Pleurozium schreberi;Polytrichum commune;Polytrichum form osum;Potentilla erecta;Pseudoscleropodium purum;Pteridium aquilinum;Rhytidiadelphus loreus;Rhytidiadelphus squarrosus;Rubus fruticosus;Rubus idaeus;Scapania gracilis;Sphagnum palustre;Sphagnum recurvum;Thuidium tamariscinum;Vaccinium myrtillus;Viola riviniana					Non-vascular plants;Vascular plants	No	Not applicable	No	No
Wallace_1998	Print	Report Section	Barbour, D.A., Watt, A.B. and McBeath, C., 1998. The diversity and larval feeding status of moths in spruce forests. Birch in Spruce Plantations, p.42.	1998	Barbour, D.A., Watt, A.B., McBeath, C.	The diversity and larval feeding status of moths in spruce forests	Management for Biodiversity			Lepidoptera, being wholly phytophagous and a rel- atively well-known group, were chosen for detailed investigation into species diversity and larval feed- ing status within spruce forests. Species diversity of light-trapped Lepidoptera (measured by log-series alpha) increased with proportion of birch in both the young-spruce and the older-spruce plot series, and was highest of all in semi-natural birchwood plots. However, in older-spruce plots the diversity only increased rather weakly with proportion of birch; in young-spruce plots the proportional increase was stronger. M oth catches were scored for 'birch-feeding status' according to known feeding preferences of the larvae. Specialist birch-feeding species increased with proportion of birch in both young-spruce and older-spruce plots. Generalist birch-feeding species (those with other foodplants in addition to birch) showed no increasing trend with proportion of birch. Specialist birch-feeding species were further found to fall into two cate- gories: those that increased in simple proportion to the amount of birch in plots, and those that occurred almost exclusively in natural birchwood, rarely or never in the birch/spruce mixtures. Several nation- ally notable species were caught in small numbers, most in the natural birchwood plots and fewest in the spruce plots with no birch. The conservation implications of these findings are twofold: even a sm all adm ixture of birch w ill increase the Lepidoptera diversity of a spruce plantation; a sig- nificant proportion of species, particularly rarer and more specialist ones, will only be conserved by maintaining discrete areas of natural birchwood untouched.			13-24	Yes	Managed	Forest	1	1993	15	Scotland	Knapdale;Moray	57.52163937	-3.273426583	Lepidoptera therefore were par- ticularly well suited to study the question of species diversity, its relationship if any to the proportions of birch in spruce plots, and the way this m ight be explainable by feeding preferences of the individual species.	Pairwise comparison tree species	Stratified	32	Sitka spruce	Not Reported	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	Not reported		Morphology	Species diversity, as measured by log-series alpha (a), was calculated separately for each 2-week collection in each of the 32 plots.	Yes	Yes	Yes	Yes	No	No	Forest floor	Cabera pusaria;Campaea margaritata;Diarsia dahlii;Eulithis testata;Geometra papilionaria;Graphiphora augur;Ochropacha duplaris;Pheosia gnoma;Ptilodon capucina					Insects	No	Not applicable	No	No
Wallace_1998	Print	Report Section	Barbour, D.A., Watt, A.B. and McBeath, C., 1998. The diversity and larval feeding status of moths in spruce forests. Birch in Spruce Plantations, p.42.	1998	Barbour, D.A., Watt, A.B., McBeath, C.	The diversity and larval feeding status of moths in spruce forests	Management for Biodiversity			Lepidoptera, being wholly phytophagous and a rel- atively well-known group, were chosen for detailed investigation into species diversity and larval feed- ing status within spruce forests. Species diversity of light-trapped Lepidoptera (measured by log-series alpha) increased with proportion of birch in both the young-spruce and the older-spruce plot series, and was highest of all in semi-natural birchwood plots. However, in older-spruce plots the diversity only increased rather weakly with proportion of birch; in young-spruce plots the proportional increase was stronger. M oth catches were scored for 'birch-feeding status' according to known feeding preferences of the larvae. Specialist birch-feeding species increased with proportion of birch in both young-spruce and older-spruce plots. Generalist birch-feeding species (those with other foodplants in addition to birch) showed no increasing trend with proportion of birch. Specialist birch-feeding species were further found to fall into two cate- gories: those that increased in simple proportion to the amount of birch in plots, and those that occurred almost exclusively in natural birchwood, rarely or never in the birch/spruce mixtures. Several nation- ally notable species were caught in small numbers, most in the natural birchwood plots and fewest in the spruce plots with no birch. The conservation implications of these findings are twofold: even a sm all adm ixture of birch w ill increase the Lepidoptera diversity of a spruce plantation; a sig- nificant proportion of species, particularly rarer and more specialist ones, will only be conserved by maintaining discrete areas of natural birchwood untouched.			13-24	Yes	Managed	Forest	1	1993	15	Scotland	Knapdale;Moray	56.024029	-5.6257856	Lepidoptera therefore were par- ticularly well suited to study the question of species diversity, its relationship if any to the proportions of birch in spruce plots, and the way this m ight be explainable by feeding preferences of the individual species.	Pairwise comparison tree species	Stratified	32	Sitka spruce	Not Reported	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	Not reported		Morphology	Species diversity, as measured by log-series alpha (a), was calculated separately for each 2-week collection in each of the 32 plots.	Yes	Yes	Yes	Yes	No	No	Forest floor	Cabera pusaria;Campaea margaritata;Diarsia dahlii;Eulithis testata;Geometra papilionaria;Graphiphora augur;Ochropacha duplaris;Pheosia gnoma;Ptilodon capucina					Insects	No	Not applicable	No	No
Wallace_1998	Print	Report Section	Watt, A.B., Barbour, D.A., McBeath, C., Worth, S. and Glimmerveen, I., 1998. The abundance, diversity and management of arthropods in spruce forests. Birch in spruce plantations–management for biodiversity, pp.31-41.	1998	Watt, A.B., Barbour, D.A., McBeath, C., Worth, S., Glimmerveen, I.	The abundance, diversity and management of arthropods in spruce forests. 	Management for Biodiversity			The abundance and diversity of arthropods was sam pled w ithin three Scottish spruce forests: Dalbeattie, M oray and Knapdale. At each study site, sampling was carried out in 7-8 plots of spruce with varying amounts of birch (approximately 0%, 5%, 30% and 100% birch in old and young spruce), a semi-natural birchwood, a clearfell plot, and a plot in nearby grassland or moorland. Approximately 800 000 insects and other arthropods were collected in M alaise traps. The abundance of Diptera, Hymenoptera and most other groups of arthropods were as great or greater in spruce plantations as in nearby birchw oods. Only H em iptera and Coleoptera (beetles) were more abundant in the birchwood plots than in the spruce plantation plots. Coleoptera and Hemiptera increased significantly in abundance as the amount of birch in a plot increased. No other arthropod group was affected by the amount of birch in a plot except Syrphidae (hoverflies) which declined in terms of percentage abundance as the am ount of birch in a plot increased. Over 3500 hoverflies were collected from Malaise traps and identified to species. A total of 70 species were recorded. M any of the hoverfly species found were either locally uncommon or nationally notable. The species diversity of hoverflies w as particularly low in the natural birchw ood plots. A lm ost 3900 beetles were collected in pitfall traps and identified to species. A total of 185 carabid, staphylinid and other beetle species were recorded, 7 of which are classified as nationally notable. The largest num bers of Carabidae were caught in the natural birchwood and the clearfell plots. Carabid species diversity was generally low and did not vary greatly between plots either with or without birch. The highest individual num bers, but low est diversity, of Staphylinidae were trapped in the birchwood plots. The birchw ood Staphylinidae were heavily dominated by a small number of characteristic species largely absent from the other plots. In conclusion, even low percentages of birch mixed within compartments of spruce are beneficial to many arthropod groups. However, since the best habitat for insects associated with birch is seminatural birchwood, the few areas of mature birch that exist within spruce plantations should be given full protection, and areas of younger birch within spruce plantations should be protected and enlarged so that they become birchwoods rich in arthropods in the future.			31-44	Yes	Managed	Forest	1	1993	15	Scotland	Dalbeattie;Knapdale;Moray	54.93518362	-3.822766235	To compare the abundance and diversity of arthropods in natural birchwoods with that found in spruce plantations. To compare the abundance and diversity of arthropods in areas of spruce plantations with different amounts of birch.	Pairwise comparison tree species	Stratified	21-24	Sitka spruce	Not Reported	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	Not reported		Morphology	The abundance and diversity of insects and other arthropods were assessed by M alaise traps, light traps and pitfall traps.	Yes	Yes	Yes	No	No	No	Forest floor	Carabidae;Coleoptera;Collembola;Hemiptera;Hymenoptera;Syrphidae					Insects	No	Not applicable	No	No
Wallace_1998	Print	Report Section	Watt, A.B., Barbour, D.A., McBeath, C., Worth, S. and Glimmerveen, I., 1998. The abundance, diversity and management of arthropods in spruce forests. Birch in spruce plantations–management for biodiversity, pp.31-41.	1998	Watt, A.B., Barbour, D.A., McBeath, C., Worth, S., Glimmerveen, I.	The abundance, diversity and management of arthropods in spruce forests. 	Management for Biodiversity			The abundance and diversity of arthropods was sam pled w ithin three Scottish spruce forests: Dalbeattie, M oray and Knapdale. At each study site, sampling was carried out in 7-8 plots of spruce with varying amounts of birch (approximately 0%, 5%, 30% and 100% birch in old and young spruce), a semi-natural birchwood, a clearfell plot, and a plot in nearby grassland or moorland. Approximately 800 000 insects and other arthropods were collected in M alaise traps. The abundance of Diptera, Hymenoptera and most other groups of arthropods were as great or greater in spruce plantations as in nearby birchw oods. Only H em iptera and Coleoptera (beetles) were more abundant in the birchwood plots than in the spruce plantation plots. Coleoptera and Hemiptera increased significantly in abundance as the amount of birch in a plot increased. No other arthropod group was affected by the amount of birch in a plot except Syrphidae (hoverflies) which declined in terms of percentage abundance as the am ount of birch in a plot increased. Over 3500 hoverflies were collected from Malaise traps and identified to species. A total of 70 species were recorded. M any of the hoverfly species found were either locally uncommon or nationally notable. The species diversity of hoverflies w as particularly low in the natural birchw ood plots. A lm ost 3900 beetles were collected in pitfall traps and identified to species. A total of 185 carabid, staphylinid and other beetle species were recorded, 7 of which are classified as nationally notable. The largest num bers of Carabidae were caught in the natural birchwood and the clearfell plots. Carabid species diversity was generally low and did not vary greatly between plots either with or without birch. The highest individual num bers, but low est diversity, of Staphylinidae were trapped in the birchwood plots. The birchw ood Staphylinidae were heavily dominated by a small number of characteristic species largely absent from the other plots. In conclusion, even low percentages of birch mixed within compartments of spruce are beneficial to many arthropod groups. However, since the best habitat for insects associated with birch is seminatural birchwood, the few areas of mature birch that exist within spruce plantations should be given full protection, and areas of younger birch within spruce plantations should be protected and enlarged so that they become birchwoods rich in arthropods in the future.			31-44	Yes	Managed	Forest	1	1993	15	Scotland	Dalbeattie;Knapdale;Moray	57.52163937	-3.273426583	To compare the abundance and diversity of arthropods in natural birchwoods with that found in spruce plantations. To compare the abundance and diversity of arthropods in areas of spruce plantations with different amounts of birch.	Pairwise comparison tree species	Stratified	21-24	Sitka spruce	Not Reported	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	Not reported		Morphology	The abundance and diversity of insects and other arthropods were assessed by M alaise traps, light traps and pitfall traps.	Yes	Yes	Yes	No	No	No	Forest floor	Carabidae;Coleoptera;Collembola;Hemiptera;Hymenoptera;Syrphidae					Insects	No	Not applicable	No	No
Wallace_1998	Print	Report Section	Watt, A.B., Barbour, D.A., McBeath, C., Worth, S. and Glimmerveen, I., 1998. The abundance, diversity and management of arthropods in spruce forests. Birch in spruce plantations–management for biodiversity, pp.31-41.	1998	Watt, A.B., Barbour, D.A., McBeath, C., Worth, S., Glimmerveen, I.	The abundance, diversity and management of arthropods in spruce forests. 	Management for Biodiversity			The abundance and diversity of arthropods was sam pled w ithin three Scottish spruce forests: Dalbeattie, M oray and Knapdale. At each study site, sampling was carried out in 7-8 plots of spruce with varying amounts of birch (approximately 0%, 5%, 30% and 100% birch in old and young spruce), a semi-natural birchwood, a clearfell plot, and a plot in nearby grassland or moorland. Approximately 800 000 insects and other arthropods were collected in M alaise traps. The abundance of Diptera, Hymenoptera and most other groups of arthropods were as great or greater in spruce plantations as in nearby birchw oods. Only H em iptera and Coleoptera (beetles) were more abundant in the birchwood plots than in the spruce plantation plots. Coleoptera and Hemiptera increased significantly in abundance as the amount of birch in a plot increased. No other arthropod group was affected by the amount of birch in a plot except Syrphidae (hoverflies) which declined in terms of percentage abundance as the am ount of birch in a plot increased. Over 3500 hoverflies were collected from Malaise traps and identified to species. A total of 70 species were recorded. M any of the hoverfly species found were either locally uncommon or nationally notable. The species diversity of hoverflies w as particularly low in the natural birchw ood plots. A lm ost 3900 beetles were collected in pitfall traps and identified to species. A total of 185 carabid, staphylinid and other beetle species were recorded, 7 of which are classified as nationally notable. The largest num bers of Carabidae were caught in the natural birchwood and the clearfell plots. Carabid species diversity was generally low and did not vary greatly between plots either with or without birch. The highest individual num bers, but low est diversity, of Staphylinidae were trapped in the birchwood plots. The birchw ood Staphylinidae were heavily dominated by a small number of characteristic species largely absent from the other plots. In conclusion, even low percentages of birch mixed within compartments of spruce are beneficial to many arthropod groups. However, since the best habitat for insects associated with birch is seminatural birchwood, the few areas of mature birch that exist within spruce plantations should be given full protection, and areas of younger birch within spruce plantations should be protected and enlarged so that they become birchwoods rich in arthropods in the future.			31-44	Yes	Managed	Forest	1	1993	15	Scotland	Dalbeattie;Knapdale;Moray	56.024029	-5.6257856	To compare the abundance and diversity of arthropods in natural birchwoods with that found in spruce plantations. To compare the abundance and diversity of arthropods in areas of spruce plantations with different amounts of birch.	Pairwise comparison tree species	Stratified	21-24	Sitka spruce	Not Reported	Single Age, Single Storey	Mixed	Clear-cut	Mature;Mid-rotation;Prethicket & Thicket	Not reported		Morphology	The abundance and diversity of insects and other arthropods were assessed by M alaise traps, light traps and pitfall traps.	Yes	Yes	Yes	No	No	No	Forest floor	Carabidae;Coleoptera;Collembola;Hemiptera;Hymenoptera;Syrphidae					Insects	No	Not applicable	No	No
Walsh_1993	Digital	Journal Article	Walsh, P.J., Day, K.R., Leather, S.R. and Smith, A., 1993. The influence of soil type and pine species on the carabid community of a plantation forest with a history of pine beauty moth infestation. Forestry: An International Journal of Forest Research, 66(2), pp.135-146.	1993	Walsh, P.J., Day, K.R., Leather, S.R., Smith, A.	The influence of soil type and pine species on the carabid community of a plantation forest with a history of pine beauty moth infestation	Forestry	10.1093/forestry/66.2.135	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027839545&doi=10.1093%2fforestry%2f66.2.135&partnerID=40&md5=92fda7f480a90141be0e6118da23c597	The community composition of Carabid beetles, some species of which are known predators of pine beauty moth, was examined within a Scottish plantation forest. Sites differing in soil type and the species of trees planted were sampled with pitfall traps in most weeks of a 3-year period. There were faunal differences between sites with lodgepole pine on deep peat and other sites in the study (lodgepole pine on iron-pan soil, species mixture of lodgepole and Scots pine, and pure stands of Scots pine). In general deep peat sites supported fewer species and individuals of carabids. Three Carabus species were implicated as likely predators of Panolis flammea pupae and each was less abundant on the sites with lodgepole pine. It is suggested that the susceptibility to pine beauty moth of lodgepole pine growing on deep peat substrates is at least partly attributable to impoverished predator faunas. Â© 1993 Oxford University Press.	66	2	135-146	No	Managed	Stand	1	1986	36	Scotland	Elchies block, Craigellachie Forest	57.4839251	-3.262442968	This study compares the Carabid fauna at selected sites within the Elchies block of Speyside Forest, Scotland, where there was a single defoliating outbreak of pine beauty in 1979.	Pairwise comparison tree species	Stratified	8	Lodgepole pine	Not Reported	Not reported	Monoculture;Mixed	Not reported		Restocked	Forest plantation	Morphology	At each replicate site 20 pitfall traps were set in the substrate at 0.5 m spacing in a four by five matrix.	Yes	Yes	Yes	No	No	No	Forest floor	Agonum assimile;Amara plebeja;Calathus melanocephalus;Calathus micropterus;Carabus glabratus;Carabus problematicus;Carabus violaceus;Cychrus caraboides;Dyschirius globosus;Elaphrus cupreus;Leistus ferrugineus;Leistus rufescens;Leistus sipnibarbis;Loricera pilocornis;Miscodera arctica;Notiophilus biguttatus;Patrobus assimile;Patrobus septentrionis;Pterostichus diligens;Pterostichus madidus;Pterostichus melanarius;Pterostichus niger;Pterostichus nigrita;Pterostichus oblongopunctatus;Pterostichus strenuus;Trechus quadristriatus					Insects	No	Not applicable	No	No
Walsh_1993	Digital	Journal Article	Walsh, P.J., Day, K.R., Leather, S.R. and Smith, A., 1993. The influence of soil type and pine species on the carabid community of a plantation forest with a history of pine beauty moth infestation. Forestry: An International Journal of Forest Research, 66(2), pp.135-146.	1993	Walsh, P.J., Day, K.R., Leather, S.R., Smith, A.	The influence of soil type and pine species on the carabid community of a plantation forest with a history of pine beauty moth infestation	Forestry	10.1093/forestry/66.2.135	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027839545&doi=10.1093%2fforestry%2f66.2.135&partnerID=40&md5=92fda7f480a90141be0e6118da23c597	The community composition of Carabid beetles, some species of which are known predators of pine beauty moth, was examined within a Scottish plantation forest. Sites differing in soil type and the species of trees planted were sampled with pitfall traps in most weeks of a 3-year period. There were faunal differences between sites with lodgepole pine on deep peat and other sites in the study (lodgepole pine on iron-pan soil, species mixture of lodgepole and Scots pine, and pure stands of Scots pine). In general deep peat sites supported fewer species and individuals of carabids. Three Carabus species were implicated as likely predators of Panolis flammea pupae and each was less abundant on the sites with lodgepole pine. It is suggested that the susceptibility to pine beauty moth of lodgepole pine growing on deep peat substrates is at least partly attributable to impoverished predator faunas. Â© 1993 Oxford University Press.	66	2	135-146	No	Managed	Stand	1	1986	36	Scotland	Elchies block, Craigellachie Forest	57.4839251	-3.262442968	This study compares the Carabid fauna at selected sites within the Elchies block of Speyside Forest, Scotland, where there was a single defoliating outbreak of pine beauty in 1979.	Pairwise comparison tree species	Stratified	8	Sitka spruce	Not Reported	Not reported	Monoculture;Mixed	Not reported		Restocked	Forest plantation	Morphology	At each replicate site 20 pitfall traps were set in the substrate at 0.5 m spacing in a four by five matrix.	Yes	Yes	Yes	No	No	No	Forest floor	Agonum assimile;Amara plebeja;Calathus melanocephalus;Calathus micropterus;Carabus glabratus;Carabus problematicus;Carabus violaceus;Cychrus caraboides;Dyschirius globosus;Elaphrus cupreus;Leistus ferrugineus;Leistus rufescens;Leistus sipnibarbis;Loricera pilocornis;Miscodera arctica;Notiophilus biguttatus;Patrobus assimile;Patrobus septentrionis;Pterostichus diligens;Pterostichus madidus;Pterostichus melanarius;Pterostichus niger;Pterostichus nigrita;Pterostichus oblongopunctatus;Pterostichus strenuus;Trechus quadristriatus					Insects	No	Not applicable	No	No
Warren_2019	Digital	Journal Article	Warren, P., Land, C., Hesford, N. and Baines, D., 2019. Conserving Black Grouse Lyrurus tetrix in southern Scotland: Evidence for the need to retain large contiguous moorland habitat within a forest-moorland landscape. Bird Study, 66(4), pp.494-502.	2019	Warren, P., Land, C., Hesford, N., Baines, D.	Conserving Black Grouse Lyrurus tetrix in southern Scotland: evidence for the need to retain large contiguous moorland habitat within a forest-moorland landscape	Bird Study	10.1080/00063657.2020.1726875		Capsule: Black Grouse Lyrurus tetrix in southern Scotland are in severe decline, with remaining birds associated with large contiguous patches of moorland. Aims: To inform Black Grouse conservation programmes in southern Scotland we quantified recent trends in numbers, assessed habitat composition within lek ranges and evaluated the size of suitable habitat patches. Methods: We explored trends in numbers of males at 121 leks surveyed between 1989 and 2018 in southwest and southeast Scotland. Wider surveys of males attending leks between 2006-12 were used to measure habitat composition within lek ranges and to compare with that in the study areas. Numbers of males at leks were considered in relation to habitat types and moorland management categories. Occupancy of moorland habitat patches was explored in relation to their size, connectivity and gamekeeping activity. Results: Abundance at a sample of 121 leks surveyed between 1989-99 and 2017-18 fell from 70 males to zero in the southwest and from 340 to 44 in the southeast, with 82% of leks no longer occupied. Retained leks had more acid and rough grassland (53%) and less conifer cover (6%) within a 1 km radius than extinct leks (32% and 29%) and declines were similar across gamekeeping activity levels. Wider surveys in 2006-12 found acid and rough grassland, and dwarf shrub heath and bog to be the two preferred habitats within lek ranges. Leks were attended by twice as many males where driven Red Grouse Lagopus lagopus scotica shooting was practised. Occupied moorland habitat patches were 26 times larger than unoccupied patches. Conclusion: Black Grouse in southern Scotland are declining across all habitats. Moorland provides important habitat for remaining birds. With government targets to plant more woodland, remaining moorland habitat patches are likely to become more fragmented making them less able to support sustainable connected populations, which may exacerbate declines and enhance risk of regional extinction.	66	4	494-502	Yes	Likely Managed	Landscape	1	1989	276	Scotland		NA		To inform Black Grouse conservation programmes in southern Scotland we quantified recent trends in numbers, assessed habitat composition within lek ranges and evaluated the size of suitable habitat patches.	Pairwise comparison landuse	Stratified	Not Reported	Conifer (unspecified)	Not Reported	Not reported	Not reported	Not reported	Mid-rotation;Prethicket & Thicket	Not reported	Bog;Broadleaf woodland;Grassland;Heathland	Morphology	Count methodology was consistent across areas, being undertaken in accordance with the standardized method for lek counting	No	Yes	No	No	No	No	Entire habitat	Lyrurus tetrix		Lyrurus tetrix			Birds	No	Not applicable	No	No
