ID	Which of the following most accurately reflects your position?	LatDD	LonDD	What proportion of your woods are Ancient woodland (Semi-natural)?	What proportion of your woods are Ancient woodland (Plantations (PAWS))?	What proportion of your woods are Ancient woodland (Restored PAWS)?	What proportion of your woods are Secondary woods (Semi-natural)?	What proportion of your woods are Secondary woods (Plantations)?	What proportion of your woodland is mainly broadleaved stands? 	What proportion of your woodland is mainly conifer stands?	What proportion of your woodland is a mixture of both broadlead and conifer stands?	What proportion of stands in your woodland are even-aged?	What proportion of stands in your woodland are uneven-aged? 	What best describes your business or professional sector?	Region
488	Woodland owner: I own land containing woodland (multiple woodland properties)	51.19998	-3.61	53.36	13.76		8.26	16.84	76.54	15.68		30	70		South West
491	Woodland owner: I own land containing woodland (a single woodland property)	51.8326	-3.10879	40	20	20	20		100			20	80		Wales
492	Woodland owner: I own land containing woodland (a single woodland property)	50.91322	0.12394	80	10	0	10	0	0	0	100		100		South East
493	Woodland owner: I own land containing woodland (a single woodland property)	50.91526	0.56554	45				55	100			50	50		South East
495	Woodland owner: I own land containing woodland (a single woodland property)	51.78144	-2.0826	20			80		90	10		80	20		South West
496	Woodland owner: I own land containing woodland (a single woodland property)	54.17774	-3.21103	50				45	90	2		50	45		North West
497	Professional: I have a professional or personal interest in forests and forestry in the UK	51.3636	0.60161											No professional involvement in forestry (personal interest)	South East
498	Woodland owner: I own land containing woodland (multiple woodland properties)	53.52285	-1.13116		100					75			90		Yorkshire and The Humber
499	Woodland owner: I own land containing woodland (a single woodland property)	55.19768	-4.72412	25			50	25	20	10	70	80	20		Scotland
500	Professional: I have a professional or personal interest in forests and forestry in the UK	53.04664	-2.99132											NGO/community organization	Wales
501	Woodland owner: I own land containing woodland (a single woodland property)	52.54911	1.17245					100	100			100			East of England
506	Woodland owner: I own land containing woodland (multiple woodland properties)	54.92714	-2.8894	100					90	10			100		North West
507	Woodland owner: I own land containing woodland (a single woodland property)	57.02877	-4.20502	90				10	90	10		10	90		Scotland
508	Woodland owner: I own land containing woodland (multiple woodland properties)	53.88896	-2.31812	0	0	0	10	90	90	0	10	70	30		North West
509	Professional: I have a professional or personal interest in forests and forestry in the UK	50.44409	-3.70958											NGO/community organization	South West
510	Woodland owner: I own land containing woodland (a single woodland property)	50.98242	-1.26961	100					100				100		South East
511	Woodland owner: I own land containing woodland (a single woodland property)	57.72133	-3.34036	0	0	0	50	50	90	10		50	50		Scotland
513	Woodland owner: I own land containing woodland (a single woodland property)	53.16435	-1.14881	20	20	15	15	30	95	5			100		East Midlands
515	Professional: I have a professional or personal interest in forests and forestry in the UK	55.55147	-2.8423											Public sector - central/devolved government	Scotland
516	Woodland owner: I own land containing woodland (a single woodland property)	50.7166	-3.67336	48			48	4	80	20		100			South West
519	Woodland owner: I own land containing woodland (a single woodland property)	52.90428	-3.20324	1	0	0	99		100			100			Wales
521	Woodland owner: I own land containing woodland (a single woodland property)	52.4243	-3.02742					100	100			100			West Midlands
524	Woodland owner: I own land containing woodland (multiple woodland properties)	54.26219	-0.85838	10		20	10	60	30	70		60	40		Yorkshire and The Humber
525	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.97881	-0.97382	0	25		50	25	20	40	40	70	30		South East
527	Woodland owner: I own land containing woodland (a single woodland property)	53.54145	-1.17142				100		99	1		60	40		Yorkshire and The Humber
528	Professional: I have a professional or personal interest in forests and forestry in the UK	55.95206	-3.19648											Public sector - central/devolved government	Scotland
530	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	51.83297	-0.69993												East of England
532	Woodland owner: I own land containing woodland (a single woodland property)	51.15638	0.95959			90		10	90	10		40	60		South East
533	Woodland owner: I own land containing woodland (multiple woodland properties)	53.83689	-1.0128	2	14	4	2	2	45	45	10	80	20		Yorkshire and The Humber
535	Woodland owner: I own land containing woodland (a single woodland property)	51.46663	-2.25117	100					100				100		South West
537	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.9567	0.1799	40	20		20	20	60	20	20	90	10	Forest industry	South East
539	Woodland owner: I own land containing woodland (a single woodland property)	51.73723	-1.83197					100		15	85	100			South West
540	Woodland owner: I own land containing woodland (a single woodland property)	52.19832	-1.7276					100	100			100			West Midlands
542	Professional: I have a professional or personal interest in forests and forestry in the UK	51.75222	-1.25596											University research	South East
543	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	54.74004	-1.707	10				90	5	95		80	20		North East
544	Woodland owner: I own land containing woodland (multiple woodland properties)	54.00035	-0.99152	5	20	2	5	68	20	40	40	80	20		Yorkshire and The Humber
545	Woodland owner: I own land containing woodland (a single woodland property)	51.75222	-1.25596				100		100			80	20		South East
546	Woodland owner: I own land containing woodland (a single woodland property)	54.74645	-1.69425	0	0	0	0	100			100	60	40		North East
548	Woodland owner: I own land containing woodland (a single woodland property)	51.72597	-1.26447					100	100			100			South East
549	Woodland owner: I own land containing woodland (a single woodland property)	54.74672	-1.7391	0	0	0	0	100	0	100	0	100	0		North East
550	Woodland owner: I own land containing woodland (a single woodland property)	52.71941	1.03752	100					100			50	50		East of England
551	Woodland owner: I own land containing woodland (a single woodland property)	52.20357	1.19725					8.8	100			40	60		East of England
553	Woodland owner: I own land containing woodland (a single woodland property)	52.74512	-4.02492	100					100				100		Wales
557	Woodland owner: I own land containing woodland (a single woodland property)	54.15609	-3.08016	100	0	0	0	0	100	0	0				North West
559	Woodland owner: I own land containing woodland (a single woodland property)	51.20922	0.8135	100					100			50	50		South East
560	Professional: I have a professional or personal interest in forests and forestry in the UK	53.05058	-3.00201											Public sector - local government	Wales
561	Woodland owner: I own land containing woodland (a single woodland property)	52.59312	-2.3541	90		10			90	10		100			West Midlands
562	Woodland owner: I own land containing woodland (multiple woodland properties)	54.39783	-0.55186	15				85	100			100			Yorkshire and The Humber
563	Professional: I have a professional or personal interest in forests and forestry in the UK	58.59201	-3.53114											University research	Scotland
564	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	52.98258	-2.00781	0	25	0		75			100	80	20		West Midlands
565	Woodland owner: I own land containing woodland (a single woodland property)	51.91411	-0.76054	0	0	0	20	80	100			100			South East
566	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	55.90856	-5.2517	25				75	90	10		90	10		Scotland
570	Woodland owner: I own land containing woodland (multiple woodland properties)	52.42383	1.40187	100					100			75	25		East of England
574	Woodland owner: I own land containing woodland (multiple woodland properties)	53.23361	-2.83559					100	100			90	10		North West
575	Woodland owner: I own land containing woodland (a single woodland property)	51.00355	-1.37515	45	55				80	20		80	20		South East
576	Woodland owner: I own land containing woodland (multiple woodland properties)	51.94088	1.06018	90			10		100			30	70		East of England
578	Woodland owner: I own land containing woodland (a single woodland property)	50.66507	-1.16989	0	0	0	10	90	100			100			South East
582	Woodland owner: I own land containing woodland (a single woodland property)	52.82726	-1.86173					100	100				100		West Midlands
583	Woodland owner: I own land containing woodland (a single woodland property)	52.29443	-3.99977	0	0	0		100	70	30	0	100	0		Wales
586	Woodland owner: I own land containing woodland (a single woodland property)	51.30057	1.22995					100	100			100			South East
587	Woodland owner: I own land containing woodland (multiple woodland properties)	55.63255	-2.84118	5			5	90	5	75	20	60	40		Scotland
589	Woodland owner: I own land containing woodland (a single woodland property)	51.17586	-0.81486	20		20	40		90	10		50	50		South East
590	Woodland owner: I own land containing woodland (multiple woodland properties)	52.30112	1.5792	15			70	15	95	5		100			East of England
591	Woodland owner: I own land containing woodland (a single woodland property)	52.31024	1.21038				50	50	80		20	60	40		East of England
592	Woodland owner: I own land containing woodland (multiple woodland properties)	52.04573	1.23611				100		100			60	40		East of England
595	Professional: I have a professional or personal interest in forests and forestry in the UK	50.79147	-3.45775											NGO/community organization	South West
596	Woodland owner: I own land containing woodland (multiple woodland properties)	54.16263	-2.13375					100	100			60	40		Yorkshire and The Humber
597	Woodland owner: I own land containing woodland (multiple woodland properties)	50.7496	-3.80041	43	0			57	99	1	0	100			South West
598	Woodland owner: I own land containing woodland (a single woodland property)	51.0494	-0.91277	100					100				100		South East
599	Woodland owner: I own land containing woodland (multiple woodland properties)	51.96762	-4.18442		5			95	5	95			100		Wales
601	Woodland owner: I own land containing woodland (a single woodland property)	50.90476	0.15381					100			100	100			South East
602	Woodland owner: I own land containing woodland (a single woodland property)	50.95578	-3.96815			100			100			80	20		South West
606	Woodland owner: I own land containing woodland (a single woodland property)	55.19408	-3.80264	5	0	0	0	95	10	90	0	90	10		Scotland
608	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	52.60148	-3.59459	5	75		15	5	20	70	10	70	30		Wales
609	Woodland owner: I own land containing woodland (a single woodland property)	52.23142	-2.43738		8			3	8	3		11			West Midlands
610	Professional: I have a professional or personal interest in forests and forestry in the UK	50.52858	-3.61186											No professional involvement in forestry (personal interest)	South West
611	Woodland owner: I own land containing woodland (a single woodland property)	50.38979	-3.66501	50			40	10	100			15	85		South West
613	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	54.67203	-1.45144	0	0	0	0	100	90	10		50	50		North East
615	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	57.39917	-4.18648	5				95		85	15	100		Forest industry	Scotland
617	Woodland owner: I own land containing woodland (multiple woodland properties)	53.01117	-2.72581	100					100			70	30		North West
618	Woodland owner: I own land containing woodland (a single woodland property)	52.59696	-1.54564												East Midlands
619	Woodland owner: I own land containing woodland (a single woodland property)	52.22023	-0.66605					100	95	5		100			East Midlands
620	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.90563	-2.26619		80	10	9	1	20	80		80	20		South West
621	Woodland owner: I own land containing woodland (multiple woodland properties)	54.32774	-1.77567	10	10	10		70	50	40	10	100			Yorkshire and The Humber
623	Woodland owner: I own land containing woodland (a single woodland property)	52.60513	-2.71671					100			100	100			West Midlands
624	Woodland owner: I own land containing woodland (a single woodland property)	54.35738	-2.58684	100	0	0	0	0	100	0	0	0	100		North West
625	Woodland owner: I own land containing woodland (a single woodland property)	53.08333	-0.75	45	25		30		70	30		30	70		East Midlands
626	Woodland owner: I own land containing woodland (multiple woodland properties)	50.78333	-3.65					100	75	20	5	80	20		South West
628	Woodland owner: I own land containing woodland (a single woodland property)	52.89292	-1.01418	0	50			50	90	10		90	10		East Midlands
629	Woodland owner: I own land containing woodland (a single woodland property)	57.05567	-2.51038				5	95	5	95		95	5		Scotland
632	Woodland owner: I own land containing woodland (multiple woodland properties)	53.54147	-0.57592				10	90	40	30	30	69	31		Yorkshire and The Humber
633	Woodland owner: I own land containing woodland (a single woodland property)	50.82849	-4.36904	0	0	0	0	100			100	99	1		South West
634	Woodland owner: I own land containing woodland (a single woodland property)	55.35557	-3.96984	0	0	4	15	81	6	94		100			Scotland
636	Woodland owner: I own land containing woodland (a single woodland property)	53.06089	-1.41529					100	98	2			100		East Midlands
637	Woodland owner: I own land containing woodland (a single woodland property)	54.99716	-2.34232	0	0	0	0	100	60	40	0	100			North East
638	Professional: I have a professional or personal interest in forests and forestry in the UK	55.06959	-3.61139											Forest industry	Scotland
640	Woodland owner: I own land containing woodland (a single woodland property)	53.54194	-1.55594	100					99	1		50	50		Yorkshire and The Humber
641	Woodland owner: I own land containing woodland (a single woodland property)	50.87537	-4.51993				30	70	30	70		80	20		South West
645	Woodland owner: I own land containing woodland (a single woodland property)	52.40771	-0.25966	100					99	1	0	80	20		East of England
646	Woodland owner: I own land containing woodland (multiple woodland properties)	51.31105	1.05298	75	10	10	5		80	10	10	20	80		South East
650	Woodland owner: I own land containing woodland (multiple woodland properties)	50.50387	-4.81879	30			20	50	85	15		50	50		South West
651	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.13007	-5.41011	5	10	0	10	75	90	5	5	20	80	Public sector - local government	South West
652	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.84584	-3.34396	0	0	0	0	100	95	5		100		Other	South West
655	Woodland owner: I own land containing woodland (a single woodland property)	51.30551	-0.30418	100					100						South East
660	Professional: I have a professional or personal interest in forests and forestry in the UK	53.44554	-2.0462											Public sector - local government	North West
661	Woodland owner: I own land containing woodland (a single woodland property)	51.89404	-1.67747				100		100				100		South West
662	Professional: I have a professional or personal interest in forests and forestry in the UK	51.15355	-0.95983											Forest industry	South East
664	Woodland owner: I own land containing woodland (a single woodland property)	52.6294	-1.70563	50			20		80		20	30	70		West Midlands
666	Woodland owner: I own land containing woodland (a single woodland property)	50.40091	-3.92249	100					100	0	0	30	70		South West
669	Woodland owner: I own land containing woodland (a single woodland property)	50.91416	-2.24739				10	90	100			90	10		South West
670	Woodland owner: I own land containing woodland (a single woodland property)	52.18931	0.57507	66	34				100			34	66		East of England
679	Woodland owner: I own land containing woodland (multiple woodland properties)	55.18287	-2.49527	6				94	38	36	26				North East
680	Woodland owner: I own land containing woodland (multiple woodland properties)	51.02178	-3.83737	90	5	5	0	0	100	0	0	35	65		South West
682	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	53.04689	-2.53882	0	0	0	0	0	100			85			North West
683	Woodland owner: I own land containing woodland (a single woodland property)	51.06746	0.19357	100					100			80	20		South East
686	Professional: I have a professional or personal interest in forests and forestry in the UK	50.70744	-1.32196											Other	South East
687	Woodland owner: I own land containing woodland (a single woodland property)	51.63507	-0.47928	50				50	100			50	50		East of England
688	Woodland owner: I own land containing woodland (a single woodland property)	52.61488	1.1197	80		20			80		20	50	50		East of England
689	Woodland owner: I own land containing woodland (multiple woodland properties)	53.35882	-1.00992	5	5			90	25	60	15	80	20		East Midlands
690	Woodland owner: I own land containing woodland (a single woodland property)	52.34447	-3.05001	100					98			80			Wales
691	Woodland owner: I own land containing woodland (multiple woodland properties)	55.64608	-2.16482												North East
692	Woodland owner: I own land containing woodland (a single woodland property)	51.24731	-2.71946	100					100			80	20		South West
693	Woodland owner: I own land containing woodland (a single woodland property)	53.87723	-1.07615		80	20			30	70		70	30		Yorkshire and The Humber
694	Woodland owner: I own land containing woodland (multiple woodland properties)	51.09317	0.59052	50				50	100			100			South East
695	Woodland owner: I own land containing woodland (a single woodland property)	50.952	0.36778	75			25		100			75	25		South East
696	Woodland owner: I own land containing woodland (multiple woodland properties)	52.10651	1.1412	1	95				95	5		90	10		East of England
698	Woodland owner: I own land containing woodland (a single woodland property)	51.04916	0.3447				20	40	40			70	30		South East
700	Woodland owner: I own land containing woodland (multiple woodland properties)	51.27984	1.12106	30	70				100			40	60		South East
701	Woodland owner: I own land containing woodland (multiple woodland properties)	51.20499	-1.04322	25	30	0	20	25	40	40	20	60	40		South East
704	Woodland owner: I own land containing woodland (multiple woodland properties)	52.80359	1.3599						20	60	20	80	20		East of England
705	Woodland owner: I own land containing woodland (a single woodland property)	50.93695	0.64699	100					100			90	10		South East
706	Woodland owner: I own land containing woodland (a single woodland property)	50.88061	0.64324				60	40	70	30		80	20		South East
711	Woodland owner: I own land containing woodland (a single woodland property)	50.36183	-3.92246	0					100			100			South West
712	Woodland owner: I own land containing woodland (multiple woodland properties)	52.07982	-0.93006	95			5		100			100			East Midlands
713	Woodland owner: I own land containing woodland (multiple woodland properties)	52.55282	-3.2404	60	12	12	8	8	45		55	60	40		Wales
715	Woodland owner: I own land containing woodland (multiple woodland properties)	50.71379	-3.71286	0	2	0	48	50	50	50	0	50	50		South West
716	Woodland owner: I own land containing woodland (a single woodland property)	54.06364	-2.39553					100	40	40	20	95	5		Yorkshire and The Humber
717	Woodland owner: I own land containing woodland (multiple woodland properties)	51.70734	-0.36712	70				30	100			70	30		East of England
718	Woodland owner: I own land containing woodland (multiple woodland properties)	51.08117	0.66167					100	100			50	50		South East
719	Woodland owner: I own land containing woodland (a single woodland property)	57.13666	-5.95682	80			20		100			50	50		Scotland
723	Professional: I have a professional or personal interest in forests and forestry in the UK	51.75368	-0.44975											No professional involvement in forestry (personal interest)	East of England
724	Woodland owner: I own land containing woodland (a single woodland property)	50.7032	-3.60815						33	67					South West
725	Woodland owner: I own land containing woodland (a single woodland property)	52.04766	-2.70332	100					90	10		70	30		West Midlands
726	Woodland owner: I own land containing woodland (a single woodland property)	50.95131	-3.56268			100			100			100			South West
728	Woodland owner: I own land containing woodland (a single woodland property)	53.24194	-3.35309	0	0	0	0	0	50	20	30	50	50		Wales
729	Woodland owner: I own land containing woodland (a single woodland property)	51.79887	-2.77899	29	21			50	39	27	34	57	43		Wales
730	Professional: I have a professional or personal interest in forests and forestry in the UK	52.68554	-1.8251											Forest industry	West Midlands
731	Woodland owner: I own land containing woodland (multiple woodland properties)	51.88728	-3.95536	70	30				100			30	70		Wales
734	Woodland owner: I own land containing woodland (a single woodland property)	50.93067	-2.22329					100	100			100			South West
736	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.89331	-2.9902					100	90	10		70	30	Other	South West
738	Woodland owner: I own land containing woodland (a single woodland property)	51.72501	-2.38953					100	99	1		100			South West
740	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	51.93919	0.58502												East of England
741	Woodland owner: I own land containing woodland (multiple woodland properties)	53.17404	-0.8686	30			30	40	100			40	60		East Midlands
743	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.75855	-3.75011	100					90	10		50	50		South West
745	Woodland owner: I own land containing woodland (a single woodland property)	51.06492	-0.12085				100		100			85	15		South East
746	Woodland owner: I own land containing woodland (multiple woodland properties)	54.30077	-2.94751	5	10		75	10	95		5	50	50		North West
747	Professional: I have a professional or personal interest in forests and forestry in the UK	50.94174	-4.13772											Other	South West
748	Woodland owner: I own land containing woodland (a single woodland property)	53.95763	-1.08271	0	0	0	100	0	100			75	25		Yorkshire and The Humber
750	Professional: I have a professional or personal interest in forests and forestry in the UK	53.15212	-1.15322											No professional involvement in forestry (personal interest)	East Midlands
751	Woodland owner: I own land containing woodland (a single woodland property)	53.71942	-2.05895	100					100				100		Yorkshire and The Humber
752	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	52.13412	-2.59252		50	35	15		50	40	10	40	60		West Midlands
756	Woodland owner: I own land containing woodland (a single woodland property)	52.3735	1.49569	100					100				100		East of England
757	Professional: I have a professional or personal interest in forests and forestry in the UK	52.73629	-3.88504											Forest industry	Wales
760	Woodland owner: I own land containing woodland (a single woodland property)	52.06115	0.84766	90			10		100			90	10		East of England
764	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	57.87574	-5.1024		100					100		100			Scotland
765	Woodland owner: I own land containing woodland (a single woodland property)	51.18698	-0.82522				90	10	100			90	10		South East
767	Woodland owner: I own land containing woodland (a single woodland property)	52.41008	-0.6221	90				10	90		10	75	25		East Midlands
768	Professional: I have a professional or personal interest in forests and forestry in the UK	51.89324	-0.20599											Public sector - local government	East of England
769	Professional: I have a professional or personal interest in forests and forestry in the UK	51.85552	-4.30535											NGO/community organization	Wales
772	Professional: I have a professional or personal interest in forests and forestry in the UK	51.50592	-2.53304											Public sector - central/devolved government	South West
777	Professional: I have a professional or personal interest in forests and forestry in the UK	54.32681	-2.74757											Public sector - central/devolved government	North West
778	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.1099	-1.57345	100					100			100		Public sector - central/devolved government	East Midlands
780	Professional: I have a professional or personal interest in forests and forestry in the UK	55.86515	-4.25763											Other	Scotland
781	Professional: I have a professional or personal interest in forests and forestry in the UK	52.41582	0.75188											Public sector - central/devolved government	East of England
783	Professional: I have a professional or personal interest in forests and forestry in the UK	53.38297	-1.4659											Other	Yorkshire and The Humber
784	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.695	-3.60963	50			5	45	70	30		30	70	Forest industry	South West
787	Woodland owner: I own land containing woodland (a single woodland property)	51.82984	-0.2211	10		90			98	2		80	20		East of England
791	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	56.09158	-3.34172				100		100			90	10	Other	Scotland
797	Woodland owner: I own land containing woodland (multiple woodland properties)	54.4836	-1.91162	35	30		10	25			100	15	85		North East
799	Professional: I have a professional or personal interest in forests and forestry in the UK	51.77931	-3.20921											Public sector - local government	Wales
800	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	53.59163	-1.5774		75			25	50	20	30	80	20		Yorkshire and The Humber
803	Woodland owner: I own land containing woodland (a single woodland property)	52.48822	-3.68231	0	0	0	50	50	100			100			Wales
804	Professional: I have a professional or personal interest in forests and forestry in the UK	52.41426	-1.78094											Other	West Midlands
806	Woodland owner: I own land containing woodland (multiple woodland properties)	53.10887	-3.30826				20	80	80	20		90	10		Wales
807	Professional: I have a professional or personal interest in forests and forestry in the UK	51.18838	-0.61317											Public sector - local government	South East
809	Professional: I have a professional or personal interest in forests and forestry in the UK	54.25	-0.76667											Public sector - central/devolved government	Yorkshire and The Humber
810	Professional: I have a professional or personal interest in forests and forestry in the UK	55.65096	-2.74109											Public sector - central/devolved government	Scotland
812	Woodland owner: I own land containing woodland (a single woodland property)	52.77286	-2.57492				50	50	100	0	0				West Midlands
815	Woodland owner: I own land containing woodland (a single woodland property)	52.99203	-1.57905	0	0	0		100			100	75	25		East Midlands
816	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.9573	-2.86644	40	20		40		80		20	20	80	Other	Wales
819	Woodland owner: I own land containing woodland (a single woodland property)	50.85278	-0.66364		5	20	45	20	80		20	50	50		South East
820	Woodland owner: I own land containing woodland (a single woodland property)	55.83714	-3.58505				100		100	0	0	0	100		Scotland
821	Professional: I have a professional or personal interest in forests and forestry in the UK	54.63093	-2.9567											Public sector - central/devolved government	North West
824	Professional: I have a professional or personal interest in forests and forestry in the UK	52.8287	-1.18687											Other	East Midlands
825	Woodland owner: I own land containing woodland (a single woodland property)	51.85232	-3.01128	100					100				100		Wales
826	Woodland owner: I own land containing woodland (a single woodland property)	56.13354	-5.48614	33			33	33	90	10			100		Scotland
827	Woodland owner: I own land containing woodland (a single woodland property)	55.05163	-4.08142	10		30	10	50	50	50		50	50		Scotland
828	Professional: I have a professional or personal interest in forests and forestry in the UK	51.01289	-3.10649											Public sector - local government	South West
833	Woodland owner: I own land containing woodland (a single woodland property)	58.50397	-3.64585	0	0	0	10	90	95	5	0	80	20		Scotland
834	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	57.56472	-5.65589	50			50		95		5	80	20		Scotland
835	Woodland owner: I own land containing woodland (a single woodland property)	57.4151	-2.95627				20	80	90	5		80	20		Scotland
839	Woodland owner: I own land containing woodland (a single woodland property)	54.284	-2.94717				100		100				100		North West
844	Woodland owner: I own land containing woodland (a single woodland property)	53.91546	-2.14285	0.1				12.9	90		10	99.9	0.1		North West
845	Professional: I have a professional or personal interest in forests and forestry in the UK	52.20357	-3.94629											NGO/community organization	Wales
847	Professional: I have a professional or personal interest in forests and forestry in the UK	51.48	-3.18											NGO/community organization	Wales
851	Woodland owner: I own land containing woodland (a single woodland property)	52.75916	-3.30997	5	95				50	50		90	10		Wales
855	Woodland owner: I own land containing woodland (multiple woodland properties)	53.96041	-0.76389	10			20	70	75		25	75	25		Yorkshire and The Humber
857	Professional: I have a professional or personal interest in forests and forestry in the UK	52.45936	0.67017											Forest industry	East of England
858	Woodland owner: I own land containing woodland (a single woodland property)	51.11214	0.60219		100				100			25	75		South East
860	Woodland owner: I own land containing woodland (a single woodland property)	52.85015	-1.32151	0	0	0	20	80	98	2		98	2		East Midlands
861	Woodland owner: I own land containing woodland (multiple woodland properties)	53.58028	-1.55869		100				10	60	30	95	5		Yorkshire and The Humber
862	Woodland owner: I own land containing woodland (a single woodland property)	52.3806	-3.86084	0	0	0	0	100	50	50	0	100	0		Wales
868	Woodland owner: I own land containing woodland (a single woodland property)	50.98005	-0.59052			50	50		75	25					South East
870	Woodland owner: I own land containing woodland (a single woodland property)	52.65981	-2.55119	100					99	1			100		West Midlands
873	Woodland owner: I own land containing woodland (multiple woodland properties)	50.98359	0.23539	75	25				40	60		25	75		South East
876	Woodland owner: I own land containing woodland (a single woodland property)	52.86035	1.16592				50	50			100	100			East of England
878	Professional: I have a professional or personal interest in forests and forestry in the UK	55.95206	-3.19648											University research	Scotland
879	Woodland owner: I own land containing woodland (a single woodland property)	51.99757	-2.04895					100	95	5		80	20		South West
880	Woodland owner: I own land containing woodland (a single woodland property)	54.91217	-3.67973	60					99				100		Scotland
882	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	58.1655	-5.29438	100					100				100	University research	Scotland
883	Woodland owner: I own land containing woodland (multiple woodland properties)	57.26026	-2.50832	18				82	18	82		82	18		Scotland
884	Woodland owner: I own land containing woodland (multiple woodland properties)	53.97144	-1.46255				50	50			100	40	60		Yorkshire and The Humber
885	Woodland owner: I own land containing woodland (a single woodland property)	51.81331	-3.00156		25		75		75	25		85	15		Wales
886	Woodland owner: I own land containing woodland (a single woodland property)	51.09571	-0.49232		100				100			100			South East
887	Woodland owner: I own land containing woodland (a single woodland property)	50.99553	-3.97955	0	0	0	0	100	0	100		100			South West
888	Woodland owner: I own land containing woodland (a single woodland property)	53.26028	-2.12585	100					100			50	50		North West
890	Woodland owner: I own land containing woodland (a single woodland property)	51.10147	0.95873		70				99	1		60	40		South East
891	Woodland owner: I own land containing woodland (a single woodland property)	54.24196	-2.90245	40			30	30	100			75	25		North West
892	Woodland owner: I own land containing woodland (a single woodland property)	52.73376	-1.50616	0	0	0	5	95	100			95	5		East Midlands
893	Woodland owner: I own land containing woodland (multiple woodland properties)	52.95029	-3.95508		60			40		80	20	100			Wales
894	Woodland owner: I own land containing woodland (a single woodland property)	51.11252	0.20993		10		90		90		10	70	30		South East
896	Woodland owner: I own land containing woodland (a single woodland property)	51.32991	-2.85314	70			30		70	15	15	50	50		South West
898	Woodland owner: I own land containing woodland (multiple woodland properties)	51.05536	0.16497	50		50			80						South East
899	Woodland owner: I own land containing woodland (a single woodland property)	53.3077	-1.36024	30	65	3		2	60	40	0	60	40		East Midlands
900	Professional: I have a professional or personal interest in forests and forestry in the UK	53.95609	-1.07666											Public sector - central/devolved government	Yorkshire and The Humber
902	Woodland owner: I own land containing woodland (a single woodland property)	51.76884	-0.65866	80			20		100			50	50		East of England
904	Professional: I have a professional or personal interest in forests and forestry in the UK	52.73698	-1.53496											Public sector - central/devolved government	East Midlands
905	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	50.46111	-4.44566				100		100			50	50		South West
906	Woodland owner: I own land containing woodland (a single woodland property)	51.40347	-0.88987	0				100	100			90	10		South East
907	Professional: I have a professional or personal interest in forests and forestry in the UK	51.41756	-0.28743											Other	London
908	Woodland owner: I own land containing woodland (a single woodland property)	54.27821	-2.92219					100	95	5		100			North West
910	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.72358	-1.94834	30	30	15	5	20	40	40	20	65	35		South West
911	Woodland owner: I own land containing woodland (a single woodland property)	50.98208	0.67287	100					100			50	50		South East
913	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	51.096459	-1.4523929	50		50			100	0		100			South East
914	Woodland owner: I own land containing woodland (a single woodland property)	57.24237	-3.55966	90				10	99	1		80	20		Scotland
915	Woodland owner: I own land containing woodland (a single woodland property)	49.98643	-5.18514	0	0	0	50	50			50	50	50		South West
916	Woodland owner: I own land containing woodland (a single woodland property)	54.13451	-1.29447	0	50	50	0	0	0	50	50	90			Yorkshire and The Humber
917	Woodland owner: I own land containing woodland (a single woodland property)	50.98307	-3.95881		60	40			40	60		60	40		South West
918	Professional: I have a professional or personal interest in forests and forestry in the UK	53.14289	-4.15402											Forest industry	Wales
920	Professional: I have a professional or personal interest in forests and forestry in the UK	55.90866	-3.23003											Research institute	Scotland
922	Professional: I have a professional or personal interest in forests and forestry in the UK	51.57515	-1.31493											NGO/community organization	South East
