study	country of data collection	LatDD	LonDD	Year of publication	coastal (coastal = up to 10km from coast or large lake)	elevation	rainfall (mm)	rural-urban	forest (type) accessed?	distance to forest	market access	forest tenure	"Scale of study: local, regional or national, int'l"	study sites (total number of sites included in analysis)	sample size at each study site(eg number of interviews or focus groups)	"sample unit (person, household, focus group)"	Length of data collection (months)	Qualitative or quantiative	method	is food security assessed	is nutrition security assessed	is income assessed	food security outcome through engagement in:	main ntfp assessed	gender	Effect of Gender	short interpretation of effect
"Ogle, B. M., H. T. Tuyet, H. N. Duyet and N. N. X. Dung (2003). Food, Feed or Medicine: The Multiple Functions of Edible Wild Plants in Vietnam. Economic Botany 57(1): 103-117."	Vietnam	9.7933461	104.0154441	2003	no	NR	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	2	213	household	NR	mixed methods	indepth interviews - no questionnaire	no	yes	yes	mix	mix	"women only, ie not gender of household head"	Positive	strong positive: 22 species were used 3-7 times/weekly by at least ten percent of the women . These included both aquatic and terrestrial plants.
"Ogle, B. M., H. T. Tuyet, H. N. Duyet and N. N. X. Dung (2003). Food, Feed or Medicine: The Multiple Functions of Edible Wild Plants in Vietnam. Economic Botany 57(1): 103-117."	Vietnam	13.3159263	106.9792879	2003	no	NR	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	2	213	household	NR	mixed methods	indepth interviews - no questionnaire	no	yes	yes	mix	mix	"women only, ie not gender of household head"	Positive	strong positive: 22 species were used 3-7 times/weekly by at least ten percent of the women . These included both aquatic and terrestrial plants.
"Ojo, C. O., H. S. Nuhu and T. A. Igbankwe (2013). Gender Analysis of Rural Dwellers Accessibility to Free Natural Resources in Ussa Local Government Area of Taraba State, Nigeria. Asian Journal of Agriculture and Rural Development 3(9): 609-614."	Nigeria	8.0593517	9.3796848	2013	no	NR	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	3	60	household	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"strong positive: Women traditionally collected vegetables, fish, fruit, fuel wood and mushrooms while men were traditional collectors of bush meat, honey, roofing, ritual and rope making materials, as well as fish and fruit."
"Ostwald, M. and R. Baral (2000). Local Forest Protection, Gender and Caste: Dhani Hill, Orissa, India. Geografiska Annaler. Series B, Human Geography 82(3): 115-128."	India	19.4120351	83.6995626	2000	no	low-mid	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	NR	76	household	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber: 'Fuelwood' is the first priority of both genders: for women 76% but for men only 38%. 'Building material' (16%) and 'bamboo' (Bamboosa arundinacea) (20%) were also first priorities for many men. Women mentioned 'bamboo' (6%) and 'leaves' (5%) as their first priority, while 7% of men chose 'rainfall'."
"Padmanabhan, M. (2011). Institutions of Agrobiodiversity Management in Kerala-Gendered Collective Action. Society & Natural Resources 24(2): 174-184."	India	11.7060407	76.0785519	2011	no	mid-high	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	4	NR	focus group	NR	quantitative	indepth interviews - no questionnaire	no	yes	yes	mix	mix	"women only, ie not gender of household head"	Positive	"strong positive: The centrality of knowledge and its crucial linkage to property rights emerge from these case studies as the key issues for agrobiodiversity management from a gender
perspective. In case 1, the Kattunaikka tribal community gains social visibility and particular recognition for women as knowledge holders due to their documentation practices in biodiversity registers, but risks losing control of this information."
"Paniagua-Zambrana, N. Y., R. Camara-Leret, R. W. Bussmann and M. J. Macia (2014). The influence of socioeconomic factors on traditional knowledge: a cross scale comparison of palm use in northwestern South America. Ecology and Society 19(4)."	Colombia	-3.7872806	-70.366789	2014	NR	Low-mid	NR	rural	natural	adjacent to forest		state	multiple sites in multiple countries	25	2050	Individuals	NR	qualitative	mix	no	yes	yes	mix	mix	gender of household head	Negative	"Strong negative:At the general palm knowledge level, gender was the only factor that had a significant association in all five subregions, and showed that men had more knowledge than women, and age had a positive significant association only in the lowlands.We found that two to six socioeconomic factors had a significant association with knowledge of the informants in the five subregions evaluated (Table 4). Of these, gender had a significant association in all five subregions. Similar to the descriptive analyses, in all subregions, men had more knowledge than women, although the difference was just slightly more than two species. Gender showed a significant association primarily in the southern Andes, which influenced six use categories (of the eight evaluated). In all cases, men’s knowledge was greater than women’s, especially regarding Construction, Utensils and tools, and Human food. Differences were greatest among locations of the northern Amazon (2.1 species less), followed by the southern Andes (1.4 species less).With the exception of the southern Andes, our study did not find significant differences based on gender in use categories such as Medicinal and veterinary or Cultural, whereas earlier studies reported women had a greater knowledge of these categories (Figueiredo et al. 1993, Stagegaard et al. 2002)."
"Paniagua-Zambrana, N. Y., R. Camara-Leret, R. W. Bussmann and M. J. Macia (2014). The influence of socioeconomic factors on traditional knowledge: a cross scale comparison of palm use in northwestern South America. Ecology and Society 19(4)."	Colombia	1.2025247	-78.0418304	2014	NR	Low-mid	NR	rural	natural	adjacent to forest		state	multiple sites in multiple countries	25	2050	Individuals	NR	qualitative	mix	no	yes	yes	mix	mix	gender of household head	Negative	"Strong negative:At the general palm knowledge level, gender was the only factor that had a significant association in all five subregions, and showed that men had more knowledge than women, and age had a positive significant association only in the lowlands.We found that two to six socioeconomic factors had a significant association with knowledge of the informants in the five subregions evaluated (Table 4). Of these, gender had a significant association in all five subregions. Similar to the descriptive analyses, in all subregions, men had more knowledge than women, although the difference was just slightly more than two species. Gender showed a significant association primarily in the southern Andes, which influenced six use categories (of the eight evaluated). In all cases, men’s knowledge was greater than women’s, especially regarding Construction, Utensils and tools, and Human food. Differences were greatest among locations of the northern Amazon (2.1 species less), followed by the southern Andes (1.4 species less).With the exception of the southern Andes, our study did not find significant differences based on gender in use categories such as Medicinal and veterinary or Cultural, whereas earlier studies reported women had a greater knowledge of these categories (Figueiredo et al. 1993, Stagegaard et al. 2002)."
"Paniagua-Zambrana, N. Y., R. Camara-Leret, R. W. Bussmann and M. J. Macia (2014). The influence of socioeconomic factors on traditional knowledge: a cross scale comparison of palm use in northwestern South America. Ecology and Society 19(4)."	Ecuador	0.0500215	-76.708754	2014	NR	Low-mid	NR	rural	natural	adjacent to forest		state	multiple sites in multiple countries	25	2050	Individuals	NR	qualitative	mix	no	yes	yes	mix	mix	gender of household head	Negative	"Strong negative:At the general palm knowledge level, gender was the only factor that had a significant association in all five subregions, and showed that men had more knowledge than women, and age had a positive significant association only in the lowlands.We found that two to six socioeconomic factors had a significant association with knowledge of the informants in the five subregions evaluated (Table 4). Of these, gender had a significant association in all five subregions. Similar to the descriptive analyses, in all subregions, men had more knowledge than women, although the difference was just slightly more than two species. Gender showed a significant association primarily in the southern Andes, which influenced six use categories (of the eight evaluated). In all cases, men’s knowledge was greater than women’s, especially regarding Construction, Utensils and tools, and Human food. Differences were greatest among locations of the northern Amazon (2.1 species less), followed by the southern Andes (1.4 species less).With the exception of the southern Andes, our study did not find significant differences based on gender in use categories such as Medicinal and veterinary or Cultural, whereas earlier studies reported women had a greater knowledge of these categories (Figueiredo et al. 1993, Stagegaard et al. 2002)."
"Paniagua-Zambrana, N. Y., R. Camara-Leret, R. W. Bussmann and M. J. Macia (2014). The influence of socioeconomic factors on traditional knowledge: a cross scale comparison of palm use in northwestern South America. Ecology and Society 19(4)."	Ecuador	0.0621975	-78.6907768	2014	NR	Low-mid	NR	rural	natural	adjacent to forest		state	multiple sites in multiple countries	25	2050	Individuals	NR	qualitative	mix	no	yes	yes	mix	mix	gender of household head	Negative	"Strong negative:At the general palm knowledge level, gender was the only factor that had a significant association in all five subregions, and showed that men had more knowledge than women, and age had a positive significant association only in the lowlands.We found that two to six socioeconomic factors had a significant association with knowledge of the informants in the five subregions evaluated (Table 4). Of these, gender had a significant association in all five subregions. Similar to the descriptive analyses, in all subregions, men had more knowledge than women, although the difference was just slightly more than two species. Gender showed a significant association primarily in the southern Andes, which influenced six use categories (of the eight evaluated). In all cases, men’s knowledge was greater than women’s, especially regarding Construction, Utensils and tools, and Human food. Differences were greatest among locations of the northern Amazon (2.1 species less), followed by the southern Andes (1.4 species less).With the exception of the southern Andes, our study did not find significant differences based on gender in use categories such as Medicinal and veterinary or Cultural, whereas earlier studies reported women had a greater knowledge of these categories (Figueiredo et al. 1993, Stagegaard et al. 2002)."
"Paniagua-Zambrana, N. Y., R. Camara-Leret, R. W. Bussmann and M. J. Macia (2014). The influence of socioeconomic factors on traditional knowledge: a cross scale comparison of palm use in northwestern South America. Ecology and Society 19(4)."	Peru	-6.4237329	-76.5251385	2014	NR	Low-mid	NR	rural	natural	adjacent to forest		state	multiple sites in multiple countries	25	2050	Individuals	NR	qualitative	mix	no	yes	yes	mix	mix	gender of household head	Negative	"Strong negative:At the general palm knowledge level, gender was the only factor that had a significant association in all five subregions, and showed that men had more knowledge than women, and age had a positive significant association only in the lowlands.We found that two to six socioeconomic factors had a significant association with knowledge of the informants in the five subregions evaluated (Table 4). Of these, gender had a significant association in all five subregions. Similar to the descriptive analyses, in all subregions, men had more knowledge than women, although the difference was just slightly more than two species. Gender showed a significant association primarily in the southern Andes, which influenced six use categories (of the eight evaluated). In all cases, men’s knowledge was greater than women’s, especially regarding Construction, Utensils and tools, and Human food. Differences were greatest among locations of the northern Amazon (2.1 species less), followed by the southern Andes (1.4 species less).With the exception of the southern Andes, our study did not find significant differences based on gender in use categories such as Medicinal and veterinary or Cultural, whereas earlier studies reported women had a greater knowledge of these categories (Figueiredo et al. 1993, Stagegaard et al. 2002)."
"Paniagua-Zambrana, N. Y., R. Camara-Leret, R. W. Bussmann and M. J. Macia (2014). The influence of socioeconomic factors on traditional knowledge: a cross scale comparison of palm use in northwestern South America. Ecology and Society 19(4)."	Peru	-7.0973082	-77.7524566	2014	NR	Low-mid	NR	rural	natural	adjacent to forest		state	multiple sites in multiple countries	25	2050	Individuals	NR	qualitative	mix	no	yes	yes	mix	mix	gender of household head	Negative	"Strong negative:At the general palm knowledge level, gender was the only factor that had a significant association in all five subregions, and showed that men had more knowledge than women, and age had a positive significant association only in the lowlands.We found that two to six socioeconomic factors had a significant association with knowledge of the informants in the five subregions evaluated (Table 4). Of these, gender had a significant association in all five subregions. Similar to the descriptive analyses, in all subregions, men had more knowledge than women, although the difference was just slightly more than two species. Gender showed a significant association primarily in the southern Andes, which influenced six use categories (of the eight evaluated). In all cases, men’s knowledge was greater than women’s, especially regarding Construction, Utensils and tools, and Human food. Differences were greatest among locations of the northern Amazon (2.1 species less), followed by the southern Andes (1.4 species less).With the exception of the southern Andes, our study did not find significant differences based on gender in use categories such as Medicinal and veterinary or Cultural, whereas earlier studies reported women had a greater knowledge of these categories (Figueiredo et al. 1993, Stagegaard et al. 2002)."
"Paniagua-Zambrana, N. Y., R. Camara-Leret, R. W. Bussmann and M. J. Macia (2014). The influence of socioeconomic factors on traditional knowledge: a cross scale comparison of palm use in northwestern South America. Ecology and Society 19(4)."	Bolivia	-17.460855	-63.67311	2014	NR	Low-mid	NR	rural	natural	adjacent to forest		state	multiple sites in multiple countries	25	2050	Individuals	NR	qualitative	mix	no	yes	yes	mix	mix	gender of household head	Negative	"Strong negative:At the general palm knowledge level, gender was the only factor that had a significant association in all five subregions, and showed that men had more knowledge than women, and age had a positive significant association only in the lowlands.We found that two to six socioeconomic factors had a significant association with knowledge of the informants in the five subregions evaluated (Table 4). Of these, gender had a significant association in all five subregions. Similar to the descriptive analyses, in all subregions, men had more knowledge than women, although the difference was just slightly more than two species. Gender showed a significant association primarily in the southern Andes, which influenced six use categories (of the eight evaluated). In all cases, men’s knowledge was greater than women’s, especially regarding Construction, Utensils and tools, and Human food. Differences were greatest among locations of the northern Amazon (2.1 species less), followed by the southern Andes (1.4 species less).With the exception of the southern Andes, our study did not find significant differences based on gender in use categories such as Medicinal and veterinary or Cultural, whereas earlier studies reported women had a greater knowledge of these categories (Figueiredo et al. 1993, Stagegaard et al. 2002)."
"Pouliot, M. (2012). Contribution of Women's Gold to West African Livelihoods: The Case of Shea (Vitellaria paradoxa) in Burkina Faso. Economic Botany 66(3): 237-248."	Burkina Faso	11.5559951	-1.2165314	2012	no	low-mid	800-1000	rural	natural	adjacent to forest	NR	state	multiple sites nearby	2	536	household	12	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	"women only, ie not gender of household head: Shea is considered a women’s crop, and the extraction, processing, and commercialization of shea fruits, kernels, and butter are some of the few activities that are almost entirely under the control of women in the region (Chalfin 2004; Elias and Carney 2007)."	Positive	"strong positive: Of the 505 households who collected shea products during the interview period, 92 % mentioned that the work was done only by women and girls,while only 2 % mentioned that the work was done by men. Moreover, 98 % of households involved in shea butter production mentioned that women were responsible for the processing activities (Fig. 2).Our study provides quantitative estimates of the heavily gendered nature of shea product extraction, processing, and commercialization, as 92 % of the collection and 98 % of the processing activities were performed solely by women and girls. Women are also said to be the ones holding knowledge on shea tree ecology (Chalfin 2004)."
"Pouliot, M. (2012). Contribution of Women's Gold to West African Livelihoods: The Case of Shea (Vitellaria paradoxa) in Burkina Faso. Economic Botany 66(3): 237-248."	Burkina Faso	10.6452117	-4.7732808	2012	no	low-mid	800-1000	rural	natural	adjacent to forest	NR	state	multiple sites nearby	2	536	household	12	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	"women only, ie not gender of household head: Shea is considered a women’s crop, and the extraction, processing, and commercialization of shea fruits, kernels, and butter are some of the few activities that are almost entirely under the control of women in the region (Chalfin 2004; Elias and Carney 2007)."	Positive	"strong positive: Of the 505 households who collected shea products during the interview period, 92 % mentioned that the work was done only by women and girls,while only 2 % mentioned that the work was done by men. Moreover, 98 % of households involved in shea butter production mentioned that women were responsible for the processing activities (Fig. 2).Our study provides quantitative estimates of the heavily gendered nature of shea product extraction, processing, and commercialization, as 92 % of the collection and 98 % of the processing activities were performed solely by women and girls. Women are also said to be the ones holding knowledge on shea tree ecology (Chalfin 2004)."
"Pouliot, M. and T. Treue (2013). Rural People's Reliance on Forests and the Non-Forest Environment in West Africa: Evidence from Ghana and Burkina Faso. World Development 43: 180-193. Women are also said to be the ones holding knowledge on shea tree ecology (Chalfin 2004)."	Ghana	7.466672	-1.8683489	2013	NR	low-mid	800-1200	rural	natural	adjacent to forest	NR	state	multiple sites in multiple countries	3	1014	household	13	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber: Fuelwood and wild foods were also collected mainly by women (77.8% and 57.3%, respectively). The forest product categories that on average generated the
highest total income per collecting household, were “poles and timber” and “bushmeat” ($78.21 and $74.03 per aeu, respectively), which were mainly collected in Ghana. Construction materials also yielded high income ($53.10 per aeu) in Ghana. Fodder generated a relatively high average income ($22.96 per aeu) and it was one of the most important products in Burkina Faso but not in Ghana (see Figures 2 and 3). Interestingly, Table 3 clearly illustrates that these four most valuable forest product categories were collected mainly by men (83.4%, 85.2%, 82.3% and 80.5%, respectively)."
"Pouliot, M. and T. Treue (2013). Rural People's Reliance on Forests and the Non-Forest Environment in West Africa: Evidence from Ghana and Burkina Faso. World Development 43: 180-193. Women are also said to be the ones holding knowledge on shea tree ecology (Chalfin 2004)."	Ghana	5.2200053	-2.0021887	2013	NR	low-mid	800-1200	rural	natural	adjacent to forest	NR	state	multiple sites in multiple countries	3	1014	household	13	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber: Fuelwood and wild foods were also collected mainly by women (77.8% and 57.3%, respectively). The forest product categories that on average generated the
highest total income per collecting household, were “poles and timber” and “bushmeat” ($78.21 and $74.03 per aeu, respectively), which were mainly collected in Ghana. Construction materials also yielded high income ($53.10 per aeu) in Ghana. Fodder generated a relatively high average income ($22.96 per aeu) and it was one of the most important products in Burkina Faso but not in Ghana (see Figures 2 and 3). Interestingly, Table 3 clearly illustrates that these four most valuable forest product categories were collected mainly by men (83.4%, 85.2%, 82.3% and 80.5%, respectively)."
"Pouliot, M. and T. Treue (2013). Rural People's Reliance on Forests and the Non-Forest Environment in West Africa: Evidence from Ghana and Burkina Faso. World Development 43: 180-193. Women are also said to be the ones holding knowledge on shea tree ecology (Chalfin 2004)."	Burkina Faso	11.5000052	-0.099	2013	NR	low-mid	800-1200	rural	natural	adjacent to forest	NR	state	multiple sites in multiple countries	3	1014	household	13	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber: Fuelwood and wild foods were also collected mainly by women (77.8% and 57.3%, respectively). The forest product categories that on average generated the
highest total income per collecting household, were “poles and timber” and “bushmeat” ($78.21 and $74.03 per aeu, respectively), which were mainly collected in Ghana. Construction materials also yielded high income ($53.10 per aeu) in Ghana. Fodder generated a relatively high average income ($22.96 per aeu) and it was one of the most important products in Burkina Faso but not in Ghana (see Figures 2 and 3). Interestingly, Table 3 clearly illustrates that these four most valuable forest product categories were collected mainly by men (83.4%, 85.2%, 82.3% and 80.5%, respectively)."
"Pouliot, M. and T. Treue (2013). Rural People's Reliance on Forests and the Non-Forest Environment in West Africa: Evidence from Ghana and Burkina Faso. World Development 43: 180-193. Women are also said to be the ones holding knowledge on shea tree ecology (Chalfin 2004)."	Burkina Faso	10.63	-4.9	2013	NR	low-mid	800-1200	rural	natural	adjacent to forest	NR	state	multiple sites in multiple countries	3	1014	household	13	quantitative	quantitative questionnaire	no	no	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber: Fuelwood and wild foods were also collected mainly by women (77.8% and 57.3%, respectively). The forest product categories that on average generated the
highest total income per collecting household, were “poles and timber” and “bushmeat” ($78.21 and $74.03 per aeu, respectively), which were mainly collected in Ghana. Construction materials also yielded high income ($53.10 per aeu) in Ghana. Fodder generated a relatively high average income ($22.96 per aeu) and it was one of the most important products in Burkina Faso but not in Ghana (see Figures 2 and 3). Interestingly, Table 3 clearly illustrates that these four most valuable forest product categories were collected mainly by men (83.4%, 85.2%, 82.3% and 80.5%, respectively)."
"Powell, B., J. Hall and T. Johns (2011). Forest cover, use and dietary intake in the east usambara mountains, Tanzania. International Forestry Review 13(3): 305-317."	Tanzania	-5.0588565	38.5754123	2011	no	200-1200	1500	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	6	270	household	7	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"none (no difference between access of men and women for food security): Compared to households who did not report trips to the forest (at all elevations), those reporting trips to the forest tended to be less likely to have been born
locally (possibly because most immigrants to the area engage in wage labour), to own fewer acres of land and spend fewer hours in the farm; however, there were no differences between ethnic groups nor male and female headed households"
"Quinonez-Martinez, M., F. Ruan-Soto, I. Estela Aguilar-Moreno, F. Garza-Ocanas, T. Lebgue-Keleng, P. Antonio Lavin-Murcio and I. Delia Enriquez-Anchondo (2014). Knowledge and use of edible mushrooms in two municipalities of the Sierra Tarahumara, Chihuahua, Mexico. Journal of Ethnobiology and Ethnomedicine 10."	Mexico	27.0000184	-107.2587548	2014	no	2350-3400	600-1200	urban	natural	adjacent to forest	good (road and market close)	state	multiple sites nearby	7	197	individuals	36	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	harvesting	wild food-mushrooms	gender of household head	Neutral/Mixed	"none (no difference between access of men and women for food security): No apparent differences were found among people of different
gender or speakers of different languages. Species recognition ranged from one to six among women, men, mestizo, and Raramuri people. Only one mestizo, in the town of Creel, recognized 23 species."
"Remis, M. J. and C. A. Jost Robinson (2014). Examining short-term nutritional status among BaAka foragers in transitional economies. American journal of physical anthropology 154(3): 365-375."	Central African Republic	2.9793251	15.8222199	2014	NR	NR	NR	rural	natural	adjacent to forest	low (no road or market far)	state	multiple sites nearby	2	141	individuals	3	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	"mix - women get more money from medicinal plants, men get more money from timber"
"Shackleton, S. (2004). Livelihood benefits from the local level commercialization of savanna resources: a case study of the new and expanding trade in marula (Sclerocarya birrea) beer in Bushbuckridge, South Africa. South African Journal of Science 100(11-12): 651-657."	South Africa	-24.8453075	31.0489744	2004	no	low-mid	1200	rural	natural	adjacent to forest	good (road and market close)	state	single site	NR	45	individuals	NR	mixed methods	quantitative questionnaire	no	no	yes	mix	wild food-beer	"men-women, ie not gender of household head"	Neutral/Mixed	none (no difference between access of men and women for food security)
"Shackleton, S. E. and B. M. Campbell (2007). The traditional broom trade in Bushbuckridge, South Africa: helping poor women cope with adversity. Economic Botany 61(3): 256-268."	South Africa	-24.8453075	31.0489744	2007	no	low-mid	500-1200	rural	natural	adjacent to forest	good (road and market close)	state	single site	NR	75	individuals	NR	mixed methods	quantitative questionnaire	no	no	yes	mix	brooms	"men-women, ie not gender of household head"	Positive	strong positive
"Shackleton, S. E., C. M. Shackleton, T. R. Netshiluvhi, B. S. Geach, A. Ballance and D. H. K. Fairbanks (2002). Use Patterns and Value of Savanna Resources in Three Rural Villages in South Africa. Economic Botany 56(2): 130-146."	South Africa	-24.0465681	29.7414037	2002	NR	low-mid	NR	rural	natural	adjacent to forest	good (road and market close)	state	NR	NR	150	household	5	mixed methods	quantitative questionnaire	no	no	no	NR	NR	NR	Neutral/Mixed	NR
"Shackleton, S. E., C. M. Shackleton, T. R. Netshiluvhi, B. S. Geach, A. Ballance and D. H. K. Fairbanks (2002). Use Patterns and Value of Savanna Resources in Three Rural Villages in South Africa. Economic Botany 56(2): 130-146."	South Africa	-24.785	30.768	2002	NR	low-mid	NR	rural	natural	adjacent to forest	good (road and market close)	state	NR	NR	150	household	5	mixed methods	quantitative questionnaire	no	no	no	NR	NR	NR	Neutral/Mixed	NR
"Shackleton, S. E., C. M. Shackleton, T. R. Netshiluvhi, B. S. Geach, A. Ballance and D. H. K. Fairbanks (2002). Use Patterns and Value of Savanna Resources in Three Rural Villages in South Africa. Economic Botany 56(2): 130-146."	South Africa	-27.5999952	32.3158238	2002	NR	low-mid	NR	rural	natural	adjacent to forest	good (road and market close)	state	NR	NR	150	household	5	mixed methods	quantitative questionnaire	no	no	no	NR	NR	NR	Neutral/Mixed	NR
"Shams, N. and M. Ahmed (2000). Common and Private Property Linkages in the Low-Land Forest-Fishery-Farming Systems of Cambodia. Journal of Sustainable Agriculture 15(4): 59."	Cambodia	12.4942983	104.3171597	2000	no	mid-high	NR	rural	natural	adjacent to forest	good (road and market close)	state	single site	inknown	NR	individuals	unkown	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	NR	NR	Neutral/Mixed	NR
"Sharaunga, S., M. Mudhara and E. Wale (2013). Values rural households in KwaZulu-Natal hold towards forests and their participation in community-based forest management. Agrekon 52(4): 113-147."	South Africa	-29.0683063	29.6736598	2013	no	low-mid	NR	rural	natural	adjacent to forest	good (road and market close)	state	NR	NR	153	household	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	none (no difference between access of men and women for food security)
"Sharaunga, S., M. Mudhara and E. Wale (2013). Values rural households in KwaZulu-Natal hold towards forests and their participation in community-based forest management. Agrekon 52(4): 113-147."	South Africa	-29.4353571	30.7928964	2013	no	low-mid	NR	rural	natural	adjacent to forest	good (road and market close)	state	NR	NR	153	household	NR	quantitative	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	none (no difference between access of men and women for food security)
"Shrestha, P. M. and S. S. Dhillion (2006). Diversity and Traditional Knowledge Concerning Wild Food Species in a Locally Managed Forest in Nepal. Agroforestry Systems 66(1): 55-63."	Nepal	27.8243953	85.9392606	2006	no	2000-3000	NR	rural	natural	adjacent to forest	NR	state	multiple sites nearby	9	62	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	none (no difference between access of men and women for food security)
"Shumsky, S. A., G. M. Hickey, B. Pelletier and T. Johns (2014). Understanding the contribution of wild edible plants to rural social-ecological resilience in semi-arid Kenya. Ecology and Society 19(4)."	Kenya	-0.9287352	37.749312	2014	no	690-1400	200-800	rural	natural	adjacent to forest	good (road and market close)	state	multiple sites nearby	2	162	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	strong positive
"Shumsky, S. A., G. M. Hickey, B. Pelletier and T. Johns (2014). Understanding the contribution of wild edible plants to rural social-ecological resilience in semi-arid Kenya. Ecology and Society 19(4)."	Kenya	-0.2499946	37.72659	2014	no	690-1400	200-800	rural	natural	adjacent to forest	good (road and market close)	state	multiple sites nearby	2	162	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	strong positive
"Sinclair, J. and L. Ham (2000). Household adaptive strategies: Shaping livelihood security in the Western Himalaya. Revue Canadienne D Etudes Du Developpement-Canadian Journal of Development Studies 21(1): 89-112."	India	32.7402789	76.2465726	2000	no	mid-high	NR	rural	natural	adjacent to forest	very low (no road and market far)	state	multiple sites nearby	2	32	household	NR	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	"women only, ie not gender of household head"	Positive	strong positive
"Sinclair, J. and L. Ham (2000). Household adaptive strategies: Shaping livelihood security in the Western Himalaya. Revue Canadienne D Etudes Du Developpement-Canadian Journal of Development Studies 21(1): 89-112."	India	31.666664	77.3260099	2000	no	mid-high	NR	rural	natural	adjacent to forest	very low (no road and market far)	state	multiple sites nearby	2	32	household	NR	mixed methods	indepth interviews - no questionnaire	yes	yes	yes	mix	mix	"women only, ie not gender of household head"	Positive	strong positive
"Singh, A. K., M. K. Singh and O. A. J. Mascarenhas (1985). Community forestry for revitalising rural ecosystems: A case study. Forest Ecology and Management 10(3): 209-232."	India	22.08	84.9228865	1985	no	150	1300-1400	rural	natural	adjacent to forest	NR	state	single site	1	16	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	none (no difference between access of men and women for food security)
"Singh, R. K., R. C. Srivastava, C. B. Pandey and A. Singh (2015). Tribal institutions and conservation of the bioculturally valuable 'tasat' (Arenga obtusifolia) tree in the eastern Himalaya. Journal of Environmental Planning and Management 58(1): 69-90."	India	28.266023	94.8126656	2015	no	mid-high	800-4500	rural	natural	adjacent to forest	NR	state	multiple sites nearby	12	240	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	strong positive
"Singh, R. K., R. C. Srivastava, C. B. Pandey and A. Singh (2015). Tribal institutions and conservation of the bioculturally valuable 'tasat' (Arenga obtusifolia) tree in the eastern Himalaya. Journal of Environmental Planning and Management 58(1): 69-90."	India	28.7287252	94.3641841	2015	no	mid-high	800-4500	rural	natural	adjacent to forest	NR	state	multiple sites nearby	12	240	household	NR	mixed methods	quantitative questionnaire	yes	yes	yes	mix	mix	gender of household head	Positive	strong positive
"Siren, A. and J. Machoa (2008). Fish, wildlife, and human nutrition in tropical forests: A fat gap? Interciencia 33(3): 186-193."	Ecuador	-1.7333115	-77.4920878	2008	no	mid-high	NR	rural	natural	adjacent to forest	very low (no road and market far)	state	single site	NR	444	individuals	3	quantitative	mix	yes	yes	yes	mix	mix	gender of household head	Neutral/Mixed	none (no difference between access of men and women for food security)
"Sunderland, T., R. Achdiawan, A. Angelsen, R. Babigumira, A. Ickowitz, F. Paumgarten, V. Reyes-Garcia and G. Shively (2014). Challenging Perceptions about Men, Women, and Forest Product Use: A Global Comparative Study. World Development 64: S56-S66."	Global	0	0	2014	no	NR	NR	rural-urban	natural-plantation	distant from forest	good (road and market close)	mix	multiple sites in multiple countries	NR	NR	multiple	NR	mixed methods	mix	no	no	no	NR	NR	NR	Neutral/Mixed	none (no difference between access of men and women for food security)
