Unique Study ID	Unique_article_ID	Author	Year of publication	Title	Abstract	Journal	Volume	Issue	Pages	"Other articles, same study (Unique_article_ID)"	"Other articles, same_study (citation)"	Extra calculations performed?	Intervention	Data completeness	Country	Location	LatDD	LonDD	Experimental Design	Spatial Replicates	Temporal Replicates	Sampling Precision	Critical Appraisal score	Intervention started	Intervention ended/last sampled	Study duration	SOC data location	Yield data location
2020UPDT038	2020UPDT038	S. J. Crittenden; N. Poot; M. Heinen; D. J. M. v. Balen; M. M. Pulleman	2015	Soil physical quality in contrasting tillage systems in organic and conventional farming	"Reduced tillage can improve soil physical quality relative to mouldboard ploughing by lessening soil disturbance, leaving organic matter at the soil surface, and stimulating soil biological activity. In organic farming, continuous ploughing may negate benefits to soil structure and function from increased use of manures and more diverse crop rotations, which are particularly important components of organic farming. The current study examined soil physical quality (i.e., properties and functioning) of a 4-year old reduced tillage system under organic and conventional farming with crop rotations that included root crops. Reduced tillage was compared to conventional mouldboard ploughing (MP) in 2 organic fields at different points of the same crop rotation (Org A and Org B) and 1 conventional field (Conv A). Reduced tillage consisted of non-inversion tillage (NIT) to 18-23 cm depth whereas MP was characterised by annual mouldboard ploughing to 23-25 cm depth. NIT improved soil water retention in Org B but had no effect in Org A. NIT increased soil aggregate stability at 10-20 cm depth compared to MP in all fields, and additionally at 0-10 cm in Conv A. Penetration resistance was higher in NIT in all fields. Furthermore, soil organic matter content was higher in NIT than MP at 0-10 cm depth in all fields and at 10-20 cm in Org B and Conv A. NIT increased carbon stocks in Org B but not in Org A. NIT statistically increased crop yields in spring wheat/faba bean mixture in Org A, and there was no yield penalty from NIT in Org B spring wheat nor Conv A sugar beet. In contrast, field-saturated hydraulic conductivity in all fields in autumn was lower in NIT. Differences in crop (i.e., phase of rotation) and associated organic inputs between Org A and B likely accounted for the differences in effects of tillage system. Overall, the NIT system improved or imposed no penalty on soil physical quality (except field-saturated hydraulic conductivity) and improved or imposed no penalty on crop yields and could therefore be considered as a viable alternative for farmers."	Soil & Tillage Research	154		136-144				Tillage intensity (TI)	"Errors present, baseline SOC missing"	Netherlands	Lelystad	52.539	5.562	Randomised complete block	4	1	Not specified	3	2008	2012	4	Table 3	Table 2
2020UPDT043a	2020UPDT043	J. Deru; H. v. Schooten; H. Huiting; R. v. d. Weide	2015	"Reduced tillage for silage maize on sand and clay soils: effect on yield and soil organic matter. (Grassland Science in Europe, Volume 20)"	"Maize (Zea mays) cultivation for silage has negative impacts on soil and water quality: reduced soil organic matter, nitrate leaching, soil-biota decline, etc. These problems can be caused partly by intensive soil tillage, like ploughing. The suitability of less-intensive tillage alternatives for farmers, in terms of effects on yield and soil quality, is unknown. On three field experiments, two on sandy soils and one on marine clay soil, we compared 'full-field inversion tillage' with two reduced tillage systems: 'full-field non-inversion tillage' and 'strip-cutter'. Reducing tillage intensity in silage maize cropping influenced both yields and soil quality: at two locations yields tended to be reduced, and at two locations soil organic matter content was lower in inversion tillage compared to reduced tillage. The possible implications of reduced soil organic matter mineralisation for nitrogen dynamics are discussed."	Grassland Science in Europe	20	Grassland and forages in high output dairy farming systems 	398-400				Tillage intensity (TI)	Baseline SOC & errors missing	Netherlands	Lelystad	52.539	5.562		3	1\3		?	2009	2014	5	Table 3	Table 2
2020UPDT043b	2020UPDT043	J. Deru; H. v. Schooten; H. Huiting; R. v. d. Weide	2015	"Reduced tillage for silage maize on sand and clay soils: effect on yield and soil organic matter. (Grassland Science in Europe, Volume 20)"	"Maize (Zea mays) cultivation for silage has negative impacts on soil and water quality: reduced soil organic matter, nitrate leaching, soil-biota decline, etc. These problems can be caused partly by intensive soil tillage, like ploughing. The suitability of less-intensive tillage alternatives for farmers, in terms of effects on yield and soil quality, is unknown. On three field experiments, two on sandy soils and one on marine clay soil, we compared 'full-field inversion tillage' with two reduced tillage systems: 'full-field non-inversion tillage' and 'strip-cutter'. Reducing tillage intensity in silage maize cropping influenced both yields and soil quality: at two locations yields tended to be reduced, and at two locations soil organic matter content was lower in inversion tillage compared to reduced tillage. The possible implications of reduced soil organic matter mineralisation for nitrogen dynamics are discussed."	Grassland Science in Europe	20	Grassland and forages in high output dairy farming systems 	398-400				Tillage intensity (TI)	Baseline SOC & errors missing	Netherlands	Rolde	52.986	6.647		3	1\3		?	2012	2014	2	Table 3	Table 2
2020UPDT043c	2020UPDT043	J. Deru; H. v. Schooten; H. Huiting; R. v. d. Weide	2015	"Reduced tillage for silage maize on sand and clay soils: effect on yield and soil organic matter. (Grassland Science in Europe, Volume 20)"	"Maize (Zea mays) cultivation for silage has negative impacts on soil and water quality: reduced soil organic matter, nitrate leaching, soil-biota decline, etc. These problems can be caused partly by intensive soil tillage, like ploughing. The suitability of less-intensive tillage alternatives for farmers, in terms of effects on yield and soil quality, is unknown. On three field experiments, two on sandy soils and one on marine clay soil, we compared 'full-field inversion tillage' with two reduced tillage systems: 'full-field non-inversion tillage' and 'strip-cutter'. Reducing tillage intensity in silage maize cropping influenced both yields and soil quality: at two locations yields tended to be reduced, and at two locations soil organic matter content was lower in inversion tillage compared to reduced tillage. The possible implications of reduced soil organic matter mineralisation for nitrogen dynamics are discussed."	Grassland Science in Europe	20	Grassland and forages in high output dairy farming systems 	398-400			Calculated mean and SE for SOC and yield from author data	Tillage intensity (TI)	Baseline SOC & errors present	Netherlands	De Moer	51.624	5.012		4	1\3		?	2012	2014	2	Table 3 and direct from author	Table 2 and direct from author
2020UPDT058a	2020UPDT058	G. S. Francis; R. J. Haynes; T. L. Knight	1992	An overview of results from the long-term no-tillage trials at Winchmore	"Field experiments comparing soil properties, earthworm populations and crop yields under conventional tillage ((CT), involving mouldboard ploughing to about 150 mm depth followed by at least 2 secondary tillage operations) and no-tillage (NT) were conducted for 9 consecutive years at 2 sites in Canterbury, New Zealand. The Lismore silt loam had been under long-term pasture before the experiment, whilst the Wakanui silt loam soil had been under long-term arable cropping. At the Lismore site, organic C and total N contents in the top 150 mm of soil declined under both treatments during the trial, although the decrease was relatively greater under CT. Tillage treatment had little effect on soil OM content at the Wakanui site. Bulk density was largely unaffected by tillage treatment on the Lismore soil, but on the Wakanui soil it was greater under NT at 0-150 mm depth throughout most of the experiment. At both sites, earthworm populations were greater under NT than CT. Yields of wheat tended to be greater under NT at both sites, but yields of spring barley were greater under CT. Under CT there was a flush of mineralization following cultivation, whist under NT mineralization was more evenly distributed over the growing season. Wheat crops grown following cultivation in autumn/winter had a more adequate N supply during the growing season under NT than CT, as much of the N mineralized after cultivation of CT soil was leached before the spring. Barley crops grown following spring cultivation had a more adequate N supply than those under NT due to the flush of N mineralization under CT occurred immediately before the onset of rapid crop growth."	Proceedings Annual Conference Agronomy Society of New Zealand	22		97-101			Yield data extracted from figures	Tillage intensity (TI)	Baseline SOC & errors present	New Zealand	Lismore	-43.924	171.49		3	2\9		?	1978	1987	9	Table 1	Figure 2
2020UPDT058b	2020UPDT058	G. S. Francis; R. J. Haynes; T. L. Knight	1992	An overview of results from the long-term no-tillage trials at Winchmore	"Field experiments comparing soil properties, earthworm populations and crop yields under conventional tillage ((CT), involving mouldboard ploughing to about 150 mm depth followed by at least 2 secondary tillage operations) and no-tillage (NT) were conducted for 9 consecutive years at 2 sites in Canterbury, New Zealand. The Lismore silt loam had been under long-term pasture before the experiment, whilst the Wakanui silt loam soil had been under long-term arable cropping. At the Lismore site, organic C and total N contents in the top 150 mm of soil declined under both treatments during the trial, although the decrease was relatively greater under CT. Tillage treatment had little effect on soil OM content at the Wakanui site. Bulk density was largely unaffected by tillage treatment on the Lismore soil, but on the Wakanui soil it was greater under NT at 0-150 mm depth throughout most of the experiment. At both sites, earthworm populations were greater under NT than CT. Yields of wheat tended to be greater under NT at both sites, but yields of spring barley were greater under CT. Under CT there was a flush of mineralization following cultivation, whist under NT mineralization was more evenly distributed over the growing season. Wheat crops grown following cultivation in autumn/winter had a more adequate N supply during the growing season under NT than CT, as much of the N mineralized after cultivation of CT soil was leached before the spring. Barley crops grown following spring cultivation had a more adequate N supply than those under NT due to the flush of N mineralization under CT occurred immediately before the onset of rapid crop growth."	Proceedings Annual Conference Agronomy Society of New Zealand	22		97-101			Yield data extracted from figures	Tillage intensity (TI)	Baseline SOC & errors present	New Zealand	Wakanui	-43.99	171.869		3	2\9		?	1980	1989	9	Table 1	Figure 3a
2020UPDT066a	2020UPDT066	E. M. Hansen; L. J. Munkholm; J. E. Olesen; B. Melander	2015	"Nitrate Leaching, Yields and Carbon Sequestration after Noninversion Tillage, Catch Crops, and Straw Retention"	"Crop management factors, such as tillage, rotation, and straw retention, need to be long-term to allow conclusions on effects on crop yields, nitrate leaching, and carbon sequestration. In 2002, two field experiments, each including four cash crop rotations, were established on soils with 9 and 15% clay, under temperate, coastal climate conditions. Direct drilling and harrowing to two different depths were compared to plowing with respect to yield, nitrate N leaching, and carbon sequestration. For comparison of yields across rotations, grain and seed dry matter yields for each crop were converted to grain equivalents (GE). Leaching was compared to yields by calculating yield-scaled leaching (YSL, g N kg(-1) GE), and N balances were calculated as the N input in manure minus the N output in products removed from the fields. Direct drilling reduced yields, but no effect on leaching was found. Straw retention did not significantly increase yields, nor did it reduce leaching, while fodder radish (Raphanus sativus L.) as a catch crop was capable of reducing nitrate leaching to a low level. Thus, YSL of winter wheat (Triticum aestivum L.) was higher than for spring barley (Hordeum vulgare L.) grown after fodder radish due to the efficient catch crop. Soil organic carbon (SOC) did not increase significantly after 7 yr of straw incorporation or noninversion tillage. There was no correlation between N balances calculated for each growing season and N leaching measured in the following percolation period."	Journal of Environmental Quality	44		868-881				Tillage intensity (TI)	Baseline SOC & errors missing	Denmark	Flakkebjerg	55.318	11.388	Randomised complete split plot	4	2\9	20	3	2002	2011	10	Table 6	Table 5
2020UPDT070	2020UPDT070	M.-P. Hiel; S. Barbieux; J. Pierreux; C. Olivier; G. Lobet; C. Roisin; S. Garre; G. Colinet; B. Bodson; B. Dumont	2018	"Impact of crop residue management on crop production and soil chemistry after seven years of crop rotation in temperate climate, loamy soils"	"Society is increasingly demanding a more sustainable management of agro-ecosystems in a context of climate change and an ever growing global population. The fate of crop residues is one of the important management aspects under debate, since it represents an unneglectable quantity of organic matter which can be kept in or removed from the agro-ecosystem. The topic of residue management is not new, but the need for global conclusion on the impact of crop residue management on the agro-ecosystem linked to local pedo-climatic conditions has become apparent with an increasing amount of studies showing a diversity of conclusions. This study specifically focusses on temperate climate and loamy soil using a seven-year data set. Between 2008 and 2016, we compared four contrasting residue management strategies differing in the amount of crop residues returned to the soil (incorporation vs. exportation of residues) and in the type of tillage (reduced tillage (10 cm depth) vs. conventional tillage (ploughing at 25 cm depth)) in a field experiment. We assessed the impact of the crop residue management on crop production (three crops-winter wheat, faba bean and maize-cultivated over six cropping seasons), soil organic carbon content, nitrate (NO3-), phosphorus (P) and potassium (K) soil content and uptake by the crops. The main differences came primarily from the tillage practice and less from the restitution or removal of residues. All years and crops combined, conventional tillage resulted in a yield advantage of 3.4% as compared to reduced tillage, which can be partly explained by a lower germination rate observed under reduced tillage, especially during drier years. On average, only small differences were observed for total organic carbon (TOC) content of the soil, but reduced tillage resulted in a very clear stratification of TOC and also of P and K content as compared to conventional tillage. We observed no effect of residue management on the NO3- content, since the effect of fertilization dominated the effect of residue management. To confirm the results and enhance early tendencies, we believe that the experiment should be followed up in the future to observe whether more consistent changes in the whole agro-ecosystem functioning are present on the long term when managing residues with contrasted strategies."	Peerj						SOC & yield data extracted from figures; yield error calculated	Tillage intensity (TI)	"Errors present, baseline SOC missing"	Belgium	"Gembloux Agro-Bio Tech experimental farm, University of Liège"	50.563	4.713	Latin square	4	10\6	10	3	2008	2015	7	Figure 1	Figure 4c
2020UPDT126	2020UPDT126	J. Peigne; J.-F. Vian; V. Payet; N. P. A. Saby	2018	Soil fertility after 10 years of conservation tillage in organic farming	"It has become commonplace to consider ploughing as an agricultural practice that destroys soil fertility. Organic farmers have traditionally used the plough to till their soil and control weeds. However, there is a growing interest in adopting tillage practices without ploughing to preserve long-term soil fertility and in the hope, subsequently, of increasing crop yields. The aim of this paper is to assess if conservation tillage treatments in organic farming did in fact improve long-term soil fertility, wheat rooting and yield in a long term field experiment (2004-2015). We compared the effects of conservation tillage treatments (superficial tillage - ST- with chisel at 15 cm depth and very superficial tillage - VST- at 5-7 cm depth) and conventional tillage treatments (traditional mouldboard ploughing- MP at 30 cm depth and shallow mouldboard ploughing - SMP- at 18 cm depth without skim coulter) during 10 years on a sandy loam soil in France. To assess soil fertility, physical (soil penetration resistance, visual soil profile observation), chemical (organic carbon - Corg, total nitrogen - Ntot and available phosphorus - OlsenP) and biotic (earthworms biomass, density and diversity) soil properties were measured in 2004-5 and 2015. The effect of soil fertility on wheat roots and crop growth was also measured in 2015. VST, and to a lesser extent ST, increased Corg, Ntot and OlsenP in the upper soil layer (from 0 to 15 cm) compared to ploughing treatments. On the contrary, soil compaction increased using conservation tillage treatments (VST and ST) during the 10 years of experiment, especially in the layers between 15 and 30 cm depth in comparison with ploughing treatments. This effect is not offset by an increase in earthworm abundance and activities in conservation treatments. Earthworm biomass and endogeic abundance were even higher in SMP compared to ST. Soil compaction limits roots, with less roots in depth with VST (from 12 to 30 cm and 48 to 70 cm) and ST (from 24 to 30 cm) compared to ploughing treatments. Conservation tillage treatments had positive effects on soil chemical components in the upper soil layer and contributed to the increase of wheat biomass until tillering stage. However, no wheat yield difference was found between treatments. Physical and biotic soil properties had not significantly improved after 10 years of conservation tillage. This could be due either to the insufficient duration of the experiment to foster a positive earthworm effect on soil porosity, or to the sandy soil, too sensitive to soil compaction in this organic cropping system (intensive mechanical weeding) and unfavourable for the development of the earthworm population."	Soil & Tillage Research	175		194-204			"SOC data extracted from figure, error calculated from box plot values"	Tillage intensity (TI)	Baseline SOC & errors present	France		45.819	5.034	Randomised	3	2\1	12	3	2005	2015	10	Figure 4a	Table 2
2020UPDT199	2020UPDT199	S. Zikeli; S. Gruber; C. F. Teufel; K. Hartung; W. Claupein	2013	"Effects of reduced tillage on crop yield, plant available nutrients and soil organic matter in a 12-year long-term trial under organic management"	"A field experiment was performed in Southwest Germany to examine the effects of long-term reduced tillage (2000-2012). Tillage treatments were deep moldboard plow: DP, 25 cm; double-layer plow; DLP, 15+10 cm, shallow moldboard plow: SP, 15 cm and chisel plow: CP, 15 cm, each of them with or without preceding stubble tillage. The mean yields of a typical eight-year crop rotation were 22% lower with CP compared to DP, and 3% lower with SP and DLP. Stubble tillage increased yields by 11% across all treatments. Soil nutrients were high with all tillage strategies and amounted for 34-57 mg kg<sup>-1</sup> P and 48-113 mg kg<sup>-1</sup> K (0-60 cm soil depth). Humus budgets showed a high carbon input via crops but this was not reflected in the actual C<sub>org</sub> content of the soil. C<sub>org</sub> decreased as soil depth increased from 13.7 g kg<sup>-1</sup> (0-20 cm) to 4.3 g kg<sup>-1</sup> (40-60 cm) across all treatments. After 12 years of experiment, SP and CP resulted in significantly higher C<sub>org</sub> content in 0-20 cm soil depth, compared to DP and DLP. Stubble tillage had no significant effect on C<sub>org</sub>. Stubble tillage combined with reduced primary tillage can sustain yield levels without compromising beneficial effects from reduced tillage on C<sub>org</sub> and available nutrient content."	Sustainability						SOC & yield data extracted from figures; additional yield calculations	Tillage intensity (TI)	"Errors present, baseline SOC missing"	Germany	Kleinhohenheim 	48.738	9.201	Factorial	4	1\8	5	3	1999	2012	13	Figure 1 & Table 3	Table 6 & Figure 4
10245926	10245926	Dimassi B ; Cohan J P; Labreuche J ; Mary B ; 	2013	Changes in soil carbon and nitrogen following tillage conversion in a long-term experiment in Northern France	"Although continuous no-till (NT) is recommended for erosion control and carbon sequestration, it often has a limited duration since farmers alternate between NT and full inversion tillage (FIT) to control weed infestation and avoid soil compaction. In this paper, we evaluate the effect of continuous tillage and tillage conversion of NT to FIT and vice versa on SOC and SON stocks, in a long-term experiment at Boigneville in Northern France. Continuous NT (CNT) and FIT (CFIT) treatments were established in 1991 and maintained until 2011 while half of the plots were converted in 2005: from CNT to new FIT (NFIT) and CFIT to new NT (NNT). Bulk densities and organic C and N contents were determined in 2001 and 2011 down to the old ploughing depth (opd) which was also measured. SOC and SON stocks were calculated at equivalent soil mass by correcting either bulk densities or the opd. Both methods produced very close results and similar conclusions. A typical gradient of SOC and SON concentrations vs depth was observed in CNT as opposed to a rather uniform distribution in CFIT. CNT resulted in SOC concentration in the top soil (0–5 cm) higher by 38% in 2001 and 53% in 2011 compared to CFIT. Conversely, it led to a SOC reduction in the deeper layer (ca. 10–28 cm) by 14% in 2001 and 18% in 2011. The global effect was no significant change in SOC and SON stocks between treatments over the old ploughed layer (4060tsoilha−1) in both years: 43.2 and 45.0 t C ha−1 in 2001 and 44.7 and 45.8 t C ha−1 in 2011, in CNT and CFIT, respectively. In 2011, six years after tillage conversion, the stratification of SOC and SON had disappeared in NFIT whereas a new one had appeared in NNT with a smaller gradient than in CNT. SOC or SON stocks over the old ploughed layer did not differ significantly between treatments after 6 years of conversion: SOC stocks were 45.8, 43.2, 44.7 and 43.1 t C ha−1 in the CFIT, NFIT, CNT and NNT treatments, respectively. Furthermore, SOC stocks below the old ploughed layer (ca. 28–40 cm) were slightly greater in FIT than in NT treatment (10.9 vs 8.7 t C ha−1 ). In this experiment, continuous or conversion tillage did not result in any C sequestration benefit."	Agriculture Ecosystems & Environment	169		12--20			Bulk density values averaged across depths	Tillage intensity (TI)	"Errors present, baseline SOC missing"	France	"Arvalis-Institut du Végétal, Boigneville"	48.33	2.38	Randomised block	3	3\20	9\3	3	1991	2011	20	Table 5	Table 2 and direct from author
2016UPDT018b	2016UPDT018	"Jacobs, A;, Stefan Jungertb and Heinz-Josef Kocha"	2015	Soil organic carbon as affected by direct drilling and mulching in sugar beet–wheat rotations		Archives of Agronomy and Soil Science	61		1079-1087	"2016UPDT004, 2016UPDT031"			Tillage intensity (TI)	Baseline SOC & errors missing	Germany	Grombach	48.572	8.546	Purposive	1	2\8		-1	1991	2010	19	Table 3 and direct from author	Table 1 and direct from author
2016UPDT018c	2016UPDT018	"Jacobs, A;, Stefan Jungertb and Heinz-Josef Kocha"	2015	Soil organic carbon as affected by direct drilling and mulching in sugar beet–wheat rotations		Archives of Agronomy and Soil Science	61		1079-1087	"2016UPDT004, 2016UPDT031"			Tillage intensity (TI)	Baseline SOC & errors missing	Germany	Insultheim	49.033	8.05	Purposive	1	2\7		-1	1992	2010	18	Table 3 and direct from author	Table 1 and direct from author
2016UPDT018e	2016UPDT018	"Jacobs, A;, Stefan Jungertb and Heinz-Josef Kocha"	2015	Soil organic carbon as affected by direct drilling and mulching in sugar beet–wheat rotations		Archives of Agronomy and Soil Science	61		1079-1087	"2016UPDT004, 2016UPDT031"			Tillage intensity (TI)	Baseline SOC & errors missing	Germany	Sailtheim	49.05	9.083	Purposive	1	2\8		-1	1991	2010	19	Table 3 and direct from author	Table 1 and direct from author
