id	Which of the following most accurately reflects your position?	Lat_CON	Lon_CON	What proportion of your woods are Ancient woodland (Semi-natural)?	What proportion of your woods are Ancient woodland (Plantations (PAWS))?	What proportion of your woods are Ancient woodland (Restored PAWS)?	What proportion of your woods are Secondary woods (Semi-natural)?	What proportion of your woods are Secondary woods (Plantations)?	What proportion of your woodland is mainly broadleaved stands? 	What proportion of your woodland is mainly conifer stands?	What proportion of your woodland is a mixture of both broadlead and conifer stands?	What proportion of stands in your woodland are even-aged?	What proportion of stands in your woodland are uneven-aged? 	What best describes your business or professional sector?
513	Woodland owner: I own land containing woodland (a single woodland property)	53.16435	-1.14881	20	20	15	15	30	95	5			100	
515	Professional: I have a professional or personal interest in forests and forestry in the UK	55.55147	-2.8423											Public sector - central/devolved government
516	Woodland owner: I own land containing woodland (a single woodland property)	50.7166	-3.67336	48			48	4	80	20		100		
519	Woodland owner: I own land containing woodland (a single woodland property)	52.90428	-3.20324	1	0	0	99		100			100		
521	Woodland owner: I own land containing woodland (a single woodland property)	52.4243	-3.02742					100	100			100		
524	Woodland owner: I own land containing woodland (multiple woodland properties)	54.26219	-0.85838	10		20	10	60	30	70		60	40	
525	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.97881	-0.97382	0	25		50	25	20	40	40	70	30	
527	Woodland owner: I own land containing woodland (a single woodland property)	53.54145	-1.17142				100		99	1		60	40	
528	Professional: I have a professional or personal interest in forests and forestry in the UK	55.95206	-3.19648											Public sector - central/devolved government
530	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	51.83297	-0.69993											
532	Woodland owner: I own land containing woodland (a single woodland property)	51.15638	0.95959			90		10	90	10		40	60	
533	Woodland owner: I own land containing woodland (multiple woodland properties)	53.83689	-1.0128	2	14	4	2	2	45	45	10	80	20	
535	Woodland owner: I own land containing woodland (a single woodland property)	51.46663	-2.25117	100					100				100	
537	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.9567	0.1799	40	20		20	20	60	20	20	90	10	Forest industry
539	Woodland owner: I own land containing woodland (a single woodland property)	51.73723	-1.83197					100		15	85	100		
540	Woodland owner: I own land containing woodland (a single woodland property)	52.19832	-1.7276					100	100			100		
542	Professional: I have a professional or personal interest in forests and forestry in the UK	51.75222	-1.25596											University research
543	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	54.74004	-1.707	10				90	5	95		80	20	
544	Woodland owner: I own land containing woodland (multiple woodland properties)	54.00035	-0.99152	5	20	2	5	68	20	40	40	80	20	
545	Woodland owner: I own land containing woodland (a single woodland property)	51.75222	-1.25596				100		100			80	20	
546	Woodland owner: I own land containing woodland (a single woodland property)	54.74645	-1.69425	0	0	0	0	100			100	60	40	
548	Woodland owner: I own land containing woodland (a single woodland property)	51.72597	-1.26447					100	100			100		
549	Woodland owner: I own land containing woodland (a single woodland property)	54.74672	-1.7391	0	0	0	0	100	0	100	0	100	0	
550	Woodland owner: I own land containing woodland (a single woodland property)	52.71941	1.03752	100					100			50	50	
551	Woodland owner: I own land containing woodland (a single woodland property)	52.20357	1.19725					8.8	100			40	60	
553	Woodland owner: I own land containing woodland (a single woodland property)	52.74512	-4.02492	100					100				100	
557	Woodland owner: I own land containing woodland (a single woodland property)	54.15609	-3.08016	100	0	0	0	0	100	0	0			
559	Woodland owner: I own land containing woodland (a single woodland property)	51.20922	0.8135	100					100			50	50	
560	Professional: I have a professional or personal interest in forests and forestry in the UK	53.05058	-3.00201											Public sector - local government
561	Woodland owner: I own land containing woodland (a single woodland property)	52.59312	-2.3541	90		10			90	10		100		
562	Woodland owner: I own land containing woodland (multiple woodland properties)	54.39783	-0.55186	15				85	100			100		
563	Professional: I have a professional or personal interest in forests and forestry in the UK	58.59201	-3.53114											University research
564	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	52.98258	-2.00781	0	25	0		75			100	80	20	
565	Woodland owner: I own land containing woodland (a single woodland property)	51.91411	-0.76054	0	0	0	20	80	100			100		
566	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	55.90856	-5.2517	25				75	90	10		90	10	
570	Woodland owner: I own land containing woodland (multiple woodland properties)	52.42383	1.40187	100					100			75	25	
574	Woodland owner: I own land containing woodland (multiple woodland properties)	53.23361	-2.83559					100	100			90	10	
575	Woodland owner: I own land containing woodland (a single woodland property)	51.00355	-1.37515	45	55				80	20		80	20	
576	Woodland owner: I own land containing woodland (multiple woodland properties)	51.94088	1.06018	90			10		100			30	70	
578	Woodland owner: I own land containing woodland (a single woodland property)	50.66507	-1.16989	0	0	0	10	90	100			100		
582	Woodland owner: I own land containing woodland (a single woodland property)	52.82726	-1.86173					100	100				100	
583	Woodland owner: I own land containing woodland (a single woodland property)	52.29443	-3.99977	0	0	0		100	70	30	0	100	0	
586	Woodland owner: I own land containing woodland (a single woodland property)	51.30057	1.22995					100	100			100		
587	Woodland owner: I own land containing woodland (multiple woodland properties)	55.63255	-2.84118	5			5	90	5	75	20	60	40	
589	Woodland owner: I own land containing woodland (a single woodland property)	51.17586	-0.81486	20		20	40		90	10		50	50	
590	Woodland owner: I own land containing woodland (multiple woodland properties)	52.30112	1.5792	15			70	15	95	5		100		
591	Woodland owner: I own land containing woodland (a single woodland property)	52.31024	1.21038				50	50	80		20	60	40	
592	Woodland owner: I own land containing woodland (multiple woodland properties)	52.04573	1.23611				100		100			60	40	
595	Professional: I have a professional or personal interest in forests and forestry in the UK	50.79147	-3.45775											NGO/community organization
596	Woodland owner: I own land containing woodland (multiple woodland properties)	54.16263	-2.13375					100	100			60	40	
597	Woodland owner: I own land containing woodland (multiple woodland properties)	50.7496	-3.80041	43	0			57	99	1	0	100		
598	Woodland owner: I own land containing woodland (a single woodland property)	51.0494	-0.91277	100					100				100	
599	Woodland owner: I own land containing woodland (multiple woodland properties)	51.96762	-4.18442		5			95	5	95			100	
601	Woodland owner: I own land containing woodland (a single woodland property)	50.90476	0.15381					100			100	100		
602	Woodland owner: I own land containing woodland (a single woodland property)	50.95578	-3.96815			100			100			80	20	
606	Woodland owner: I own land containing woodland (a single woodland property)	55.19408	-3.80264	5	0	0	0	95	10	90	0	90	10	
608	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	52.60148	-3.59459	5	75		15	5	20	70	10	70	30	
609	Woodland owner: I own land containing woodland (a single woodland property)	52.23142	-2.43738		8			3	8	3		11		
610	Professional: I have a professional or personal interest in forests and forestry in the UK	50.52858	-3.61186											No professional involvement in forestry (personal interest)
611	Woodland owner: I own land containing woodland (a single woodland property)	50.38979	-3.66501	50			40	10	100			15	85	
613	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	54.67203	-1.45144	0	0	0	0	100	90	10		50	50	
615	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	57.39917	-4.18648	5				95		85	15	100		Forest industry
617	Woodland owner: I own land containing woodland (multiple woodland properties)	53.01117	-2.72581	100					100			70	30	
618	Woodland owner: I own land containing woodland (a single woodland property)	52.59696	-1.54564											
619	Woodland owner: I own land containing woodland (a single woodland property)	52.22023	-0.66605					100	95	5		100		
620	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.90563	-2.26619		80	10	9	1	20	80		80	20	
621	Woodland owner: I own land containing woodland (multiple woodland properties)	54.32774	-1.77567	10	10	10		70	50	40	10	100		
623	Woodland owner: I own land containing woodland (a single woodland property)	52.60513	-2.71671					100			100	100		
624	Woodland owner: I own land containing woodland (a single woodland property)	54.35738	-2.58684	100	0	0	0	0	100	0	0	0	100	
625	Woodland owner: I own land containing woodland (a single woodland property)	53.08333	-0.75	45	25		30		70	30		30	70	
626	Woodland owner: I own land containing woodland (multiple woodland properties)	50.78333	-3.65					100	75	20	5	80	20	
628	Woodland owner: I own land containing woodland (a single woodland property)	52.89292	-1.01418	0	50			50	90	10		90	10	
629	Woodland owner: I own land containing woodland (a single woodland property)	57.05567	-2.51038				5	95	5	95		95	5	
632	Woodland owner: I own land containing woodland (multiple woodland properties)	53.54147	-0.57592				10	90	40	30	30	69	31	
633	Woodland owner: I own land containing woodland (a single woodland property)	50.82849	-4.36904	0	0	0	0	100			100	99	1	
634	Woodland owner: I own land containing woodland (a single woodland property)	55.35557	-3.96984	0	0	4	15	81	6	94		100		
636	Woodland owner: I own land containing woodland (a single woodland property)	53.06089	-1.41529					100	98	2			100	
637	Woodland owner: I own land containing woodland (a single woodland property)	54.99716	-2.34232	0	0	0	0	100	60	40	0	100		
638	Professional: I have a professional or personal interest in forests and forestry in the UK	55.06959	-3.61139											Forest industry
640	Woodland owner: I own land containing woodland (a single woodland property)	53.54194	-1.55594	100					99	1		50	50	
641	Woodland owner: I own land containing woodland (a single woodland property)	50.87537	-4.51993				30	70	30	70		80	20	
645	Woodland owner: I own land containing woodland (a single woodland property)	52.40771	-0.25966	100					99	1	0	80	20	
646	Woodland owner: I own land containing woodland (multiple woodland properties)	51.31105	1.05298	75	10	10	5		80	10	10	20	80	
650	Woodland owner: I own land containing woodland (multiple woodland properties)	50.50387	-4.81879	30			20	50	85	15		50	50	
651	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.13007	-5.41011	5	10	0	10	75	90	5	5	20	80	Public sector - local government
652	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.84584	-3.34396	0	0	0	0	100	95	5		100		Other
655	Woodland owner: I own land containing woodland (a single woodland property)	51.30551	-0.30418	100					100					
660	Professional: I have a professional or personal interest in forests and forestry in the UK	53.44554	-2.0462											Public sector - local government
661	Woodland owner: I own land containing woodland (a single woodland property)	51.89404	-1.67747				100		100				100	
662	Professional: I have a professional or personal interest in forests and forestry in the UK	51.15355	-0.95983											Forest industry
664	Woodland owner: I own land containing woodland (a single woodland property)	52.6294	-1.70563	50			20		80		20	30	70	
666	Woodland owner: I own land containing woodland (a single woodland property)	50.40091	-3.92249	100					100	0	0	30	70	
669	Woodland owner: I own land containing woodland (a single woodland property)	50.91416	-2.24739				10	90	100			90	10	
670	Woodland owner: I own land containing woodland (a single woodland property)	52.18931	0.57507	66	34				100			34	66	
679	Woodland owner: I own land containing woodland (multiple woodland properties)	55.18287	-2.49527	6				94	38	36	26			
680	Woodland owner: I own land containing woodland (multiple woodland properties)	51.02178	-3.83737	90	5	5	0	0	100	0	0	35	65	
682	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	53.04689	-2.53882	0	0	0	0	0	100			85		
683	Woodland owner: I own land containing woodland (a single woodland property)	51.06746	0.19357	100					100			80	20	
686	Professional: I have a professional or personal interest in forests and forestry in the UK	50.70744	-1.32196											Other
687	Woodland owner: I own land containing woodland (a single woodland property)	51.63507	-0.47928	50				50	100			50	50	
688	Woodland owner: I own land containing woodland (a single woodland property)	52.61488	1.1197	80		20			80		20	50	50	
689	Woodland owner: I own land containing woodland (multiple woodland properties)	53.35882	-1.00992	5	5			90	25	60	15	80	20	
690	Woodland owner: I own land containing woodland (a single woodland property)	52.34447	-3.05001	100					98			80		
691	Woodland owner: I own land containing woodland (multiple woodland properties)	55.64608	-2.16482											
692	Woodland owner: I own land containing woodland (a single woodland property)	51.24731	-2.71946	100					100			80	20	
693	Woodland owner: I own land containing woodland (a single woodland property)	53.87723	-1.07615		80	20			30	70		70	30	
694	Woodland owner: I own land containing woodland (multiple woodland properties)	51.09317	0.59052	50				50	100			100		
695	Woodland owner: I own land containing woodland (a single woodland property)	50.952	0.36778	75			25		100			75	25	
696	Woodland owner: I own land containing woodland (multiple woodland properties)	52.10651	1.1412	1	95				95	5		90	10	
698	Woodland owner: I own land containing woodland (a single woodland property)	51.04916	0.3447				20	40	40			70	30	
700	Woodland owner: I own land containing woodland (multiple woodland properties)	51.27984	1.12106	30	70				100			40	60	
701	Woodland owner: I own land containing woodland (multiple woodland properties)	51.20499	-1.04322	25	30	0	20	25	40	40	20	60	40	
704	Woodland owner: I own land containing woodland (multiple woodland properties)	52.80359	1.3599						20	60	20	80	20	
705	Woodland owner: I own land containing woodland (a single woodland property)	50.93695	0.64699	100					100			90	10	
706	Woodland owner: I own land containing woodland (a single woodland property)	50.88061	0.64324				60	40	70	30		80	20	
711	Woodland owner: I own land containing woodland (a single woodland property)	50.36183	-3.92246	0					100			100		
712	Woodland owner: I own land containing woodland (multiple woodland properties)	52.07982	-0.93006	95			5		100			100		
713	Woodland owner: I own land containing woodland (multiple woodland properties)	52.55282	-3.2404	60	12	12	8	8	45		55	60	40	
715	Woodland owner: I own land containing woodland (multiple woodland properties)	50.71379	-3.71286	0	2	0	48	50	50	50	0	50	50	
716	Woodland owner: I own land containing woodland (a single woodland property)	54.06364	-2.39553					100	40	40	20	95	5	
717	Woodland owner: I own land containing woodland (multiple woodland properties)	51.70734	-0.36712	70				30	100			70	30	
718	Woodland owner: I own land containing woodland (multiple woodland properties)	51.08117	0.66167					100	100			50	50	
719	Woodland owner: I own land containing woodland (a single woodland property)	57.13666	-5.95682	80			20		100			50	50	
723	Professional: I have a professional or personal interest in forests and forestry in the UK	51.75368	-0.44975											No professional involvement in forestry (personal interest)
724	Woodland owner: I own land containing woodland (a single woodland property)	50.7032	-3.60815						33	67				
725	Woodland owner: I own land containing woodland (a single woodland property)	52.04766	-2.70332	100					90	10		70	30	
726	Woodland owner: I own land containing woodland (a single woodland property)	50.95131	-3.56268			100			100			100		
728	Woodland owner: I own land containing woodland (a single woodland property)	53.24194	-3.35309	0	0	0	0	0	50	20	30	50	50	
729	Woodland owner: I own land containing woodland (a single woodland property)	51.79887	-2.77899	29	21			50	39	27	34	57	43	
730	Professional: I have a professional or personal interest in forests and forestry in the UK	52.68554	-1.8251											Forest industry
731	Woodland owner: I own land containing woodland (multiple woodland properties)	51.88728	-3.95536	70	30				100			30	70	
734	Woodland owner: I own land containing woodland (a single woodland property)	50.93067	-2.22329					100	100			100		
736	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.89331	-2.9902					100	90	10		70	30	Other
738	Woodland owner: I own land containing woodland (a single woodland property)	51.72501	-2.38953					100	99	1		100		
740	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	51.93919	0.58502											
741	Woodland owner: I own land containing woodland (multiple woodland properties)	53.17404	-0.8686	30			30	40	100			40	60	
743	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	50.75855	-3.75011	100					90	10		50	50	
745	Woodland owner: I own land containing woodland (a single woodland property)	51.06492	-0.12085				100		100			85	15	
746	Woodland owner: I own land containing woodland (multiple woodland properties)	54.30077	-2.94751	5	10		75	10	95		5	50	50	
747	Professional: I have a professional or personal interest in forests and forestry in the UK	50.94174	-4.13772											Other
748	Woodland owner: I own land containing woodland (a single woodland property)	53.95763	-1.08271	0	0	0	100	0	100			75	25	
750	Professional: I have a professional or personal interest in forests and forestry in the UK	53.15212	-1.15322											No professional involvement in forestry (personal interest)
751	Woodland owner: I own land containing woodland (a single woodland property)	53.71942	-2.05895	100					100				100	
752	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	52.13412	-2.59252		50	35	15		50	40	10	40	60	
756	Woodland owner: I own land containing woodland (a single woodland property)	52.3735	1.49569	100					100				100	
757	Professional: I have a professional or personal interest in forests and forestry in the UK	52.73629	-3.88504											Forest industry
760	Woodland owner: I own land containing woodland (a single woodland property)	52.06115	0.84766	90			10		100			90	10	
764	Business: I manage my own woodland (owned or leased) and have a forestry business (tree nursery or wood-processing)	57.87574	-5.1024		100					100		100		
765	Woodland owner: I own land containing woodland (a single woodland property)	51.18698	-0.82522				90	10	100			90	10	
767	Woodland owner: I own land containing woodland (a single woodland property)	52.41008	-0.6221	90				10	90		10	75	25	
768	Professional: I have a professional or personal interest in forests and forestry in the UK	51.89324	-0.20599											Public sector - local government
769	Professional: I have a professional or personal interest in forests and forestry in the UK	51.85552	-4.30535											NGO/community organization
772	Professional: I have a professional or personal interest in forests and forestry in the UK	51.50592	-2.53304											Public sector - central/devolved government
777	Professional: I have a professional or personal interest in forests and forestry in the UK	54.32681	-2.74757											Public sector - central/devolved government
778	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.1099	-1.57345	100					100			100		Public sector - central/devolved government
780	Professional: I have a professional or personal interest in forests and forestry in the UK	55.86515	-4.25763											Other
781	Professional: I have a professional or personal interest in forests and forestry in the UK	52.41582	0.75188											Public sector - central/devolved government
783	Professional: I have a professional or personal interest in forests and forestry in the UK	53.38297	-1.4659											Other
784	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.695	-3.60963	50			5	45	70	30		30	70	Forest industry
787	Woodland owner: I own land containing woodland (a single woodland property)	51.82984	-0.2211	10		90			98	2		80	20	
791	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	56.09158	-3.34172				100		100			90	10	Other
797	Woodland owner: I own land containing woodland (multiple woodland properties)	54.4836	-1.91162	35	30		10	25			100	15	85	
799	Professional: I have a professional or personal interest in forests and forestry in the UK	51.77931	-3.20921											Public sector - local government
800	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	53.59163	-1.5774		75			25	50	20	30	80	20	
803	Woodland owner: I own land containing woodland (a single woodland property)	52.48822	-3.68231	0	0	0	50	50	100			100		
804	Professional: I have a professional or personal interest in forests and forestry in the UK	52.41426	-1.78094											Other
806	Woodland owner: I own land containing woodland (multiple woodland properties)	53.10887	-3.30826				20	80	80	20		90	10	
807	Professional: I have a professional or personal interest in forests and forestry in the UK	51.18838	-0.61317											Public sector - local government
809	Professional: I have a professional or personal interest in forests and forestry in the UK	54.25	-0.76667											Public sector - central/devolved government
810	Professional: I have a professional or personal interest in forests and forestry in the UK	55.65096	-2.74109											Public sector - central/devolved government
812	Woodland owner: I own land containing woodland (a single woodland property)	52.77286	-2.57492				50	50	100	0	0			
815	Woodland owner: I own land containing woodland (a single woodland property)	52.99203	-1.57905	0	0	0		100			100	75	25	
816	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	52.9573	-2.86644	40	20		40		80		20	20	80	Other
819	Woodland owner: I own land containing woodland (a single woodland property)	50.85278	-0.66364		5	20	45	20	80		20	50	50	
820	Woodland owner: I own land containing woodland (a single woodland property)	55.83714	-3.58505				100		100	0	0	0	100	
821	Professional: I have a professional or personal interest in forests and forestry in the UK	54.63093	-2.9567											Public sector - central/devolved government
824	Professional: I have a professional or personal interest in forests and forestry in the UK	52.8287	-1.18687											Other
825	Woodland owner: I own land containing woodland (a single woodland property)	51.85232	-3.01128	100					100				100	
826	Woodland owner: I own land containing woodland (a single woodland property)	56.13354	-5.48614	33			33	33	90	10			100	
827	Woodland owner: I own land containing woodland (a single woodland property)	55.05163	-4.08142	10		30	10	50	50	50		50	50	
828	Professional: I have a professional or personal interest in forests and forestry in the UK	51.01289	-3.10649											Public sector - local government
833	Woodland owner: I own land containing woodland (a single woodland property)	58.50397	-3.64585	0	0	0	10	90	95	5	0	80	20	
834	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	57.56472	-5.65589	50			50		95		5	80	20	
835	Woodland owner: I own land containing woodland (a single woodland property)	57.4151	-2.95627				20	80	90	5		80	20	
839	Woodland owner: I own land containing woodland (a single woodland property)	54.284	-2.94717				100		100				100	
844	Woodland owner: I own land containing woodland (a single woodland property)	53.91546	-2.14285	0.1				12.9	90		10	99.9	0.1	
845	Professional: I have a professional or personal interest in forests and forestry in the UK	52.20357	-3.94629											NGO/community organization
847	Professional: I have a professional or personal interest in forests and forestry in the UK	51.48	-3.18											NGO/community organization
851	Woodland owner: I own land containing woodland (a single woodland property)	52.75916	-3.30997	5	95				50	50		90	10	
855	Woodland owner: I own land containing woodland (multiple woodland properties)	53.96041	-0.76389	10			20	70	75		25	75	25	
857	Professional: I have a professional or personal interest in forests and forestry in the UK	52.45936	0.67017											Forest industry
858	Woodland owner: I own land containing woodland (a single woodland property)	51.11214	0.60219		100				100			25	75	
860	Woodland owner: I own land containing woodland (a single woodland property)	52.85015	-1.32151	0	0	0	20	80	98	2		98	2	
861	Woodland owner: I own land containing woodland (multiple woodland properties)	53.58028	-1.55869		100				10	60	30	95	5	
862	Woodland owner: I own land containing woodland (a single woodland property)	52.3806	-3.86084	0	0	0	0	100	50	50	0	100	0	
868	Woodland owner: I own land containing woodland (a single woodland property)	50.98005	-0.59052			50	50		75	25				
870	Woodland owner: I own land containing woodland (a single woodland property)	52.65981	-2.55119	100					99	1			100	
873	Woodland owner: I own land containing woodland (multiple woodland properties)	50.98359	0.23539	75	25				40	60		25	75	
876	Woodland owner: I own land containing woodland (a single woodland property)	52.86035	1.16592				50	50			100	100		
878	Professional: I have a professional or personal interest in forests and forestry in the UK	55.95206	-3.19648											University research
879	Woodland owner: I own land containing woodland (a single woodland property)	51.99757	-2.04895					100	95	5		80	20	
880	Woodland owner: I own land containing woodland (a single woodland property)	54.91217	-3.67973	60					99				100	
882	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	58.1655	-5.29438	100					100				100	University research
883	Woodland owner: I own land containing woodland (multiple woodland properties)	57.26026	-2.50832	18				82	18	82		82	18	
884	Woodland owner: I own land containing woodland (multiple woodland properties)	53.97144	-1.46255				50	50			100	40	60	
885	Woodland owner: I own land containing woodland (a single woodland property)	51.81331	-3.00156		25		75		75	25		85	15	
886	Woodland owner: I own land containing woodland (a single woodland property)	51.09571	-0.49232		100				100			100		
887	Woodland owner: I own land containing woodland (a single woodland property)	50.99553	-3.97955	0	0	0	0	100	0	100		100		
888	Woodland owner: I own land containing woodland (a single woodland property)	53.26028	-2.12585	100					100			50	50	
890	Woodland owner: I own land containing woodland (a single woodland property)	51.10147	0.95873		70				99	1		60	40	
891	Woodland owner: I own land containing woodland (a single woodland property)	54.24196	-2.90245	40			30	30	100			75	25	
892	Woodland owner: I own land containing woodland (a single woodland property)	52.73376	-1.50616	0	0	0	5	95	100			95	5	
893	Woodland owner: I own land containing woodland (multiple woodland properties)	52.95029	-3.95508		60			40		80	20	100		
894	Woodland owner: I own land containing woodland (a single woodland property)	51.11252	0.20993		10		90		90		10	70	30	
896	Woodland owner: I own land containing woodland (a single woodland property)	51.32991	-2.85314	70			30		70	15	15	50	50	
898	Woodland owner: I own land containing woodland (multiple woodland properties)	51.05536	0.16497	50		50			80					
899	Woodland owner: I own land containing woodland (a single woodland property)	53.3077	-1.36024	30	65	3		2	60	40	0	60	40	
900	Professional: I have a professional or personal interest in forests and forestry in the UK	53.95609	-1.07666											Public sector - central/devolved government
902	Woodland owner: I own land containing woodland (a single woodland property)	51.76884	-0.65866	80			20		100			50	50	
904	Professional: I have a professional or personal interest in forests and forestry in the UK	52.73698	-1.53496											Public sector - central/devolved government
905	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	50.46111	-4.44566				100		100			50	50	
906	Woodland owner: I own land containing woodland (a single woodland property)	51.40347	-0.88987	0				100	100			90	10	
907	Professional: I have a professional or personal interest in forests and forestry in the UK	51.41756	-0.28743											Other
908	Woodland owner: I own land containing woodland (a single woodland property)	54.27821	-2.92219					100	95	5		100		
910	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	51.72358	-1.94834	30	30	15	5	20	40	40	20	65	35	
911	Woodland owner: I own land containing woodland (a single woodland property)	50.98208	0.67287	100					100			50	50	
913	Tenant: I lease land containing woodland (a single woodland property or multiple woodland properties)	51.096459	-1.4523929	50		50			100	0		100		
914	Woodland owner: I own land containing woodland (a single woodland property)	57.24237	-3.55966	90				10	99	1		80	20	
915	Woodland owner: I own land containing woodland (a single woodland property)	49.98643	-5.18514	0	0	0	50	50			50	50	50	
916	Woodland owner: I own land containing woodland (a single woodland property)	54.13451	-1.29447	0	50	50	0	0	0	50	50	90		
917	Woodland owner: I own land containing woodland (a single woodland property)	50.98307	-3.95881		60	40			40	60		60	40	
918	Professional: I have a professional or personal interest in forests and forestry in the UK	53.14289	-4.15402											Forest industry
920	Professional: I have a professional or personal interest in forests and forestry in the UK	55.90866	-3.23003											Research institute
922	Professional: I have a professional or personal interest in forests and forestry in the UK	51.57515	-1.31493											NGO/community organization
923	Professional: I have a professional or personal interest in forests and forestry in the UK	50.76339	-1.30051											Public sector - local government
924	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	51.88979	-2.5535		50		50		50	50		95		Other
926	Woodland owner: I own land containing woodland (a single woodland property)	52.32241	-2.66364		10			90			100		100	
927	Woodland owner: I own land containing woodland (multiple woodland properties)	51.29473	-2.55693	35	32	33			75	25		60	40	
928	Woodland owner: I own land containing woodland (a single woodland property)	51.59572	-0.4764	0	0	0	95	5	100	0	0	5	95	
929	Woodland owner: I own land containing woodland (a single woodland property)	51.3764	-1.46522					100	80	20		50	50	
931	Professional: I have a professional or personal interest in forests and forestry in the UK	54.23793	-0.52288											Public sector - central/devolved government
932	Woodland owner: I own land containing woodland (a single woodland property)	51.18359	-0.40014		100						100		100	
933	Woodland owner: I own land containing woodland (a single woodland property)	51.18203	-2.16781	100							100	90	10	
934	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	53.95415	-1.59735	0	0	0	0	100	100	0	0	90	10	Other
935	Professional: I have a professional or personal interest in forests and forestry in the UK	52.44977	-3.53997											NGO/community organization
939	Woodland owner: I own land containing woodland (a single woodland property)	55.20243	-4.00658	25	25			50	100					
940	Professional: I have a professional or personal interest in forests and forestry in the UK	51.99672	-3.79852											Public sector - central/devolved government
943	Professional: I have a professional or personal interest in forests and forestry in the UK	53.40088	-2.43828											Other
944	Professional: I have a professional or personal interest in forests and forestry in the UK	51.40148	-1.32471											Other
946	Professional: I have a professional or personal interest in forests and forestry in the UK	51.46342	-2.58041											No professional involvement in forestry (personal interest)
947	Woodland owner: I own land containing woodland (a single woodland property)	55.62625	-3.0754		100				1	99		100		
951	Woodland owner: I own land containing woodland (a single woodland property)	57.47067	-4.17206				95	5			100		100	
954	Professional: I have a professional or personal interest in forests and forestry in the UK	51.06211	-1.31973											Public sector - central/devolved government
955	Woodland owner: I own land containing woodland (a single woodland property)	51.16234	0.78243	50	20	30			80	20		40	60	
956	Professional: I have a professional or personal interest in forests and forestry in the UK	51.37521	-2.34833											Public sector - local government
957	Professional: I have a professional or personal interest in forests and forestry in the UK	56.39522	-3.43139											Public sector - local government
965	"Business: Wood-processing sector (e.g. haulier, sawmill, wood user)"	53.14294	-4.15404											
968	Woodland owner: I own land containing woodland (a single woodland property)	51.65009	-0.8826		99		1		99	1		5	95	
973	Professional: I manage my own woodland (owned or leased) and have a professional interest in UK forestry	50.95315	-3.51818	40		40		20	60	30	10	30	70	Forest industry
978	Professional: I have a professional or personal interest in forests and forestry in the UK	51.51011	-2.54808											Forest industry
979	Professional: I have a professional or personal interest in forests and forestry in the UK	51.79927	-2.54333											Public sector - central/devolved government
980	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	53.06338	-1.4962	100					95	5			100	
982	Woodland owner: I own land containing woodland (a single woodland property)	53.27307	-3.20915	30			70		100	0	0	60	40	
990	Woodland owner: I own land containing woodland (a single woodland property)	56.41631	-5.47131	20	80				20	60		80	20	
993	Woodland owner: I own land containing woodland (multiple woodland properties)	53.34061	-1.28162	5				95	20	80		95	5	
994	Woodland owner: I own land containing woodland (a single woodland property)	53.19457	-3.87674					100	100			100		
995	"Agent: I manage my own woodland (owned or leased), and I also manage woodland on behalf of other woodland owners"	55.88764	-2.74933	50	50				50	20	30	80	20	
996	Woodland owner: I own land containing woodland (multiple woodland properties)	53.18497	-0.39846	43	53		1	3	89	8	3	82	18	
1001	Professional: I have a professional or personal interest in forests and forestry in the UK	51.45557	-2.55944											NGO/community organization
1004	Woodland owner: I own land containing woodland (a single woodland property)	51.60159	0.32588											
