Study ID	Citation	Year published	Year conducted (final year)	Scope	Location name	Country	"LatDD,LonDD"	Woodfuel assessed	Comparator	Comparator (specify)	Forest type  	Specific ecosystem type (author defined)	Natural/planted	"If natural forest, existing forest condition"	Forest size (include units)	Primary source of woodfuel used for domestic consumption	Primary source of woodfuel used for commercial purposes	Activity assessed	List if multiple  activities	Presence of woodfuel policy change	"Presence of alternative technologies i.e.  kilns and
cookstoves"	Short description of policy change and/or alt. technologies OR relevant policy changes known to you that are not mentioned in the paper (please add ** if it is your info and not from the paper)	Target of policy and/or alternative technologies 	"If multiple targets, specify using the same terminology under column W"	"Time elapsed since policy change, introduction of alternative technologies, or initiation of wood energy activity (years)"	Enforcement of rules governing woodfuel activities 	"Presence of other regulations on trade, energy, or environment"	Short description of other regulations on trade/ energy/ environment	"Tenure Regime type"	Tenure - Mixed (specify)	"Tenure - Formal protected area? (i.e. national park, biosphere reserve, etc.)"	Population density (pp/km2 or pp/ha)	"Recent population change in study area, including migration"	Poverty /food insecurity of majority (>50%)	Main source of income for majority (>50%) of population	"Distance to nearest market /urban center (if within urban area, select <10km)"	"Demand for woodfuel 
(local and external)"	Purpose of woodfuel use	"Other contributing factors affecting reported outcomes (i.e. agricultural expansion, livestock grazing, gender-based differences etc.)"	Study outcomes	Source of socioeconomic data	Source of socioeconomic data (specify methods)	Income	Employment	Assets	Equity	Costs	Profit	Other indicators used	Source of health data	Source of health data (specify methods)	Indoor pollution	Ilness	Other  health indicators used	Source of environmental data	Source of environmental data (specify methods)	"Forest cover (natural or planted), including above-ground biomass"	"Forest condition, including forest structure"	Biodiversity	C stocks	GHG emissions	Soil quality	Water quality
217	"Folefack DP, Abou S. The commercialisation of firewood in the Sahelian area of Cameroon. Secheresse 2009; 20: 312-318"	2009	NR	Village/city	Maroua	Cameroon	"10.5972502,14.2914529"	firewood	None (single case study)	Firewood commercialisation for city of Maroua and effects on vegetation cover	Savanna	i) les steppes à épineux ; ii) la zone sahélienne périodi- quement inondée avec de vastes prairies ou « yaérés » ; iii) les formations à combré- tacées.(p. 317).	Natural	NR	NR	NR	NR	trade/marketing		NR	NR	NR	NR	NR	NR	present	multiple	"Promotion of gas by public administration (p. 313), promotion of reforestation en public and community planations by forestry (p. 317), according forest law only temporary authorisation for commercialisation of dead wood can be issued (p. 317)."	Open access		NR	NR	NR	below poverty line / food insecure	agriculture / livestock	< 10 km	low local	domestic and commercial use		multiple	multiple (specify)	"Suveys, interviews, observation"	Increase/More than comparator		NR	NR	NR	Increase/More than comparator	NR	NR	NR	NR	NR	NR	multiple (specify)	"Suveys, interviews, observation"	Decrease/Less than comparator	NR	Decrease/Less than comparator	NR	NR	Decrease/Less than comparator	NR
222	"Fousseni F, Marra D, Wala K, Batawila K, Zhang C, Zhao X, Akpagana K. Assessment and impact of anthropogenic disturbances in protected areas of northern Togo. Forestry Studies in China 2012; 14: 216–223"	2012	2011	Designated area/reserve	"The protected areas of Barkois- si, Galangashi and Oti-Keran, mainly situated in the savanna region (northern Togo)"	Togo	"10.2157209,0.4043035"	both	Multiple case studies	Impacts of anthropogenic practices in three main protected areas	Woodlands	eco-floristic zone 1 or the northern plain: shrubby savanna and old fallows	Natural	NR	"These protected areas cover 2000 ha for Barkoissi, 7500 ha for Galangashi and 163640 ha for Oti-Keran (p. 217)"	Living trees 	NR	multiple or other (specify)	"harvesting, processing"	NR	NR	NR	NR	NR	NR	NR	environmental	"p. 217: Hence, the protection and restoration of protected areas, perpetually subjected to anthropogenic activi- ties, have become a preoccupation of planners. This preoccupation was clearly expressed by the UICN/ PACO (2008) about the establishment of a standard framework for protected area management and the requalification and renewed demarcation of protected areas."	Mixed (specify)	State or de facto open access	Yes	NR	NR	NR	agriculture / livestock	NR	high external	mostly domestic use	"Bush fires, the use of pastures"	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	Floristic sampling and questionnaires	Decrease/Less than comparator	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR
225	"Fullerton DG, Suseno A, Semple S, Kalambo F, Malamba R, White S, Jack S, Calverley P M, Gordon SB. Wood smoke exposure, poverty and impaired lung function in Malawian adults. International Journal of Tuberculosis and Lung Disease 2011; 15: 391-8"	2011	NR	County/District/Dpt	Blantyre (urban)  Districts 	Malawi	"-15.7760321,34.9607259"	both	None (single case study)	Difference in function between individuals who burnt different types of biomass fuel	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	mostly domestic use	Socio-economic status/ poverty	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	Questionnaires and spirometry measurements	NR	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
236	"Gebreslassie T, Gebreslassie H. Current status and Future Prospect of Olea europaea and Juniperu procera on Desa’a Afro Alpine: forest, North Ethiopia. Journal of Natural Sciences Research 2014; 18: 62-65"	2014	NR	Designated area/reserve	Desa’a forest 	Ethiopia	"13.6000205,39.8079122"	firewood	None (single case study)	assess the sustainability of the two tree species (Olea europaea & Juniperus procera) in the forest area	Forests	NR	Natural	NR	NR	Living trees 	NR	tree growing		NR	NR	NR	NR	NR	NR	absent	NR	NR	NR	NR	Yes	NR	NR	NR	NR	NR	NR	mostly domestic use	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	A non-destructive sampling method was applied to estimate standing biomass			Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR
240	"Giliba RA, Mafuru CS, Paul M, Kayombo CJ, Kashindye AM, Chirenje LI,  Musamba EB. Human Activities Influencing Deforestation on Meru Catchment Forest Reserve, Tanzania. Journal of Human Ecology 2011; 33: 17-20"	2011	NR	Designated area/reserve	Meru catchment forest reserve 	Tanzania	"-3.2392548,36.6926602"	firewood	None (single case study)	Study on human activities that influence degradation of catchment forest.	Forests	NR	Natural	NR	NR	NR	NR	harvesting		NR	NR	NR	NR	NR	NR	NR	NR	NR	Open access		Yes	NR	Increase/inward	NR	agriculture / livestock	NR	NR	domestic and commercial use	"Cultivating along the bounderies, illegal lumbering, fodder collection, bush fires and traditional honey harvesting."	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	"Questionnaire survey, in-depth interviews and focused group discussions, field observation."	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR	NR
244	"Grundy IM, Campbell BM, Balebereho S, Cunliffe R, Tafangenyasha C, Fergusson R, Parry D. Availability and use of trees in Mutanda Resettlement Area, Zimbabwe. Forest Ecology and Management 1993; 56: 243-266"	1993	NR	Designated area/reserve	Mutanda Resettlement Area 	Zimbabwe	"-18.9174549,32.6531942"	firewood	None (single case study)	"This study quantifies current wood supply and consumption, and investigates the effect of wood use on wood supply and the current uses of wood. "	Woodlands	"p. 245: dry miombo woodland domi- nated by Julbernardia globifloraand Brachystegia boehmii (Campbell and du Toit, 1992). Mopane woodland, dominated by Colophospermum mopane, occurs along drainage lines. Open dambos are common but localised. An ev- ergreen woodland occurs "	Natural	mostly degraded	NR	Deadwood 	NR	harvesting		NR	NR	NR	NR	NR	NR	NR	NR	NR	Open access		No	NR	NR	NR	agriculture / livestock	NR	high local	mostly domestic use	Agricultural expansion	environmental	NR	NR	NR	NR	NR			NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"Sequential aerial photos, transects, questionnaries and interviews"	Neutral/No change	Neutral/No change	NR	NR	NR	NR	NR
246	"Gumbo DJ, Moombe, KB, Kandulu MM, Kabwe G, Ojanen M, Ndhlovu E, Sunderland TCH. Dynamics of the charcoal and indigenous timber trade in Zambia: a scoping study in Eastern, Northern and Northwestern provinces. CIFOR Occasional Paper 2013: 78 pg"	2013	NR	Province/region	"Eastern, Northern (now Muchinga)1 and Northwestern provinces "	Zambia	"-14.1802299,31.3273307"	charcoal	None (single case study)	"To identify and characterise the social, economic and environmental issues pertaining to charcoal and timber production and trade in Zambia"	Woodlands	NR	Natural	NR	NR	NR	NR	multiple or other (specify)	"harvesting, processing, trade/markeing, transportation"	NR	NR	NR	NR	NR	NR	absent	multiple	"p. 37: The most relevant regulations, provided for
under the Forest Act of 1973, control production (manufacturing) and conveyance (movement). Government requires that traders carry production and conveyance licences, receipts and national registration cards with the name of the person indicated on the licence, whenever trading in charcoal.[...]. There is no specific trading licence for charcoal, but district and urban trade by-laws and regulations may apply. These institutions regulate the trading of charcoal under the Market and Bus Station Act of 2007 (GRZ 2007); the Local Government Act of 1991, which allows local government entities
to formulate by-laws to extract levies from forest products leaving the district, also applies. Although there are no licences for trading, in some cases such as in Chililabombwe (C), traders obtain permission to trade in charcoal."	Mixed (specify)	p. 19: Customary area and forest reserves. Some private farms and statelands. Often de facto open access with decreasing power of traditional authorities over management of forest resources.	Yes	NR	NR	NR	NR	NR	high local - high external	NR	"weakened traditional control, weak state control"	multiple	multiple (specify)	"interviews, field observations, literature review"	Increase/More than comparator	Increase/More than comparator	Increase/More than comparator	Increase/More than comparator	Increase/More than comparator	Mixed	Gender: Women are increasingly involved in charcoal production rather than retail; (p. 27)	NR	NR	NR	NR	NR	multiple (specify)	"interviews, field observations, literature review"	Mixed	Decrease/Less than comparator	NR	NR	NR	NR	NR
248	"Habtamu S, Araya A, Abera K. Association of biomass fuel use with acute respiratory infections among under-five children in a slum urban of Addis Ababa, Ethiopia. BMC Public Health 2014; 14:1122.  doi: 10.1186/1471-2458-14-1122"	2014	2012	Village/city	Slum of Addis Abbaba	Ethiopia	"8.9633398,38.708105"	both	None (single case study)	association between the use of biomass fuel and acute respiratory infections among children.	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR		NR	NR	NR	NR	NR	NR	NR	< 10 km	high local	mostly domestic use	"family size, edu- cational level and kitchen characteristics others factors like sex of head of house hold, cigarette smoking habits, fuel type, ventilation , holding child at back while cooking"	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	Questionnaires	NR	Increase/More than comparator	"Acute Respiratory Infection (ARI), both upper and lower respiratory infection"	NR	NR	NR	NR	NR	NR	NR	NR	NR
249	"Hall DO, Mao YS. (eds) Biomass energy and coal in Africa, Third World Planning Review 1994; 17: 357"	1994	1990	Village/city	Molepolole	Botswana	"-24.389365,25.4893591"	firewood	Control-Impact	biomass in inaccessible areas on high hill ranges compared to that of most accessible areas	Savanna	hardveld	Natural	NR	NR	NR	NR	harvesting		present	NR	Botswana aims to encourage hh to substitute locally produced coal for imported fossil energy sources and fuelwood	multiple or other (specify)	"harvesting, trade/marketing, consumption"	5-10 years	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	high local	mostly domestic use	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	"satellite imagery, ground surveys (transects) measuring biomass"	Decrease/Less than comparator	NR	NR	NR	NR	NR	NR
249	"Gebreslassie T, Gebreslassie H. Current status and Future Prospect of Olea europaea and Juniperu procera on Desa’a Afro Alpine: forest, North Ethiopia. Journal of Natural Sciences Research 2014; 18: 62-66"	1994	1990	Village/city	Khakhea village	Botswana	"-24.7028398,23.5000991"	firewood	Time series		Savanna	sandveld	Natural	NR	NR	NR	NR	harvesting		present	NR	Botswana aims to encourage hh to substitute locally produced coal for imported fossil energy sources and fuelwood	multiple or other (specify)	"harvesting, trade/marketing, consumption"	5-10 years	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	high local	mostly domestic use	"overall increase in tree density due to bush encroachment in eastern Botswana; however, tree harvesting for construction and clearing for agriculture also leads to deforestation"	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	aerial photographs from multiple years (1961-1990) and ground surveys (transects) measuring biomass	Mixed	NR	NR	NR	NR	NR	NR
257	"Hayashi I. A preliminary-report of an experiment on vegetation recovery of drought deciduous woodland in Kitui, Kenya, African Journal of Ecology 1992; 30: 1-9"	1992	1990	Province/region	Kituy	Kenya	"-1.3719789,37.9852619"	both	BACI (before-after & control-impact)	"In order to collect basic information on the recovery of the vegetation, the plant succession instands protected from grazing and firewood collection were compared with plots in unprotected stands. Before and after 1 year of protection sample plots in February 1989 and February 1990."	Woodlands	drought-deciduous woodlands 	Natural	mostly degraded	NR	NR	NR	tree growing		NR	NR	NR	NR	NR	NR	NR	NR	NR	Open access		NR	NR	NR	NR	agriculture / livestock	< 10 km	NR	NR	Livestock grazing	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	Direct measurement of vegetation in selected plots.	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR	NR
262	"Hiemstra-van der Horst G, Hovorka AJ. Fuelwood: The 'other' renewable energy source for Africa? Biomass and Bioenergy 2009 33:1605-1616 "	2009	NR	Village/city	City of Maun and peri-urban area	Botswana	"-20.0003241,23.4013939"	firewood	None (single case study)	"reassesses urban fuelwood sourcing and its impacts using a recent case study conducted by the authors in Maun, Botswana "	Woodlands	NR	Natural	slightly degraded	NR	Deadwood 	Deadwood 	multiple or other (specify)	"harvesting, transportation, trade/marketing"	NR	NR	NR	NR	NR	NR	absent	NR	NR	Mixed (specify)	p. 1611: ‘bush’’ (unallocated communal land)and ‘‘cattle posts’’ (recognized customary access rights)	NR	NR	Increase/inward	NR	agriculture / livestock	< 10 km	high local	mostly domestic use	"Dispersed wood harvesting, use of further located cattle posts, use of dead wood."	multiple	multiple (specify)	"Surveys, GPS and PRA mapping"	Increase/More than comparator	Increase/More than comparator	Increase/More than comparator	Neutral/No change	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"Surveys, GPS and PRA mapping"	Neutral/No change	Neutral/No change	NR	NR	NR	NR	NR
264	"Hodson KE, Bowman RJ, Mafwiri M, Wood M, Mhoro V, Cox SE. Low folate status and indoor pollution are risk factors for endemic optic neuropathy in Tanzania. British Journal of Ophthalmology 2011; 95: 1361-4"	2011	2009	Village/city	Dar es Salaam	Tanzania	"-6.7692302,39.1142075"	both	None (single case study)		NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR		NR	NR	NR	NR	NR	< 10 km	NR	mostly domestic use	"p. 1361:  folate status and protein intakes, indoor cooking."	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	"Questionnaire, blood and urine samples"	NR	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
266	Hofstad O. Woodland deforestation by charcoal supply to Dar es Salaam. Journal of Environmental Economics and Management 1997; 33:17-32 	1996	1994	Village/city	Dar Salaam	Tanzania	"-6.7692302,39.1142075"	charcoal	None (single case study)	different locations of charcoal prices from 15 kiln	Woodlands	woodland	Natural	NR	NR	Deadwood 	NR	multiple or other (specify)	"consumption, harvesting, transportation, trade"	NR	present	"kiln, gas, kerosine infered as should be substitutes where reduced cost could slow the use of woodfuel"	consumption	NR	NR	NR	NR	NR	Mixed (specify)	Open access and private	NR	NR	NR	NR	NR	30-60 km	high local	domestic and commercial use	" agricultural expansion, livestock grazing, high population growth"	multiple	multiple (specify)	household survey and model	Increase/More than comparator	NR	NR	NR	Increase/More than comparator	Increase/More than comparator		NR	NR	NR	NR		models/projections 	model	Decrease/Less than comparator	Decrease/Less than comparator	NR	Decrease/Less than comparator	NR	NR	NR
272	"Hosier RH. Charcoal production and environmental degradation - environmental history, selective harvesting, and postharvest management. Energy Policy 1993; 21: 491-509"	1993	NR	Village/city	Dar Salaam	Tanzania	"-6.7692302,39.1142075"	charcoal	None (single case study)	Multiples sites	Woodlands	woodland	Natural	slightly degraded	NR	Deadwood 	Deadwood 	multiple or other (specify)	production and harvesting	NR	present	improved kiln	multiple or other (specify)	production and harvesting	NR	NR	NR	NR	NR		NR	NR	NR	NR	agriculture / livestock	NR	high local	mostly domestic use	management practices	environmental	NR		NR	NR	NR	NR	Increase/More than comparator	NR	increase in real wages of producers	NR	NR	NR	NR		other (specify)	environmental impact protocol	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	Increase/More than comparator	NR
225	"Fullerton DG, Suseno A, Semple S, Kalambo F, Malamba R, White S, Jack S, Calverley P M, Gordon SB. Wood smoke exposure, poverty and impaired lung function in Malawian adults. International Journal of Tuberculosis and Lung Disease 2011; 15: 391-8"	2011	NR	County/District/Dpt	Chikwawa (rural) Districts 	Malawi	"-16.031128,34.7800969"	both	None (single case study)	Difference in function between individuals who burnt different types of biomass fuel	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	mostly domestic use	Socio-economic status/ poverty	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	Questionnaires and spirometry measurements	NR	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
280	"Hyde WF, Seve JE. The economic-role of wood products in tropical deforestation - the severe example of Malawi. Forest Ecology and Management 1993; 57: 283-300"	1992	NR	National	Malawi	Malawi	"-13.9550243,33.7225258"	firewood	None (single case study)		NR	NR	Both	slightly degraded	NR	Trees on-farm	Trees on-farm	multiple or other (specify)	harvesting and consumption	absent	present	tree planting and substitution to improved stove	multiple or other (specify)	harvesting and consumption	5-10 years	NR	NR	NR	Mixed (specify)	open access and private	No	NR	NR	below poverty line / food insecure	agriculture / livestock	NR	high local	domestic and commercial use		environmental	models/projections 	model of economic deforestation	NR	NR	NR	NR	Increase/More than comparator	NR	increase in demand for land	NR	NR	NR	NR		models/projections 	deforestation model projection	Neutral/No change	Neutral/No change	NR	NR	NR	NR	NR
285	"Ibhafidon LI, Obaseki DO, Erhabor GE, Akor AA, Irabor I, Obioh I. Respiratory symptoms, lung function and particulate matter pollution in residential indoor environment in Ile-Ife, Nigeria. Nigerian Medical Journal 2014; 55: 48-53."	2014	NR	Village/city	Ife Ife	Nigeria	"7.4822275,4.5580891"	firewood	Control-Impact	comparison with hh who used kerosene or liquified petroleum gas instead of fuelwood	NR	NR	NR	NR	NR	NR	NR	consumption	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	mostly domestic use	NR	health	NR	NR	NR	NR	NR	NR	NR	NR	NR	multiple (specify)	direct measurements of air particulate matter and pulmonary function; questionnaire on reported health symptoms	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
289	"Inglis AS. Rural women and urban men: fuelwood conflicts and forest sustainability in Sussex village, Sierra Leone. Scottish Forestry 1990; 44:26-33"	1990	NR	Village/city	Sussex village	Sierra Leone	"8.3475684,-13.2267451"	firewood	None (single case study)		Forests	NR	Natural	slightly degraded	NR	Mix of deadwood and living trees	Mix of deadwood and living trees	multiple or other (specify)	"harvesting, consumption"	NR	present	improved stoves have led to 50-60% reductions in fuelwood use for cooking and fish processing	consumption	NR	NR	NR	environmental	"cultural prohibitions on women entering the high secondary forest, used for boys initiation ceremonies"	Mixed (specify)	"private, de facto open access"	No	NR	Increase/inward	below poverty line / food insecure	mixed	10-30 km	high local - high external	domestic and commercial use	ethnic Sherbro women (mostly poorer) do majority of woodcutting for use and sale locally; women try to cut from colonizing species and coppices	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	appears to be survey and observation data	Neutral/No change	NR	NR	NR	NR	NR	NR
289	"Inglis AS. Rural women and urban men: fuelwood conflicts and forest sustainability in Sussex village, Sierra Leone. Scottish Forestry 1990; 44:26-34"	1990	NR	Village/city	Sussex village	Sierra Leone	"8.3475684,-13.2267451"	firewood	None (single case study)		Forests	NR	Natural	slightly degraded	NR	NR	Living trees 	multiple or other (specify)	"harvesting, trade/marketing"	NR	NR	NR	NR	NR	NR	NR	NR	NR	Mixed (specify)	"private, state reserves, de facto open access"	Yes	NR	Increase/inward	NR	forest	10-30 km	high external	mostly commercial/processing use	" recent entry of urban woodcutters and traders for trade to Freetown operate at much larger scales and in government forest reserves, where locals do not appear to go; absentee landlords also allow urban woodcutters on their land; urban woodcutters fell entire trees and leave none for regeneration"	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	respondent perceptions/recall	appears to be survey and observation data	Decrease/Less than comparator	NR	NR	NR	NR	NR	NR
290	"Inoni OE. Effects of forest resources exploitation on the economic well-being of rural households in Delta State, Nigeria. Agricultura Tropica et Subtropica 2009; 42: 20-27 "	2009	NR	County/District/Dpt	"Delta state , "	Nigeria	"5.7581593,5.3154427"	firewood	None (single case study)	income dierential of households	Forests	Freshwater swamp forest	Both	mostly degraded	NR	Deadwood 	Deadwood 	multiple or other (specify)	Consumption and trade	absent	present	Use of Kerosine to substitute firewood 	consumption	NR	NR	NR	NR	NR	Mixed (specify)	open acess and provate owned	No	NR	NR	below poverty line / food insecure	NR	NR	high local	domestic and commercial use	"poverty, income, distance to forest"	environmental	respondent perceptions/recall	household survey	Increase/More than comparator	NR	NR	Increase/More than comparator	NR	Increase/More than comparator	"Gender of household head,  level education "	NR	NR	NR	NR		models/projections 	model	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR	NR
299	"Jary HR, Kachidiku J, Banda H, Kapanga M, Doyle JV, Banda E, Fox C, Gordon SB, Mortimer K. Feasibility of conducting a randomised controlled trial of a cookstove intervention in rural Malawi. International Journal of Tuberculosis and Lung Disease 2014; 18:240-7"	2011	NR	Village/city	Southern Malawi	Malawi	"-14.8177807,34.4066739"	both	None (single case study)	Urban and rural dwellers	NR	NR	NR	mostly degraded	NR	NR	NR	consumption		absent	present	use of electricity and improved stove	consumption	NR	NR	NR	NR	NR	NR	NR	No	NR	NR	below poverty line / food insecure	NR	NR	high local	mostly domestic use	Age and location	health	respondent perceptions/recall	household survey	NR	NR	NR	NR	NR	NR	Age and location of participants: rural/urban	multiple (specify)	respondent perception and spirometry	Increase/More than comparator	Increase/More than comparator	"body mass density, other preexixting risk factors"	respondent perceptions/recall	household survey	NR	NR	NR	NR	NR	NR	NR
300	"Jayaratne ER, Verma TS. The impact of biomass burning on the environmental aerosol concentration in Gaborone, Botswana. Atmospheric Environment, 2001; 35:1821–1828"	2001	1999	Village/city	Gaborone	Gabon	"-24.6091349,25.8604649"	firewood	None (single case study)	several locations	NR	NR	NR	NR	NR	NR	NR	consumption		NR	NR		consumption	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	high local	NR	NR	environmental	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	direct/proxy measurements	automatic laser scattering particle counters and a battery-powered hand-held particle counter } model	NR	NR	NR	NR	NR	NR	NR
307	"Jumbe CBL, Angelsen A. Modeling choice of fuelwood source among rural households in Malawi: A multinomial probit analysis. Energy Economics 2011; 33: 732–738"	2001	NR	County/District/Dpt	Chimaliro forest reserve	Malawi	"-12.4499948,32.4293945"	both	None (single case study)	several locations	Mixed	"Plantation, customary and forest reserves"	Both	mostly degraded	"3.2 million ha,"	Deadwood 	Deadwood 	consumption		present	present	forest reserves is restricted by law	management of natural trees		NR	present	NR	NR	Mixed (specify)	"reserves, open access and privately owned"		NR	NR	below poverty line / food insecure	mixed	NR	high local	domestic and commercial use	Agriculture expansion and settlement and infrastructural development	environmental	respondent perceptions/recall	household survey	NR	NR	NR	NR	NR	NR	"age, family size/labour"	NR	NR	NR	NR	NR	respondent perceptions/recall	multinomial probit estimates.	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR
309	"Kahurananga J, Alemayehu Y, Tadesse S, Bekele T. Informal surveys to assess social forestry at Dibandiba and Aleta Wendo, Ethiopia. Agroforestry Systems 1993; 24:57–80"	1993	NR	County/District/Dpt	"Dibandiba, Aleta Wendo,"	Ethiopia	"4.116688,37.4079119"	firewood	None (single case study)		Woodlands	woodlands and savanna	Planted	mostly degraded	NR	Trees on-farm	NR	management of natural trees		NR	NR		management of natural trees		NR	NR	NR	NR	NR	NR	No	NR	NR	below poverty line / food insecure	mixed	NR	high local	mostly domestic use	"agriculture, livestock production and Agro-ecological zone and farming system"	environmental	respondent perceptions/recall	Questinaire	NR	NR	NR	NR	NR	NR	"Family composition, farm holding, and labour"	NR	NR	NR	NR	NR	respondent perceptions/recall	questionaire	NR	NR	Increase/More than comparator	NR	NR	NR	NR
307	"Jumbe CBL, Angelsen A. Modeling choice of fuelwood source among rural households in Malawi: A multinomial probit analysis. Energy Economics 2011; 33: 732–738"	2001	NR	County/District/Dpt	Liwonde Forest Reserve 	Malawi	"-15.0385553,35.1141822"	both	None (single case study)	several locations	Mixed	"Plantation, customary and forest reserves"	Both	mostly degraded	"3.2 million ha,"	Deadwood 	Deadwood 	consumption		present	present	forest reserves is restricted by law	management of natural trees		NR	present	NR	NR	Mixed (specify)	"reserves, open access and privately owned"		NR	NR	below poverty line / food insecure	mixed	NR	high local	domestic and commercial use	Agriculture expansion and settlement and infrastructural development	environmental	respondent perceptions/recall	household survey	NR	NR	NR	NR	NR	NR	"age, family size/labour"	NR	NR	NR	NR	NR	respondent perceptions/recall	multinomial probit estimates.	Increase/More than comparator	Increase/More than comparator	NR	NR	NR	NR	NR
317	"Kambewa PS, Mataya BF, Sichinga WK, Johnson TR. Charcoal: the reality. A study of charcoal consumption, trade and production in Malawi. Small and Medium Forest Enterprise Series No.21, International Institute for Environment and Development, London, UK 2009"	2009	2007	County/District/Dpt	"Blantre, Lilongwe, Mzuzu, Zomba"	Malawi	"-15.7760321,34.9607259"	charcoal	None (single case study)	several locations	Forests	"Forest reserves, customary lands and national parks"	Both	mostly degraded	NR	Deadwood 	Deadwood 	multiple or other (specify)	"consumption, harvesting, transportation, trade"	present	present	restricted harvesting in the reserves 	multiple or other (specify)	"harvesting, production and trade"	NR	present	NR	transporting charcaol from the reserves	Mixed (specify)	community and state	Yes	NR	NR	below poverty line / food insecure	mixed	NR	high local	domestic and commercial use	Agricultural Activities	multiple	respondent perceptions/recall	"Household survey, VCA"	Increase/More than comparator	Increase/More than comparator	NR	NR	Increase/More than comparator	Increase/More than comparator	Scale of production	NR	NR	NR	NR	NR	respondent perceptions/recall	" Charcoal production survey, household survey and VCA"	Decrease/Less than comparator	Decrease/Less than comparator	Decrease/Less than comparator	NR	NR	NR	NR
327	"Khundi F, Jagger P, Shively G, Sserunkuuma D. Income, poverty and charcoal production in Uganda. Forest Policy and Economics 2011"	2011	NR	County/District/Dpt	Wetren Uganda	Uganda	"0.4468527,29.8486527"	charcoal	None (single case study)	several locations	Forests	woodlands 	Both	slightly degraded	NR	NR	NR	multiple or other (specify)	"harvesting, production and consumption"	present	NR	monitoring charcoal production and issuing licenses for charcoal production.	multiple or other (specify)	production 	NR	and enforcing the rules surrounding the charcoal trade	trade	"regulation of wood sourcing from forest
reserves throughlicensing"	Mixed (specify)	Private and communal and reserves	Yes	NR	NR	NR	mixed	NR	high local	domestic and commercial use	"Agricultural and livestock activities, "	multiple	other (specify)	regression analysis	Increase/More than comparator	Increase/More than comparator	NR	Decrease/Less than comparator	NR	Increase/More than comparator	"Quality of roads, institutions and "	NR	NR	NR	NR	NR	other (specify)	potential outcome framework	NR	NR	NR	NR	NR	NR	NR
